   W            E1+
 (MeV)      Re      Im
 2264.0   -0.081  -0.038
 2265.0   -0.081  -0.038
 2266.0   -0.082  -0.037
 2267.0   -0.082  -0.037
 2268.0   -0.082  -0.037
 2269.0   -0.082  -0.037
 2270.0   -0.082  -0.037
 2271.0   -0.083  -0.037
 2272.0   -0.083  -0.037
 2273.0   -0.083  -0.037
 2274.0   -0.083  -0.036
 2275.0   -0.084  -0.036
 2276.0   -0.084  -0.036
 2277.0   -0.084  -0.036
 2278.0   -0.084  -0.036
 2279.0   -0.084  -0.036
 2280.0   -0.085  -0.036
 2281.0   -0.085  -0.036
 2282.0   -0.085  -0.035
 2283.0   -0.085  -0.035
 2284.0   -0.085  -0.035
 2285.0   -0.086  -0.035
 2286.0   -0.086  -0.035
 2287.0   -0.086  -0.035
 2288.0   -0.086  -0.035
 2289.0   -0.086  -0.035
 2290.0   -0.087  -0.034
 2291.0   -0.087  -0.034
 2292.0   -0.087  -0.034
 2293.0   -0.087  -0.034
 2294.0   -0.087  -0.034
 2295.0   -0.088  -0.034
 2296.0   -0.088  -0.034
 2297.0   -0.088  -0.034
 2298.0   -0.088  -0.034
 2299.0   -0.088  -0.033
