   W            E2-
 (MeV)      Re      Im
 2261.0    0.594   0.286
 2262.0    0.595   0.285
 2263.0    0.596   0.284
 2264.0    0.597   0.284
 2265.0    0.598   0.283
 2266.0    0.598   0.282
 2267.0    0.599   0.281
 2268.0    0.600   0.281
 2269.0    0.601   0.280
 2270.0    0.602   0.279
 2271.0    0.603   0.278
 2272.0    0.604   0.278
 2273.0    0.605   0.277
 2274.0    0.606   0.276
 2275.0    0.607   0.275
 2276.0    0.608   0.275
 2277.0    0.609   0.274
 2278.0    0.609   0.273
 2279.0    0.610   0.272
 2280.0    0.611   0.272
 2281.0    0.612   0.271
 2282.0    0.613   0.270
 2283.0    0.614   0.269
 2284.0    0.615   0.269
 2285.0    0.616   0.268
 2286.0    0.617   0.267
 2287.0    0.618   0.267
 2288.0    0.618   0.266
 2289.0    0.619   0.265
 2290.0    0.620   0.264
 2291.0    0.621   0.264
 2292.0    0.622   0.263
 2293.0    0.623   0.262
 2294.0    0.624   0.262
 2295.0    0.625   0.261
 2296.0    0.625   0.260
 2297.0    0.626   0.260
 2298.0    0.627   0.259
 2299.0    0.628   0.258
