   W            M2-
 (MeV)      Re      Im
 2099.0   -0.012   0.517
 2100.0   -0.012   0.514
 2101.0   -0.011   0.512
 2102.0   -0.011   0.509
 2103.0   -0.010   0.507
 2104.0   -0.009   0.504
 2105.0   -0.009   0.502
 2106.0   -0.008   0.499
 2107.0   -0.008   0.497
 2108.0   -0.007   0.495
 2109.0   -0.006   0.492
 2110.0   -0.006   0.490
 2111.0   -0.005   0.487
 2112.0   -0.004   0.485
 2113.0   -0.004   0.483
 2114.0   -0.003   0.480
 2115.0   -0.002   0.478
 2116.0   -0.002   0.476
 2117.0   -0.001   0.473
 2118.0    0.000   0.471
 2119.0    0.000   0.469
 2120.0    0.001   0.466
 2121.0    0.002   0.464
 2122.0    0.002   0.462
 2123.0    0.003   0.459
 2124.0    0.003   0.457
 2125.0    0.004   0.455
 2126.0    0.005   0.453
 2127.0    0.005   0.451
 2128.0    0.006   0.448
 2129.0    0.007   0.446
 2130.0    0.007   0.444
 2131.0    0.008   0.442
 2132.0    0.009   0.440
 2133.0    0.009   0.437
 2134.0    0.010   0.435
 2135.0    0.011   0.433
 2136.0    0.011   0.431
 2137.0    0.012   0.429
 2138.0    0.013   0.427
 2139.0    0.013   0.425
 2140.0    0.014   0.423
 2141.0    0.015   0.421
 2142.0    0.015   0.419
 2143.0    0.016   0.417
 2144.0    0.017   0.414
 2145.0    0.017   0.412
 2146.0    0.018   0.410
 2147.0    0.019   0.408
 2148.0    0.019   0.406
 2149.0    0.020   0.404
 2150.0    0.021   0.402
 2151.0    0.021   0.401
 2152.0    0.022   0.399
 2153.0    0.022   0.397
 2154.0    0.023   0.395
 2155.0    0.024   0.393
 2156.0    0.024   0.391
 2157.0    0.025   0.389
 2158.0    0.026   0.387
 2159.0    0.026   0.385
 2160.0    0.027   0.383
 2161.0    0.028   0.381
 2162.0    0.028   0.380
 2163.0    0.029   0.378
 2164.0    0.029   0.376
 2165.0    0.030   0.374
 2166.0    0.031   0.372
 2167.0    0.031   0.371
 2168.0    0.032   0.369
 2169.0    0.033   0.367
 2170.0    0.033   0.365
 2171.0    0.034   0.363
 2172.0    0.034   0.362
 2173.0    0.035   0.360
 2174.0    0.036   0.358
 2175.0    0.036   0.356
 2176.0    0.037   0.355
 2177.0    0.037   0.353
 2178.0    0.038   0.351
 2179.0    0.039   0.350
 2180.0    0.039   0.348
 2181.0    0.040   0.346
 2182.0    0.040   0.345
 2183.0    0.041   0.343
 2184.0    0.042   0.341
 2185.0    0.042   0.340
 2186.0    0.043   0.338
 2187.0    0.043   0.336
 2188.0    0.044   0.335
 2189.0    0.044   0.333
 2190.0    0.045   0.332
 2191.0    0.046   0.330
 2192.0    0.046   0.329
 2193.0    0.047   0.327
 2194.0    0.047   0.325
 2195.0    0.048   0.324
 2196.0    0.048   0.322
 2197.0    0.049   0.321
 2198.0    0.049   0.319
 2199.0    0.050   0.318
 2200.0    0.051   0.316
 2201.0    0.051   0.315
 2202.0    0.052   0.313
 2203.0    0.052   0.312
 2204.0    0.053   0.310
 2205.0    0.053   0.309
 2206.0    0.054   0.307
 2207.0    0.054   0.306
 2208.0    0.055   0.305
 2209.0    0.055   0.303
 2210.0    0.056   0.302
