   W         M3+(pi0_p)
 (MeV)      Re      Im
 1736.0    0.517   0.293
 1737.0    0.519   0.296
 1738.0    0.521   0.299
 1739.0    0.522   0.302
 1740.0    0.524   0.305
 1741.0    0.525   0.309
 1742.0    0.527   0.312
 1743.0    0.528   0.315
 1744.0    0.530   0.319
 1745.0    0.531   0.322
 1746.0    0.532   0.325
 1747.0    0.534   0.329
 1748.0    0.535   0.332
 1749.0    0.537   0.336
 1750.0    0.538   0.340
 1751.0    0.539   0.343
 1752.0    0.541   0.347
 1753.0    0.542   0.350
 1754.0    0.543   0.354
 1755.0    0.545   0.358
 1756.0    0.546   0.362
 1757.0    0.547   0.365
 1758.0    0.548   0.369
 1759.0    0.549   0.373
 1760.0    0.551   0.377
 1761.0    0.552   0.381
 1762.0    0.553   0.385
 1763.0    0.554   0.389
 1764.0    0.555   0.393
 1765.0    0.556   0.397
 1766.0    0.557   0.401
 1767.0    0.558   0.405
 1768.0    0.559   0.410
 1769.0    0.560   0.414
 1770.0    0.561   0.418
 1771.0    0.562   0.423
 1772.0    0.563   0.427
 1773.0    0.563   0.431
 1774.0    0.564   0.436
 1775.0    0.565   0.440
 1776.0    0.566   0.445
 1777.0    0.566   0.449
 1778.0    0.567   0.454
 1779.0    0.568   0.458
 1780.0    0.568   0.463
 1781.0    0.569   0.468
 1782.0    0.569   0.473
 1783.0    0.569   0.477
 1784.0    0.570   0.482
 1785.0    0.570   0.487
 1786.0    0.570   0.492
 1787.0    0.571   0.497
 1788.0    0.571   0.502
 1789.0    0.571   0.507
 1790.0    0.571   0.512
 1791.0    0.571   0.517
 1792.0    0.571   0.522
 1793.0    0.571   0.527
 1794.0    0.571   0.532
 1795.0    0.571   0.538
 1796.0    0.571   0.543
 1797.0    0.571   0.548
 1798.0    0.570   0.554
 1799.0    0.570   0.559
 1800.0    0.569   0.564
 1801.0    0.569   0.570
 1802.0    0.568   0.575
 1803.0    0.568   0.581
 1804.0    0.567   0.586
 1805.0    0.566   0.592
 1806.0    0.565   0.597
 1807.0    0.565   0.603
 1808.0    0.564   0.609
 1809.0    0.563   0.614
 1810.0    0.562   0.620
 1811.0    0.560   0.626
 1812.0    0.559   0.631
 1813.0    0.558   0.637
 1814.0    0.556   0.643
 1815.0    0.555   0.649
 1816.0    0.553   0.654
 1817.0    0.552   0.660
 1818.0    0.550   0.666
 1819.0    0.548   0.672
 1820.0    0.546   0.678
 1821.0    0.545   0.684
 1822.0    0.543   0.690
 1823.0    0.540   0.696
 1824.0    0.538   0.702
 1825.0    0.536   0.708
 1826.0    0.534   0.713
 1827.0    0.531   0.719
 1828.0    0.529   0.725
 1829.0    0.526   0.731
 1830.0    0.523   0.737
 1831.0    0.520   0.743
 1832.0    0.518   0.749
 1833.0    0.515   0.755
 1834.0    0.511   0.761
 1835.0    0.508   0.767
 1836.0    0.505   0.773
 1837.0    0.502   0.779
 1838.0    0.498   0.785
 1839.0    0.495   0.791
 1840.0    0.491   0.797
 1841.0    0.487   0.803
 1842.0    0.483   0.809
 1843.0    0.479   0.814
 1844.0    0.475   0.820
 1845.0    0.471   0.826
 1846.0    0.467   0.832
 1847.0    0.462   0.837
 1848.0    0.458   0.843
 1849.0    0.453   0.849
 1850.0    0.449   0.854
 1851.0    0.444   0.860
 1852.0    0.439   0.865
 1853.0    0.434   0.871
 1854.0    0.429   0.876
 1855.0    0.424   0.882
 1856.0    0.419   0.887
 1857.0    0.413   0.892
 1858.0    0.408   0.898
 1859.0    0.402   0.903
 1860.0    0.397   0.908
 1861.0    0.391   0.913
 1862.0    0.385   0.918
 1863.0    0.379   0.923
 1864.0    0.373   0.928
 1865.0    0.367   0.933
 1866.0    0.361   0.938
 1867.0    0.355   0.942
 1868.0    0.348   0.947
 1869.0    0.342   0.951
 1870.0    0.335   0.956
 1871.0    0.329   0.960
 1872.0    0.322   0.964
 1873.0    0.315   0.969
 1874.0    0.308   0.973
 1875.0    0.301   0.977
 1876.0    0.294   0.981
 1877.0    0.287   0.984
 1878.0    0.280   0.988
 1879.0    0.273   0.992
 1880.0    0.265   0.995
 1881.0    0.258   0.999
 1882.0    0.250   1.002
 1883.0    0.242   1.005
 1884.0    0.235   1.008
 1885.0    0.227   1.011
 1886.0    0.219   1.014
 1887.0    0.212   1.017
 1888.0    0.204   1.019
 1889.0    0.196   1.022
 1890.0    0.188   1.024
 1891.0    0.181   1.026
 1892.0    0.173   1.028
 1893.0    0.165   1.030
 1894.0    0.157   1.032
 1895.0    0.149   1.034
 1896.0    0.141   1.035
 1897.0    0.132   1.037
 1898.0    0.124   1.038
 1899.0    0.115   1.039
 1900.0    0.107   1.041
 1901.0    0.098   1.042
 1902.0    0.089   1.043
 1903.0    0.080   1.044
 1904.0    0.071   1.044
 1905.0    0.063   1.045
 1906.0    0.054   1.045
 1907.0    0.046   1.046
 1908.0    0.039   1.046
 1909.0    0.031   1.046
 1910.0    0.023   1.046
 1911.0    0.016   1.045
 1912.0    0.009   1.045
 1913.0    0.001   1.044
 1914.0   -0.007   1.043
 1915.0   -0.015   1.042
 1916.0   -0.023   1.041
 1917.0   -0.032   1.040
 1918.0   -0.041   1.039
