   W         M1+(pi+_n)
 (MeV)      Re         Im
 1510.0   -0.27941   -0.38077
 1511.0   -0.29308   -0.37777
 1512.0   -0.30675   -0.37510
 1513.0   -0.32009   -0.37244
 1514.0   -0.33376   -0.36977
 1515.0   -0.34710   -0.36710
 1516.0   -0.36010   -0.36477
 1517.0   -0.37310   -0.36277
 1518.0   -0.38611   -0.36043
 1519.0   -0.39878   -0.35843
 1520.0   -0.41145   -0.35643
 1521.0   -0.42412   -0.35477
 1522.0   -0.43646   -0.35310
 1523.0   -0.44879   -0.35143
 1524.0   -0.46013   -0.34976
 1525.0   -0.47213   -0.34743
 1526.0   -0.48414   -0.34610
 1527.0   -0.49480   -0.34476
 1528.0   -0.50647   -0.34376
 1529.0   -0.51814   -0.34276
 1530.0   -0.52948   -0.34176
 1531.0   -0.53982   -0.34076
 1532.0   -0.55082   -0.34010
 1533.0   -0.56182   -0.33843
 1534.0   -0.57183   -0.33776
 1535.0   -0.58250   -0.33743
 1536.0   -0.59317   -0.33709
 1537.0   -0.60350   -0.33676
 1538.0   -0.61284   -0.33643
 1539.0   -0.62284   -0.33509
 1540.0   -0.63318   -0.33509
 1541.0   -0.64185   -0.33509
 1542.0   -0.65152   -0.33509
 1543.0   -0.66118   -0.33543
 1544.0   -0.66985   -0.33443
 1545.0   -0.67919   -0.33476
 1546.0   -0.68819   -0.33509
 1547.0   -0.69653   -0.33543
 1548.0   -0.70520   -0.33509
 1549.0   -0.71320   -0.33576
 1550.0   -0.72187   -0.33643
 1551.0   -0.73020   -0.33609
 1552.0   -0.73754   -0.33676
 1553.0   -0.74588   -0.33743
 1554.0   -0.75288   -0.33743
 1555.0   -0.76055   -0.33843
 1556.0   -0.76755   -0.33843
 1557.0   -0.77522   -0.33943
 1558.0   -0.78155   -0.33976
 1559.0   -0.78889   -0.34076
 1560.0   -0.79522   -0.34110
 1561.0   -0.80222   -0.34243
 1562.0   -0.80823   -0.34276
 1563.0   -0.81389   -0.34410
 1564.0   -0.81956   -0.34443
 1565.0   -0.82490   -0.34610
 1566.0   -0.83023   -0.34676
 1567.0   -0.83657   -0.34810
 1568.0   -0.84157   -0.34876
 1569.0   -0.84624   -0.34943
 1570.0   -0.85224   -0.35143
 1571.0   -0.85691   -0.35210
 1572.0   -0.86224   -0.35277
 1573.0   -0.86658   -0.35377
 1574.0   -0.87191   -0.35577
 1575.0   -0.87691   -0.35643
 1576.0   -0.88058   -0.35743
 1577.0   -0.88458   -0.35843
 1578.0   -0.88825   -0.35943
 1579.0   -0.89158   -0.36077
 1580.0   -0.89492   -0.36177
 1581.0   -0.89925   -0.36277
 1582.0   -0.90225   -0.36410
 1583.0   -0.90525   -0.36544
 1584.0   -0.90892   -0.36644
 1585.0   -0.91159   -0.36777
 1586.0   -0.91426   -0.36910
 1587.0   -0.91659   -0.37044
 1588.0   -0.91892   -0.37177
 1589.0   -0.92192   -0.37210
 1590.0   -0.92392   -0.37344
 1591.0   -0.92559   -0.37477
 1592.0   -0.92759   -0.37611
 1593.0   -0.92893   -0.37677
 1594.0   -0.93059   -0.37811
 1595.0   -0.93193   -0.37977
 1596.0   -0.93293   -0.38011
 1597.0   -0.93426   -0.38177
 1598.0   -0.93593   -0.38211
 1599.0   -0.93693   -0.38377
 1600.0   -0.93760   -0.38411
 1601.0   -0.93826   -0.38477
 1602.0   -0.93960   -0.38644
 1603.0   -0.93993   -0.38711
 1604.0   -0.94026   -0.38744
 1605.0   -0.94126   -0.38911
 1606.0   -0.94126   -0.38978
 1607.0   -0.94093   -0.39044
 1608.0   -0.94060   -0.39111
 1609.0   -0.94126   -0.39178
 1610.0   -0.94093   -0.39244
 1611.0   -0.94026   -0.39311
 1612.0   -0.93926   -0.39378
 1613.0   -0.93960   -0.39444
 1614.0   -0.93860   -0.39511
 1615.0   -0.93760   -0.39578
 1616.0   -0.93726   -0.39644
 1617.0   -0.93593   -0.39711
 1618.0   -0.93459   -0.39678
 1619.0   -0.93326   -0.39744
 1620.0   -0.93159   -0.39811
 1621.0   -0.93093   -0.39778
 1622.0   -0.92893   -0.39844
 1623.0   -0.92793   -0.39911
 1624.0   -0.92593   -0.39878
 1625.0   -0.92493   -0.39944
