   W          M3-(p)
 (MeV)      Re      Im
 2121.0    0.134  -0.051
 2122.0    0.134  -0.050
 2123.0    0.134  -0.050
 2124.0    0.134  -0.050
 2125.0    0.135  -0.050
 2126.0    0.135  -0.050
 2127.0    0.135  -0.050
 2128.0    0.135  -0.050
 2129.0    0.136  -0.050
 2130.0    0.136  -0.049
 2131.0    0.136  -0.049
 2132.0    0.136  -0.049
 2133.0    0.136  -0.049
 2134.0    0.137  -0.049
 2135.0    0.137  -0.049
 2136.0    0.137  -0.049
 2137.0    0.137  -0.049
 2138.0    0.138  -0.048
 2139.0    0.138  -0.048
 2140.0    0.138  -0.048
 2141.0    0.138  -0.048
 2142.0    0.139  -0.048
 2143.0    0.139  -0.048
 2144.0    0.139  -0.048
 2145.0    0.139  -0.048
 2146.0    0.139  -0.048
 2147.0    0.140  -0.047
 2148.0    0.140  -0.047
 2149.0    0.140  -0.047
 2150.0    0.140  -0.047
 2151.0    0.141  -0.047
 2152.0    0.141  -0.047
 2153.0    0.141  -0.047
 2154.0    0.141  -0.047
 2155.0    0.141  -0.047
 2156.0    0.142  -0.046
 2157.0    0.142  -0.046
 2158.0    0.142  -0.046
 2159.0    0.142  -0.046
 2160.0    0.142  -0.046
 2161.0    0.143  -0.046
 2162.0    0.143  -0.046
 2163.0    0.143  -0.046
 2164.0    0.143  -0.046
 2165.0    0.144  -0.045
 2166.0    0.144  -0.045
 2167.0    0.144  -0.045
 2168.0    0.144  -0.045
 2169.0    0.144  -0.045
 2170.0    0.145  -0.045
 2171.0    0.145  -0.045
 2172.0    0.145  -0.045
 2173.0    0.145  -0.045
 2174.0    0.145  -0.044
 2175.0    0.146  -0.044
 2176.0    0.146  -0.044
 2177.0    0.146  -0.044
 2178.0    0.146  -0.044
 2179.0    0.146  -0.044
 2180.0    0.147  -0.044
 2181.0    0.147  -0.044
 2182.0    0.147  -0.044
 2183.0    0.147  -0.044
 2184.0    0.148  -0.043
 2185.0    0.148  -0.043
 2186.0    0.148  -0.043
 2187.0    0.148  -0.043
 2188.0    0.148  -0.043
 2189.0    0.149  -0.043
 2190.0    0.149  -0.043
 2191.0    0.149  -0.043
 2192.0    0.149  -0.043
 2193.0    0.149  -0.043
 2194.0    0.149  -0.042
 2195.0    0.150  -0.042
 2196.0    0.150  -0.042
 2197.0    0.150  -0.042
 2198.0    0.150  -0.042
 2199.0    0.150  -0.042
 2200.0    0.151  -0.042
