   W           M1+(p)
 (MeV)       Re      Im
 1997.0     0.657   0.839
 1998.0     0.654   0.836
 1999.0     0.652   0.834
 2000.0     0.649   0.832
 2001.0     0.646   0.829
 2002.0     0.643   0.827
 2003.0     0.640   0.824
 2004.0     0.638   0.822
 2005.0     0.635   0.819
 2006.0     0.632   0.817
 2007.0     0.629   0.814
 2008.0     0.627   0.812
 2009.0     0.624   0.809
 2010.0     0.622   0.806
 2011.0     0.619   0.804
 2012.0     0.617   0.801
 2013.0     0.614   0.799
 2014.0     0.612   0.796
 2015.0     0.609   0.794
 2016.0     0.607   0.791
 2017.0     0.604   0.789
 2018.0     0.602   0.786
 2019.0     0.600   0.783
 2020.0     0.598   0.781
 2021.0     0.595   0.778
 2022.0     0.593   0.776
 2023.0     0.591   0.773
 2024.0     0.589   0.770
 2025.0     0.587   0.768
 2026.0     0.584   0.765
 2027.0     0.582   0.762
 2028.0     0.580   0.760
 2029.0     0.578   0.757
 2030.0     0.576   0.755
 2031.0     0.574   0.752
 2032.0     0.572   0.749
 2033.0     0.570   0.747
 2034.0     0.569   0.744
 2035.0     0.567   0.742
 2036.0     0.565   0.739
 2037.0     0.563   0.736
 2038.0     0.561   0.734
 2039.0     0.559   0.731
 2040.0     0.558   0.728
 2041.0     0.556   0.726
 2042.0     0.554   0.723
 2043.0     0.553   0.721
 2044.0     0.551   0.718
 2045.0     0.549   0.715
 2046.0     0.548   0.713
 2047.0     0.546   0.710
 2048.0     0.545   0.707
 2049.0     0.543   0.705
 2050.0     0.542   0.702
 2051.0     0.540   0.700
 2052.0     0.539   0.697
 2053.0     0.537   0.695
 2054.0     0.536   0.692
 2055.0     0.534   0.689
 2056.0     0.533   0.687
 2057.0     0.532   0.684
 2058.0     0.530   0.682
 2059.0     0.529   0.679
 2060.0     0.528   0.676
 2061.0     0.526   0.674
 2062.0     0.525   0.671
 2063.0     0.524   0.669
 2064.0     0.523   0.666
 2065.0     0.521   0.664
 2066.0     0.520   0.661
 2067.0     0.519   0.659
 2068.0     0.518   0.656
 2069.0     0.517   0.654
 2070.0     0.516   0.651
 2071.0     0.515   0.649
 2072.0     0.514   0.646
 2073.0     0.513   0.644
 2074.0     0.512   0.641
 2075.0     0.511   0.639
 2076.0     0.510   0.636
 2077.0     0.509   0.634
 2078.0     0.508   0.631
 2079.0     0.507   0.629
 2080.0     0.506   0.626
 2081.0     0.505   0.624
 2082.0     0.504   0.621
 2083.0     0.503   0.619
 2084.0     0.502   0.617
 2085.0     0.501   0.614
 2086.0     0.501   0.612
 2087.0     0.500   0.609
 2088.0     0.499   0.607
 2089.0     0.498   0.604
 2090.0     0.498   0.602
 2091.0     0.497   0.600
 2092.0     0.496   0.597
 2093.0     0.495   0.595
 2094.0     0.495   0.593
 2095.0     0.494   0.590
 2096.0     0.493   0.588
 2097.0     0.493   0.586
 2098.0     0.492   0.583
 2099.0     0.491   0.581
 2100.0     0.491   0.579
 2101.0     0.490   0.576
 2102.0     0.490   0.574
 2103.0     0.489   0.572
 2104.0     0.488   0.569
 2105.0     0.488   0.567
 2106.0     0.487   0.565
 2107.0     0.487   0.563
 2108.0     0.486   0.560
 2109.0     0.486   0.558
 2110.0     0.485   0.556
 2111.0     0.485   0.554
 2112.0     0.485   0.551
 2113.0     0.484   0.549
 2114.0     0.484   0.547
 2115.0     0.483   0.545
 2116.0     0.483   0.543
 2117.0     0.482   0.541
 2118.0     0.482   0.538
 2119.0     0.482   0.536
 2120.0     0.481   0.534
 2121.0     0.481   0.532
 2122.0     0.481   0.530
 2123.0     0.480   0.528
 2124.0     0.480   0.525
 2125.0     0.480   0.523
 2126.0     0.479   0.521
 2127.0     0.479   0.519
 2128.0     0.479   0.517
 2129.0     0.478   0.515
 2130.0     0.478   0.513
 2131.0     0.478   0.511
 2132.0     0.478   0.509
 2133.0     0.477   0.507
 2134.0     0.477   0.505
 2135.0     0.477   0.503
 2136.0     0.477   0.501
 2137.0     0.477   0.499
 2138.0     0.476   0.497
 2139.0     0.476   0.495
 2140.0     0.476   0.493
 2141.0     0.476   0.491
 2142.0     0.476   0.489
 2143.0     0.476   0.487
 2144.0     0.476   0.485
 2145.0     0.475   0.483
 2146.0     0.475   0.481
 2147.0     0.475   0.479
 2148.0     0.475   0.477
 2149.0     0.475   0.475
 2150.0     0.475   0.473
 2151.0     0.475   0.471
 2152.0     0.475   0.469
 2153.0     0.475   0.467
 2154.0     0.475   0.466
 2155.0     0.475   0.464
 2156.0     0.475   0.462
 2157.0     0.474   0.460
 2158.0     0.474   0.458
 2159.0     0.474   0.456
 2160.0     0.474   0.454
 2161.0     0.474   0.453
 2162.0     0.474   0.451
 2163.0     0.474   0.449
 2164.0     0.474   0.447
 2165.0     0.474   0.445
 2166.0     0.474   0.444
 2167.0     0.474   0.442
 2168.0     0.475   0.440
 2169.0     0.475   0.438
