   W         E1+(pi0_p)
 (MeV)      Re      Im
 1603.0    0.269   0.220
 1604.0    0.270   0.221
 1605.0    0.272   0.223
 1606.0    0.274   0.224
 1607.0    0.275   0.226
 1608.0    0.277   0.227
 1609.0    0.278   0.229
 1610.0    0.280   0.231
 1611.0    0.282   0.232
 1612.0    0.283   0.234
 1613.0    0.285   0.236
 1614.0    0.286   0.238
 1615.0    0.288   0.240
 1616.0    0.289   0.242
 1617.0    0.291   0.244
 1618.0    0.292   0.246
 1619.0    0.293   0.248
 1620.0    0.295   0.250
 1621.0    0.296   0.253
 1622.0    0.298   0.255
 1623.0    0.299   0.257
 1624.0    0.300   0.260
 1625.0    0.301   0.262
 1626.0    0.303   0.265
 1627.0    0.304   0.267
 1628.0    0.305   0.270
 1629.0    0.306   0.272
 1630.0    0.307   0.275
 1631.0    0.308   0.278
 1632.0    0.309   0.280
 1633.0    0.310   0.283
 1634.0    0.311   0.286
 1635.0    0.312   0.289
 1636.0    0.313   0.292
 1637.0    0.314   0.294
 1638.0    0.315   0.297
 1639.0    0.316   0.300
 1640.0    0.316   0.303
 1641.0    0.317   0.307
 1642.0    0.318   0.310
 1643.0    0.318   0.313
 1644.0    0.319   0.316
 1645.0    0.319   0.319
 1646.0    0.319   0.322
 1647.0    0.320   0.326
 1648.0    0.320   0.329
 1649.0    0.320   0.332
 1650.0    0.320   0.336
 1651.0    0.320   0.339
 1652.0    0.320   0.343
 1653.0    0.320   0.346
 1654.0    0.320   0.350
 1655.0    0.320   0.353
 1656.0    0.320   0.357
 1657.0    0.320   0.360
 1658.0    0.319   0.364
 1659.0    0.319   0.367
 1660.0    0.318   0.371
 1661.0    0.318   0.375
 1662.0    0.317   0.378
 1663.0    0.316   0.382
 1664.0    0.315   0.386
 1665.0    0.314   0.389
 1666.0    0.313   0.393
 1667.0    0.312   0.397
 1668.0    0.311   0.400
 1669.0    0.310   0.404
 1670.0    0.308   0.408
 1671.0    0.307   0.411
 1672.0    0.305   0.415
 1673.0    0.304   0.419
