   W         M2-(pi0_p)
 (MeV)      Re      Im
 1788.0   -0.434   0.217
 1789.0   -0.432   0.215
 1790.0   -0.429   0.212
 1791.0   -0.427   0.210
 1792.0   -0.425   0.208
 1793.0   -0.423   0.205
 1794.0   -0.421   0.203
 1795.0   -0.419   0.201
 1796.0   -0.417   0.198
 1797.0   -0.414   0.196
 1798.0   -0.412   0.194
 1799.0   -0.410   0.192
 1800.0   -0.408   0.189
 1801.0   -0.406   0.187
 1802.0   -0.404   0.185
 1803.0   -0.402   0.183
 1804.0   -0.400   0.181
 1805.0   -0.398   0.179
 1806.0   -0.396   0.176
 1807.0   -0.394   0.174
 1808.0   -0.392   0.172
 1809.0   -0.390   0.170
 1810.0   -0.388   0.168
 1811.0   -0.386   0.166
 1812.0   -0.385   0.164
 1813.0   -0.383   0.162
 1814.0   -0.381   0.160
 1815.0   -0.379   0.158
 1816.0   -0.377   0.156
 1817.0   -0.375   0.154
 1818.0   -0.373   0.152
 1819.0   -0.371   0.151
 1820.0   -0.369   0.149
 1821.0   -0.368   0.147
 1822.0   -0.366   0.145
 1823.0   -0.364   0.143
 1824.0   -0.362   0.141
 1825.0   -0.360   0.139
 1826.0   -0.359   0.137
 1827.0   -0.357   0.136
 1828.0   -0.355   0.134
 1829.0   -0.353   0.132
 1830.0   -0.352   0.130
 1831.0   -0.350   0.129
 1832.0   -0.348   0.127
 1833.0   -0.347   0.125
 1834.0   -0.345   0.123
 1835.0   -0.343   0.122
 1836.0   -0.342   0.120
 1837.0   -0.340   0.118
 1838.0   -0.338   0.117
 1839.0   -0.337   0.115
 1840.0   -0.335   0.113
 1841.0   -0.334   0.112
 1842.0   -0.332   0.110
 1843.0   -0.331   0.108
 1844.0   -0.329   0.107
 1845.0   -0.327   0.105
 1846.0   -0.326   0.103
 1847.0   -0.324   0.102
 1848.0   -0.323   0.100
 1849.0   -0.321   0.099
 1850.0   -0.320   0.097
 1851.0   -0.318   0.095
 1852.0   -0.317   0.094
 1853.0   -0.316   0.092
 1854.0   -0.314   0.091
 1855.0   -0.313   0.089
 1856.0   -0.311   0.088
 1857.0   -0.310   0.086
 1858.0   -0.309   0.085
 1859.0   -0.307   0.083
 1860.0   -0.306   0.082
 1861.0   -0.305   0.081
 1862.0   -0.304   0.079
 1863.0   -0.302   0.078
 1864.0   -0.301   0.076
 1865.0   -0.300   0.075
 1866.0   -0.299   0.073
 1867.0   -0.298   0.072
 1868.0   -0.297   0.071
 1869.0   -0.296   0.069
 1870.0   -0.295   0.068
 1871.0   -0.293   0.066
 1872.0   -0.292   0.065
 1873.0   -0.291   0.064
 1874.0   -0.290   0.062
 1875.0   -0.289   0.061
 1876.0   -0.288   0.059
 1877.0   -0.287   0.058
 1878.0   -0.286   0.057
 1879.0   -0.285   0.055
 1880.0   -0.284   0.054
 1881.0   -0.283   0.053
 1882.0   -0.282   0.051
 1883.0   -0.281   0.050
 1884.0   -0.280   0.049
 1885.0   -0.279   0.048
 1886.0   -0.278   0.046
 1887.0   -0.277   0.045
 1888.0   -0.276   0.044
 1889.0   -0.275   0.042
 1890.0   -0.275   0.041
 1891.0   -0.274   0.040
 1892.0   -0.273   0.039
 1893.0   -0.272   0.037
 1894.0   -0.271   0.036
 1895.0   -0.270   0.035
 1896.0   -0.270   0.034
 1897.0   -0.269   0.032
 1898.0   -0.268   0.031
 1899.0   -0.267   0.030
 1900.0   -0.267   0.029
 1901.0   -0.266   0.028
 1902.0   -0.265   0.026
 1903.0   -0.265   0.025
 1904.0   -0.264   0.024
 1905.0   -0.264   0.023
 1906.0   -0.263   0.021
 1907.0   -0.263   0.020
 1908.0   -0.262   0.019
 1909.0   -0.262   0.018
 1910.0   -0.261   0.017
 1911.0   -0.261   0.016
 1912.0   -0.260   0.014
 1913.0   -0.260   0.013
 1914.0   -0.259   0.012
 1915.0   -0.259   0.011
 1916.0   -0.258   0.010
 1917.0   -0.258   0.009
 1918.0   -0.258   0.007
 1919.0   -0.257   0.006
 1920.0   -0.257   0.005
 1921.0   -0.256   0.004
 1922.0   -0.256   0.003
 1923.0   -0.256   0.002
 1924.0   -0.255   0.001
 1925.0   -0.255   0.000
 1926.0   -0.255  -0.002
 1927.0   -0.254  -0.003
 1928.0   -0.254  -0.004
 1929.0   -0.254  -0.005
 1930.0   -0.254  -0.006
 1931.0   -0.253  -0.007
 1932.0   -0.253  -0.008
 1933.0   -0.253  -0.009
 1934.0   -0.253  -0.010
 1935.0   -0.252  -0.011
 1936.0   -0.252  -0.013
 1937.0   -0.252  -0.014
 1938.0   -0.252  -0.015
 1939.0   -0.252  -0.016
 1940.0   -0.251  -0.017
 1941.0   -0.251  -0.018
 1942.0   -0.251  -0.019
 1943.0   -0.251  -0.020
 1944.0   -0.251  -0.021
 1945.0   -0.251  -0.022
 1946.0   -0.251  -0.023
 1947.0   -0.251  -0.024
 1948.0   -0.251  -0.025
 1949.0   -0.252  -0.027
 1950.0   -0.252  -0.028
 1951.0   -0.252  -0.029
 1952.0   -0.252  -0.030
 1953.0   -0.252  -0.031
 1954.0   -0.252  -0.032
 1955.0   -0.252  -0.033
 1956.0   -0.252  -0.034
 1957.0   -0.253  -0.035
 1958.0   -0.253  -0.036
 1959.0   -0.253  -0.037
 1960.0   -0.253  -0.038
 1961.0   -0.253  -0.039
 1962.0   -0.254  -0.040
 1963.0   -0.254  -0.041
 1964.0   -0.254  -0.042
 1965.0   -0.254  -0.043
 1966.0   -0.255  -0.044
 1967.0   -0.255  -0.045
 1968.0   -0.255  -0.046
 1969.0   -0.255  -0.047
 1970.0   -0.256  -0.048
 1971.0   -0.256  -0.049
