   W         E2-(pi0_p)
 (MeV)      Re      Im
 1656.0   -1.965  -2.796
 1657.0   -1.921  -2.794
 1658.0   -1.878  -2.790
 1659.0   -1.834  -2.786
 1660.0   -1.791  -2.782
 1661.0   -1.749  -2.776
 1662.0   -1.706  -2.770
 1663.0   -1.664  -2.764
 1664.0   -1.623  -2.757
 1665.0   -1.581  -2.749
 1666.0   -1.541  -2.741
 1667.0   -1.500  -2.732
 1668.0   -1.460  -2.723
 1669.0   -1.420  -2.713
 1670.0   -1.381  -2.702
 1671.0   -1.342  -2.691
 1672.0   -1.304  -2.680
 1673.0   -1.266  -2.668
 1674.0   -1.228  -2.655
 1675.0   -1.191  -2.642
 1676.0   -1.154  -2.629
 1677.0   -1.118  -2.615
 1678.0   -1.083  -2.601
 1679.0   -1.047  -2.586
 1680.0   -1.013  -2.572
 1681.0   -0.979  -2.556
 1682.0   -0.945  -2.541
 1683.0   -0.912  -2.525
 1684.0   -0.879  -2.508
 1685.0   -0.847  -2.492
 1686.0   -0.815  -2.475
 1687.0   -0.784  -2.457
 1688.0   -0.753  -2.440
 1689.0   -0.723  -2.422
 1690.0   -0.693  -2.404
 1691.0   -0.664  -2.386
 1692.0   -0.636  -2.367
 1693.0   -0.608  -2.348
 1694.0   -0.580  -2.329
 1695.0   -0.553  -2.310
 1696.0   -0.526  -2.291
 1697.0   -0.500  -2.271
 1698.0   -0.474  -2.252
 1699.0   -0.449  -2.232
 1700.0   -0.425  -2.212
 1701.0   -0.400  -2.192
 1702.0   -0.377  -2.172
 1703.0   -0.354  -2.152
 1704.0   -0.331  -2.132
 1705.0   -0.309  -2.112
 1706.0   -0.287  -2.091
 1707.0   -0.265  -2.071
 1708.0   -0.245  -2.050
 1709.0   -0.224  -2.030
 1710.0   -0.204  -2.010
 1711.0   -0.185  -1.989
 1712.0   -0.165  -1.969
 1713.0   -0.147  -1.948
 1714.0   -0.128  -1.927
 1715.0   -0.111  -1.907
 1716.0   -0.093  -1.887
 1717.0   -0.076  -1.866
 1718.0   -0.059  -1.846
 1719.0   -0.043  -1.825
 1720.0   -0.027  -1.805
 1721.0   -0.012  -1.785
 1722.0    0.003  -1.764
 1723.0    0.018  -1.744
 1724.0    0.033  -1.724
 1725.0    0.047  -1.704
 1726.0    0.060  -1.684
 1727.0    0.074  -1.665
 1728.0    0.087  -1.645
 1729.0    0.099  -1.625
 1730.0    0.112  -1.606
 1731.0    0.123  -1.586
 1732.0    0.135  -1.567
 1733.0    0.146  -1.548
 1734.0    0.157  -1.529
 1735.0    0.168  -1.510
 1736.0    0.178  -1.491
 1737.0    0.189  -1.473
 1738.0    0.198  -1.454
 1739.0    0.208  -1.436
 1740.0    0.217  -1.418
 1741.0    0.226  -1.399
 1742.0    0.235  -1.381
 1743.0    0.244  -1.363
 1744.0    0.252  -1.346
 1745.0    0.260  -1.328
 1746.0    0.268  -1.311
 1747.0    0.276  -1.293
 1748.0    0.283  -1.276
 1749.0    0.291  -1.259
 1750.0    0.298  -1.242
 1751.0    0.305  -1.225
 1752.0    0.311  -1.209
 1753.0    0.318  -1.192
 1754.0    0.324  -1.176
 1755.0    0.330  -1.160
 1756.0    0.336  -1.144
 1757.0    0.342  -1.128
 1758.0    0.347  -1.112
 1759.0    0.353  -1.097
 1760.0    0.358  -1.081
 1761.0    0.363  -1.066
 1762.0    0.368  -1.051
 1763.0    0.372  -1.036
 1764.0    0.377  -1.021
 1765.0    0.381  -1.007
 1766.0    0.385  -0.992
 1767.0    0.390  -0.978
 1768.0    0.394  -0.963
 1769.0    0.397  -0.949
 1770.0    0.401  -0.935
 1771.0    0.405  -0.922
 1772.0    0.408  -0.908
 1773.0    0.412  -0.894
 1774.0    0.415  -0.881
 1775.0    0.418  -0.868
 1776.0    0.421  -0.855
 1777.0    0.424  -0.842
 1778.0    0.427  -0.829
 1779.0    0.430  -0.816
 1780.0    0.432  -0.804
 1781.0    0.435  -0.791
 1782.0    0.437  -0.779
 1783.0    0.440  -0.767
 1784.0    0.442  -0.755
 1785.0    0.444  -0.743
 1786.0    0.447  -0.731
 1787.0    0.449  -0.720
 1788.0    0.451  -0.708
 1789.0    0.452  -0.697
 1790.0    0.454  -0.686
 1791.0    0.456  -0.675
 1792.0    0.458  -0.664
 1793.0    0.459  -0.653
 1794.0    0.461  -0.642
 1795.0    0.462  -0.632
 1796.0    0.464  -0.621
 1797.0    0.465  -0.611
 1798.0    0.467  -0.601
 1799.0    0.468  -0.590
 1800.0    0.469  -0.580
 1801.0    0.470  -0.571
 1802.0    0.471  -0.561
 1803.0    0.472  -0.551
 1804.0    0.474  -0.542
 1805.0    0.475  -0.532
 1806.0    0.476  -0.523
 1807.0    0.476  -0.514
 1808.0    0.477  -0.505
 1809.0    0.478  -0.496
 1810.0    0.479  -0.487
 1811.0    0.480  -0.478
 1812.0    0.481  -0.469
 1813.0    0.481  -0.461
 1814.0    0.482  -0.452
 1815.0    0.483  -0.444
 1816.0    0.483  -0.435
 1817.0    0.484  -0.427
 1818.0    0.484  -0.419
 1819.0    0.485  -0.411
 1820.0    0.485  -0.403
 1821.0    0.486  -0.395
 1822.0    0.486  -0.388
 1823.0    0.487  -0.380
 1824.0    0.487  -0.373
 1825.0    0.487  -0.365
 1826.0    0.488  -0.358
 1827.0    0.488  -0.351
 1828.0    0.488  -0.343
 1829.0    0.489  -0.336
 1830.0    0.489  -0.329
 1831.0    0.489  -0.323
 1832.0    0.490  -0.316
 1833.0    0.490  -0.309
 1834.0    0.490  -0.302
 1835.0    0.491  -0.296
 1836.0    0.491  -0.289
 1837.0    0.491  -0.283
 1838.0    0.492  -0.276
 1839.0    0.492  -0.270
 1840.0    0.492  -0.264
 1841.0    0.492  -0.258
 1842.0    0.492  -0.252
 1843.0    0.493  -0.246
 1844.0    0.493  -0.240
 1845.0    0.493  -0.234
 1846.0    0.493  -0.228
 1847.0    0.493  -0.223
 1848.0    0.493  -0.217
 1849.0    0.493  -0.211
 1850.0    0.493  -0.206
 1851.0    0.493  -0.200
 1852.0    0.493  -0.195
 1853.0    0.494  -0.190
 1854.0    0.494  -0.185
 1855.0    0.494  -0.179
 1856.0    0.494  -0.174
 1857.0    0.494  -0.169
 1858.0    0.494  -0.164
 1859.0    0.494  -0.159
 1860.0    0.494  -0.154
 1861.0    0.494  -0.150
 1862.0    0.494  -0.145
 1863.0    0.495  -0.140
 1864.0    0.495  -0.136
 1865.0    0.495  -0.131
 1866.0    0.495  -0.127
 1867.0    0.495  -0.122
 1868.0    0.495  -0.118
 1869.0    0.495  -0.114
 1870.0    0.495  -0.109
 1871.0    0.496  -0.105
 1872.0    0.496  -0.101
 1873.0    0.496  -0.097
 1874.0    0.496  -0.093
 1875.0    0.496  -0.089
 1876.0    0.496  -0.085
 1877.0    0.496  -0.081
 1878.0    0.497  -0.077
 1879.0    0.497  -0.073
 1880.0    0.497  -0.069
 1881.0    0.497  -0.066
 1882.0    0.497  -0.062
 1883.0    0.498  -0.058
 1884.0    0.498  -0.055
 1885.0    0.498  -0.051
 1886.0    0.498  -0.048
 1887.0    0.498  -0.044
 1888.0    0.499  -0.041
 1889.0    0.499  -0.037
 1890.0    0.499  -0.034
 1891.0    0.499  -0.031
 1892.0    0.499  -0.028
 1893.0    0.500  -0.024
 1894.0    0.500  -0.021
 1895.0    0.500  -0.018
 1896.0    0.500  -0.015
 1897.0    0.500  -0.012
 1898.0    0.500  -0.009
 1899.0    0.501  -0.006
 1900.0    0.501  -0.003
 1901.0    0.501   0.000
 1902.0    0.501   0.003
 1903.0    0.502   0.005
 1904.0    0.502   0.008
 1905.0    0.502   0.011
 1906.0    0.503   0.013
 1907.0    0.503   0.016
 1908.0    0.503   0.018
 1909.0    0.504   0.021
 1910.0    0.504   0.023
 1911.0    0.504   0.026
 1912.0    0.505   0.028
 1913.0    0.505   0.030
 1914.0    0.505   0.033
 1915.0    0.506   0.035
 1916.0    0.506   0.038
 1917.0    0.507   0.040
 1918.0    0.507   0.042
 1919.0    0.507   0.044
 1920.0    0.508   0.047
 1921.0    0.508   0.049
 1922.0    0.509   0.051
 1923.0    0.509   0.053
 1924.0    0.509   0.055
 1925.0    0.510   0.057
 1926.0    0.510   0.059
 1927.0    0.511   0.061
 1928.0    0.511   0.063
 1929.0    0.512   0.065
 1930.0    0.512   0.067
 1931.0    0.512   0.069
 1932.0    0.513   0.071
 1933.0    0.514   0.073
 1934.0    0.514   0.074
 1935.0    0.515   0.076
 1936.0    0.515   0.078
