  727.2000  12
    0.4160    0.0648    0.0143
    0.5830    0.0651    0.0156
    0.7500    0.0495    0.0240
    0.9160    0.0755    0.0207
  941.6000  12
   -0.9160    0.0685    0.0142
   -0.7500    0.1259    0.0143
   -0.5830    0.1646    0.0172
   -0.4160    0.1384    0.0179
   -0.2500    0.0971    0.0147
   -0.0830    0.0991    0.0154
    0.0830    0.0860    0.0144
    0.2500    0.0363    0.0145
    0.4160    0.0675    0.0141
    0.5830    0.0588    0.0143
    0.7500    0.0474    0.0227
    0.9160    0.0754    0.0201
  945.5000  12
   -0.9160    0.0640    0.0135
   -0.7500    0.1244    0.0140
   -0.5830    0.1535    0.0159
   -0.4160    0.1434    0.0182
   -0.2500    0.0968    0.0144
   -0.0830    0.1044    0.0156
    0.0830    0.0787    0.0131
    0.2500    0.0352    0.0140
    0.4160    0.0620    0.0123
    0.5830    0.0590    0.0144
    0.7500    0.0424    0.0200
    0.9160    0.0709    0.0185
  949.4000  12
   -0.9160    0.0617    0.0132
   -0.7500    0.1173    0.0132
   -0.5830    0.1540    0.0157
   -0.4160    0.1357    0.0172
   -0.2500    0.0953    0.0141
   -0.0830    0.0998    0.0144
    0.0830    0.0792    0.0131
    0.2500    0.0348    0.0134
    0.4160    0.0653    0.0123
    0.5830    0.0512    0.0127
    0.7500    0.0464    0.0214
    0.9160    0.0649    0.0169
  953.2000  12
   -0.9160    0.0573    0.0124
   -0.7500    0.1235    0.0137
   -0.5830    0.1482    0.0149
   -0.4160    0.1313    0.0165
   -0.2500    0.0970    0.0141
   -0.0830    0.0965    0.0135
    0.0830    0.0784    0.0130
    0.2500    0.0315    0.0116
    0.4160    0.0724    0.0130
    0.5830    0.0449    0.0112
    0.7500    0.0377    0.0171
    0.9160    0.0618    0.0159
  957.1000  12
   -0.9160    0.0586    0.0128
   -0.7500    0.1163    0.0128
   -0.5830    0.1492    0.0149
   -0.4160    0.1293    0.0160
   -0.2500    0.0974    0.0139
   -0.0830    0.0996    0.0135
    0.0830    0.0772    0.0127
    0.2500    0.0345    0.0118
    0.4160    0.0636    0.0110
    0.5830    0.0485    0.0121
    0.7500    0.0409    0.0182
    0.9160    0.0598    0.0155
  960.9000  12
   -0.9160    0.0562    0.0123
   -0.7500    0.1188    0.0128
   -0.5830    0.1484    0.0145
   -0.4160    0.1323    0.0162
   -0.2500    0.0949    0.0132
   -0.0830    0.1017    0.0132
    0.0830    0.0717    0.0117
    0.2500    0.0334    0.0107
    0.4160    0.0697    0.0116
    0.5830    0.0440    0.0110
    0.7500    0.0386    0.0168
    0.9160    0.0551    0.0143
  964.8000  12
   -0.9160    0.0524    0.0114
   -0.7500    0.1095    0.0117
   -0.5830    0.1375    0.0137
   -0.4160    0.1201    0.0147
   -0.2500    0.0885    0.0121
   -0.0830    0.0967    0.0124
    0.0830    0.0720    0.0117
    0.2500    0.0387    0.0114
    0.4160    0.0666    0.0107
    0.5830    0.0409    0.0103
    0.7500    0.0348    0.0149
    0.9160    0.0432    0.0115
  968.6000  12
   -0.9160    0.0510    0.0110
   -0.7500    0.1144    0.0120
   -0.5830    0.1390    0.0136
   -0.4160    0.1146    0.0142
   -0.2500    0.0827    0.0111
   -0.0830    0.1002    0.0124
    0.0830    0.0690    0.0111
    0.2500    0.0374    0.0102
    0.4160    0.0662    0.0106
    0.5830    0.0412    0.0103
    0.7500    0.0329    0.0139
    0.9160    0.0421    0.0114
  972.4000  12
   -0.9160    0.0482    0.0102
   -0.7500    0.0998    0.0103
   -0.5830    0.1300    0.0127
   -0.4160    0.1081    0.0131
   -0.2500    0.0864    0.0110
   -0.0830    0.0988    0.0119
    0.0830    0.0661    0.0105
    0.2500    0.0410    0.0101
    0.4160    0.0637    0.0098
    0.5830    0.0392    0.0097
    0.7500    0.0334    0.0138
    0.9160    0.0421    0.0115
  976.2000  12
   -0.9160    0.0491    0.0140
   -0.7500    0.1084    0.0146
   -0.5830    0.1332    0.0175
   -0.4160    0.1196    0.0197
   -0.2500    0.0912    0.0190
   -0.0830    0.1014    0.0169
    0.0830    0.0733    0.0164
    0.2500    0.0469    0.0154
    0.4160    0.0674    0.0142
    0.5830    0.0395    0.0129
    0.7500    0.0348    0.0183
    0.9160    0.0378    0.0128
  980.0000  12
   -0.9160    0.0512    0.0140
   -0.7500    0.1134    0.0146
   -0.5830    0.1275    0.0168
   -0.4160    0.0986    0.0163
   -0.2500    0.0909    0.0182
   -0.0830    0.0956    0.0157
    0.0830    0.0673    0.0149
    0.2500    0.0481    0.0145
    0.4160    0.0640    0.0133
    0.5830    0.0376    0.0121
    0.7500    0.0342    0.0178
    0.9160    0.0308    0.0109
  983.6000  12
   -0.9160    0.0479    0.0126
   -0.7500    0.1105    0.0140
   -0.5830    0.1260    0.0166
   -0.4160    0.1009    0.0167
   -0.2500    0.0882    0.0170
   -0.0830    0.0926    0.0150
    0.0830    0.0572    0.0125
    0.2500    0.0475    0.0133
    0.4160    0.0589    0.0123
    0.5830    0.0379    0.0119
    0.7500    0.0318    0.0166
    0.9160    0.0265    0.0100
  987.7000  12
   -0.9160    0.0467    0.0117
   -0.7500    0.1073    0.0137
   -0.5830    0.1211    0.0163
   -0.4160    0.1008    0.0170
   -0.2500    0.1040    0.0193
   -0.0830    0.0901    0.0149
    0.0830    0.0601    0.0132
    0.2500    0.0564    0.0146
    0.4160    0.0610    0.0129
    0.5830    0.0383    0.0118
    0.7500    0.0280    0.0147
    0.9160    0.0282    0.0112
  991.3000  12
   -0.9160    0.0499    0.0119
   -0.7500    0.1007    0.0121
   -0.5830    0.1134    0.0152
   -0.4160    0.0964    0.0161
   -0.2500    0.0998    0.0177
   -0.0830    0.0852    0.0137
    0.0830    0.0598    0.0127
    0.2500    0.0570    0.0135
    0.4160    0.0590    0.0123
    0.5830    0.0355    0.0106
    0.7500    0.0247    0.0128
    0.9160    0.0225    0.0094
  995.1000  12
   -0.9160    0.0510    0.0115
   -0.7500    0.1072    0.0126
   -0.5830    0.1106    0.0149
   -0.4160    0.0895    0.0150
   -0.2500    0.0894    0.0155
   -0.0830    0.0841    0.0135
    0.0830    0.0553    0.0117
    0.2500    0.0585    0.0130
    0.4160    0.0581    0.0121
    0.5830    0.0333    0.0097
    0.7500    0.0285    0.0147
    0.9160    0.0203    0.0093
  998.9000  12
   -0.9160    0.0558    0.0119
   -0.7500    0.1138    0.0132
   -0.5830    0.1019    0.0141
   -0.4160    0.0910    0.0153
   -0.2500    0.0930    0.0157
   -0.0830    0.0870    0.0139
    0.0830    0.0590    0.0122
    0.2500    0.0602    0.0127
