  727.2000  10
 1006.3000  10
    0.7772    0.1049    0.0113
    0.5934    0.1180    0.0100
    0.4022    0.1257    0.0120
    0.2011    0.1442    0.0121
   -0.0001    0.1289    0.0102
   -0.1970    0.1342    0.0111
   -0.4022    0.1173    0.0097
   -0.6070    0.0827    0.0070
   -0.8019    0.0625    0.0061
   -0.9428    0.0285    0.0053
 1011.9000  10
    0.7772    0.0842    0.0078
    0.5934    0.1097    0.0081
    0.4022    0.1254    0.0096
    0.2011    0.1391    0.0095
   -0.0001    0.1257    0.0082
   -0.1970    0.1180    0.0087
   -0.4022    0.1020    0.0078
   -0.6070    0.0740    0.0059
   -0.8019    0.0638    0.0057
   -0.9428    0.0247    0.0045
 1019.3000  10
    0.7772    0.0890    0.0081
    0.5934    0.1181    0.0085
    0.4022    0.1408    0.0102
    0.2011    0.1316    0.0091
   -0.0001    0.1238    0.0078
   -0.1970    0.1075    0.0083
   -0.4022    0.1012    0.0079
   -0.6070    0.0670    0.0057
   -0.8019    0.0538    0.0052
   -0.9428    0.0222    0.0041
 1026.8000  10
    0.7772    0.1088    0.0105
    0.5934    0.1415    0.0091
    0.4022    0.1585    0.0117
    0.2011    0.1389    0.0097
   -0.0001    0.1168    0.0076
   -0.1970    0.0946    0.0079
   -0.4022    0.0842    0.0074
   -0.6070    0.0613    0.0055
   -0.8019    0.0449    0.0049
   -0.9428    0.0190    0.0036
 1034.0000  10
    0.7772    0.1136    0.0097
    0.5934    0.1515    0.0094
    0.4022    0.1621    0.0113
    0.2011    0.1419    0.0095
   -0.0001    0.1304    0.0084
   -0.1970    0.0937    0.0079
   -0.4022    0.0757    0.0069
   -0.6070    0.0491    0.0049
   -0.8019    0.0395    0.0046
   -0.9428    0.0182    0.0036
 1041.4000  10
    0.7772    0.1268    0.0102
    0.5934    0.1598    0.0103
    0.4022    0.1692    0.0116
    0.2011    0.1380    0.0097
   -0.0001    0.1335    0.0088
   -0.1970    0.0834    0.0075
   -0.4022    0.0645    0.0064
   -0.6070    0.0439    0.0048
   -0.8019    0.0293    0.0039
   -0.9428    0.0157    0.0034
 1048.6000  10
    0.7772    0.1445    0.0113
    0.5934    0.1733    0.0101
    0.4022    0.1927    0.0129
    0.2011    0.1579    0.0108
   -0.0001    0.1307    0.0084
   -0.1970    0.0846    0.0079
   -0.4022    0.0622    0.0066
   -0.6070    0.0364    0.0044
   -0.8019    0.0244    0.0038
   -0.9428    0.0148    0.0035
 1055.8000  10
    0.7772    0.1581    0.0119
