   W                 E3-_3/2
 (MeV)      Re       DRe      Im       DIm
1442.647   -0.667    0.127   -0.139    0.083
1443.902   -0.850    0.113   -0.143    0.075
1444.441   -0.536    0.059    0.059    0.067
1445.142   -0.839    0.118   -0.136    0.086
1446.998   -0.633    0.078    0.062    0.072
1447.277   -0.538    0.056    0.084    0.059
1449.453   -0.694    0.082    0.149    0.067
1450.107   -0.620    0.061   -0.149    0.053
1451.885   -0.725    0.090    0.136    0.069
1452.925   -0.587    0.066   -0.142    0.056
1454.281   -0.817    0.080   -0.135    0.062
1455.738   -0.695    0.061    0.112    0.051
1456.679   -0.754    0.079    0.124    0.057
1458.546   -0.648    0.059   -0.221    0.041
1459.047   -0.371    0.061   -0.149    0.063
1461.348   -0.373    0.052   -0.169    0.056
1461.393   -0.629    0.069    0.159    0.052
1463.721   -0.650    0.080    0.152    0.055
1464.138   -0.390    0.054   -0.180    0.057
1466.034   -0.422    0.068   -0.176    0.066
1466.923   -0.391    0.054   -0.174    0.059
1468.323   -0.403    0.066   -0.173    0.063
1469.715   -0.378    0.055   -0.175    0.056
1470.590   -0.417    0.067   -0.169    0.065
1472.413   -0.448    0.058   -0.198    0.061
1472.840   -0.453    0.069   -0.195    0.063
1475.062   -0.681    0.056    0.197    0.044
1475.253   -0.423    0.058   -0.192    0.059
1477.280   -0.649    0.056    0.230    0.045
1477.998   -0.419    0.059   -0.175    0.064
1479.463   -0.488    0.074   -0.143    0.065
1480.750   -0.460    0.060   -0.150    0.053
1481.631   -0.496    0.077   -0.138    0.067
1483.491   -0.452    0.062   -0.145    0.055
1483.782   -0.493    0.084   -0.139    0.073
1485.906   -0.501    0.088   -0.145    0.074
1488.026   -0.504    0.091   -0.187    0.075
1488.959   -0.454    0.064   -0.164    0.059
1490.111   -0.461    0.084   -0.161    0.073
1491.685   -0.437    0.055   -0.149    0.060
1492.188   -0.454    0.076   -0.151    0.072
1494.236   -0.512    0.086   -0.177    0.080
1494.400   -0.471    0.059   -0.156    0.064
1496.282   -0.515    0.089   -0.160    0.083
1497.109   -0.496    0.058   -0.114    0.063
1498.293   -0.495    0.082   -0.132    0.078
1499.814   -0.517    0.058   -0.117    0.064
1500.290   -0.533    0.095   -0.137    0.089
1502.277   -0.507    0.093   -0.101    0.092
1502.515   -0.471    0.061   -0.068    0.071
1504.231   -0.492    0.095   -0.140    0.090
1505.141   -0.496    0.061   -0.082    0.071
1506.188   -0.510    0.100   -0.062    0.105
1507.882   -0.501    0.058   -0.068    0.069
1508.112   -0.541    0.100   -0.076    0.104
1510.014   -0.522    0.102   -0.036    0.111
1510.549   -0.513    0.058   -0.074    0.071
1511.921   -0.576    0.102   -0.088    0.108
1513.217   -0.710    0.066   -0.212    0.073
1513.887   -0.742    0.096   -0.231    0.105
1515.875   -0.585    0.063    0.008    0.077
1515.918   -0.597    0.083    0.015    0.099
1518.015   -0.637    0.086    0.034    0.103
1518.528   -0.601    0.062    0.004    0.078
1520.171   -0.646    0.084    0.011    0.102
1521.176   -0.632    0.062   -0.018    0.079
1522.360   -0.675    0.082   -0.058    0.102
1523.814   -0.619    0.063    0.003    0.080
1524.553   -0.668    0.082    0.024    0.104
1526.724   -0.726    0.083   -0.057    0.108
1528.843   -0.700    0.079   -0.012    0.105
1529.070   -0.651    0.061    0.039    0.082
1530.891   -0.736    0.083    0.028    0.114
1531.681   -0.646    0.061    0.059    0.082
1532.857   -0.698    0.079    0.048    0.106
1534.307   -0.631    0.058    0.118    0.082
1534.705   -0.644    0.077    0.211    0.102
1536.452   -0.700    0.078    0.153    0.105
1536.843   -0.639    0.058    0.153    0.081
1538.069   -0.686    0.075    0.155    0.111
1539.502   -0.648    0.056    0.140    0.082
1539.911   -0.716    0.076    0.149    0.111
1542.078   -0.616    0.054    0.181    0.075
1544.662   -0.444    0.074    0.061    0.150
1547.235   -0.511    0.069    0.076    0.115
1549.804   -0.543    0.068    0.022    0.117
1552.363   -0.386    0.061    0.183    0.103
1554.912   -0.402    0.065   -0.028    0.106
1557.462   -0.448    0.066   -0.016    0.101
1559.996   -0.428    0.066   -0.004    0.100
1562.532   -0.438    0.066   -0.012    0.097
1565.004   -0.446    0.065   -0.017    0.094
1567.574   -0.446    0.065    0.024    0.089
1570.074   -0.491    0.065    0.054    0.093
1573.823   -0.435    0.081    0.222    0.087
1577.556   -0.429    0.069    0.222    0.085
1580.035   -0.361    0.074    0.227    0.097
1582.509   -0.428    0.073    0.279    0.090
1584.973   -0.464    0.074    0.158    0.093
1587.428   -0.422    0.070    0.158    0.094
1589.891   -0.351    0.084    0.007    0.090
1592.273   -0.319    0.074    0.256    0.106
1594.764   -0.320    0.073    0.248    0.103
1597.186   -0.295    0.081    0.108    0.111
1599.605   -0.358    0.080    0.113    0.107
1602.020   -0.345    0.073    0.125    0.098
1604.425   -0.381    0.068    0.114    0.087
1606.821   -0.382    0.088   -0.101    0.093
1609.213   -0.380    0.084   -0.073    0.096
1611.596   -0.366    0.089   -0.339    0.077
1613.970   -0.299    0.078   -0.243    0.096
1616.346   -0.325    0.078   -0.277    0.087
1618.654   -0.302    0.079   -0.265    0.102
1621.058   -0.325    0.077   -0.292    0.098
1623.395   -0.453    0.092   -0.169    0.079
1625.734   -0.253    0.080   -0.382    0.085
1628.064   -0.272    0.083   -0.377    0.081
1630.385   -0.268    0.078   -0.231    0.083
1632.702   -0.277    0.083   -0.197    0.094
1635.011   -0.312    0.101   -0.275    0.072
1637.311   -0.228    0.088   -0.139    0.078
1639.601    0.023    0.092   -0.146    0.068
1641.894   -0.120    0.096   -0.061    0.059
1644.121   -0.131    0.099   -0.021    0.059
1646.442   -0.160    0.100    0.008    0.057
1648.692   -0.219    0.104    0.076    0.054
1650.950   -0.242    0.108    0.139    0.055
1653.193   -0.241    0.105    0.122    0.054
1655.433    0.151    0.109    0.033    0.052
1657.665   -0.103    0.101    0.065    0.036
1659.888   -0.145    0.106    0.087    0.037
1662.102   -0.156    0.116    0.112    0.040
1664.308   -0.212    0.109    0.132    0.036
