   W                 E3+_3/2
 (MeV)      Re       DRe      Im       DIm
1497.109   -0.207    0.013    0.038    0.013
1498.293   -0.205    0.017    0.020    0.014
1499.814   -0.212    0.013    0.036    0.013
1500.290   -0.219    0.019    0.013    0.014
1502.277   -0.214    0.019    0.020    0.015
1502.515   -0.202    0.013    0.037    0.013
1504.231   -0.199    0.021    0.007    0.016
1505.141   -0.207    0.014    0.033    0.013
1506.188   -0.208    0.020    0.020    0.015
1507.882   -0.208    0.013    0.031    0.013
1508.112   -0.207    0.019    0.015    0.014
1510.014   -0.209    0.021    0.023    0.015
1510.549   -0.211    0.013    0.026    0.013
1511.921   -0.218    0.021    0.011    0.015
1513.217   -0.217    0.013    0.028    0.014
1513.887   -0.225    0.019    0.017    0.014
1515.875   -0.193    0.012    0.058    0.014
1515.918   -0.193    0.015    0.053    0.015
1518.015   -0.207    0.016    0.048    0.015
1518.528   -0.195    0.012    0.050    0.015
1520.171   -0.199    0.016    0.042    0.015
1521.176   -0.203    0.012    0.048    0.014
1522.360   -0.196    0.016    0.041    0.015
1523.814   -0.197    0.012    0.049    0.014
1524.553   -0.206    0.016    0.045    0.015
1526.724   -0.209    0.015    0.028    0.015
1528.843   -0.203    0.015    0.034    0.015
1529.070   -0.202    0.012    0.039    0.014
1530.891   -0.217    0.016    0.032    0.015
1531.681   -0.200    0.012    0.035    0.014
1532.857   -0.205    0.016    0.030    0.015
1534.307   -0.210    0.011    0.055    0.014
1534.705   -0.211    0.015    0.044    0.015
1536.452   -0.222    0.015    0.046    0.015
1536.843   -0.211    0.011    0.052    0.014
1538.069   -0.215    0.015    0.054    0.015
1539.502   -0.213    0.011    0.055    0.015
1539.911   -0.229    0.015    0.053    0.016
1542.078   -0.203    0.011    0.046    0.015
1544.662   -0.204    0.017    0.018    0.017
1547.235   -0.210    0.014    0.031    0.017
1549.804   -0.206    0.013    0.025    0.017
1552.363   -0.162    0.012   -0.006    0.017
1554.912   -0.186    0.012   -0.028    0.018
1557.462   -0.188    0.012   -0.021    0.018
1559.996   -0.189    0.012   -0.025    0.018
1562.532   -0.186    0.012   -0.027    0.017
1565.004   -0.183    0.012   -0.028    0.018
1567.574   -0.188    0.012   -0.029    0.017
1570.074   -0.175    0.011   -0.011    0.016
1573.823   -0.177    0.013    0.004    0.019
1577.556   -0.180    0.012   -0.006    0.017
1580.035   -0.175    0.012   -0.028    0.019
1582.509   -0.181    0.012   -0.014    0.017
1584.973   -0.184    0.012   -0.021    0.018
1587.428   -0.181    0.011   -0.036    0.017
1589.891   -0.166    0.015   -0.062    0.014
1592.273   -0.183    0.012   -0.020    0.018
1594.764   -0.194    0.013   -0.011    0.017
1597.186   -0.189    0.014   -0.024    0.016
1599.605   -0.195    0.013   -0.015    0.017
1602.020   -0.196    0.013   -0.021    0.016
1604.425   -0.197    0.012   -0.012    0.015
1606.821   -0.167    0.015   -0.053    0.014
1609.213   -0.171    0.015   -0.050    0.014
1611.596   -0.155    0.015   -0.050    0.011
1613.970   -0.152    0.015   -0.050    0.013
1616.346   -0.140    0.015   -0.051    0.012
1618.654   -0.169    0.017   -0.039    0.013
1621.058   -0.172    0.017   -0.042    0.013
1623.395   -0.085    0.020   -0.086    0.013
1625.734   -0.113    0.020   -0.081    0.013
1628.064   -0.106    0.020   -0.074    0.013
1630.385   -0.116    0.019   -0.070    0.012
1632.702   -0.134    0.016   -0.063    0.012
1635.011   -0.116    0.017   -0.065    0.011
1637.311   -0.119    0.016   -0.066    0.013
1639.601   -0.103    0.015   -0.065    0.012
1641.894   -0.074    0.017   -0.079    0.012
1644.121   -0.066    0.017   -0.073    0.012
1646.442   -0.073    0.017   -0.066    0.011
1648.692   -0.099    0.016   -0.054    0.011
1650.950   -0.091    0.017   -0.036    0.012
1653.193   -0.094    0.016   -0.046    0.012
1655.433   -0.108    0.016   -0.036    0.011
1657.665   -0.110    0.026   -0.025    0.011
1659.888   -0.103    0.026   -0.020    0.011
1662.102   -0.098    0.026   -0.013    0.012
1664.308   -0.097    0.027    0.000    0.011
1666.517   -0.127    0.020   -0.020    0.010
1668.660   -0.123    0.021   -0.018    0.010
1670.891   -0.111    0.020   -0.007    0.011
1673.063   -0.112    0.020   -0.003    0.010
1675.232   -0.129    0.027   -0.004    0.010
1677.392   -0.081    0.025    0.004    0.011
1679.545   -0.076    0.026    0.015    0.011
1681.694   -0.076    0.021    0.012    0.011
1683.829   -0.075    0.017   -0.009    0.012
1685.957   -0.069    0.018   -0.002    0.012
1688.087   -0.070    0.017   -0.004    0.012
1690.159   -0.066    0.021    0.014    0.012
1692.306   -0.085    0.019    0.003    0.013
1694.400   -0.087    0.019    0.008    0.012
1696.492   -0.090    0.019    0.011    0.012
1698.576   -0.094    0.019    0.004    0.013
1700.646   -0.090    0.019    0.007    0.014
1702.714   -0.094    0.019    0.011    0.013
1704.773   -0.091    0.019    0.016    0.013
1706.825   -0.100    0.018    0.010    0.013
1708.874   -0.080    0.026    0.010    0.014
1710.872   -0.070    0.025    0.023    0.014
1712.938   -0.078    0.023    0.031    0.013
1714.953   -0.079    0.023    0.026    0.014
1716.965   -0.146    0.024    0.067    0.012
1718.969   -0.115    0.021    0.040    0.015
1724.930   -0.124    0.022    0.057    0.015
