   W                 E1+_p1/2
 (MeV)      Re       DRe      Im       DIm
1646.442    0.815    0.055    0.321    0.065
1648.692    0.986    0.048    0.069    0.063
1650.950    0.991    0.049    0.091    0.063
1653.193    0.979    0.049    0.081    0.063
1655.433    0.955    0.053    0.302    0.059
1657.665    0.960    0.053    0.337    0.059
1659.888    0.943    0.053    0.339    0.059
1662.102    0.935    0.053    0.348    0.059
1664.308    0.942    0.053    0.373    0.059
1666.517    0.928    0.053    0.344    0.059
1668.660    0.788    0.073    0.361    0.051
1670.891    0.791    0.073    0.372    0.051
1673.063    0.784    0.073    0.382    0.051
1675.232    0.780    0.074    0.420    0.050
1677.392    0.899    0.059    0.392    0.064
1679.545    0.896    0.059    0.402    0.064
1681.694    0.902    0.058    0.410    0.064
1683.829    0.888    0.057    0.374    0.064
1685.957    0.935    0.047    0.608    0.049
1688.087    0.928    0.047    0.624    0.049
1690.159    0.967    0.048    0.658    0.050
1692.306    0.929    0.048    0.642    0.050
1694.400    0.920    0.048    0.651    0.050
1696.492    0.886    0.049    0.630    0.051
1698.576    0.793    0.048    0.660    0.054
1700.646    0.797    0.048    0.677    0.054
1702.714    0.780    0.052    0.552    0.040
1704.773    0.773    0.052    0.559    0.040
1706.825    0.762    0.052    0.557    0.040
1708.874    0.793    0.054    0.558    0.038
1710.872    0.773    0.043    0.593    0.043
1712.938    0.764    0.042    0.591    0.042
1714.953    0.758    0.041    0.592    0.042
1716.965    0.705    0.044    0.637    0.047
1718.969    0.725    0.043    0.599    0.049
1724.930    0.525    0.035    0.472    0.036
1726.904    0.528    0.035    0.468    0.036
1730.827    0.516    0.034    0.439    0.034
1735.678    0.655    0.035    0.306    0.040
1739.528    0.627    0.034    0.294    0.040
1745.241    0.380    0.038    0.450    0.049
1749.001    0.366    0.038    0.455    0.049
1753.678    0.468    0.033   -0.007    0.041
1759.212    0.529    0.035    0.079    0.044
1763.766    0.557    0.038    0.058    0.048
1767.385    0.490    0.037    0.219    0.051
1770.965    0.485    0.037    0.236    0.050
1774.511    0.456    0.039    0.246    0.054
1778.029    0.445    0.027    0.069    0.041
