   W                 M2-_p1/2
 (MeV)      Re       DRe      Im       DIm
1469.715    1.267    0.090    2.011    0.105
1470.590    1.235    0.097    1.986    0.107
1472.413    1.287    0.092    2.013    0.106
1472.840    1.238    0.100    2.283    0.125
1475.062    1.112    0.088    1.939    0.124
1475.253    1.311    0.093    2.270    0.124
1477.280    1.113    0.089    1.960    0.124
1477.998    1.107    0.071    2.163    0.100
1479.463    1.003    0.074    2.089    0.101
1480.750    1.093    0.068    2.270    0.101
1481.631    1.064    0.074    2.250    0.103
1483.491    1.083    0.060    2.371    0.088
1483.782    1.042    0.067    2.349    0.090
1485.906    1.060    0.067    2.353    0.091
1488.026    0.875    0.061    2.718    0.089
1488.959    0.902    0.053    2.747    0.087
1490.111    0.863    0.062    2.754    0.088
1491.685    0.878    0.053    2.759    0.087
1492.188    0.856    0.062    2.747    0.088
1494.236    0.665    0.060    2.763    0.112
1494.400    0.691    0.053    2.786    0.111
1496.282    0.649    0.061    2.779    0.112
1497.109    0.614    0.049    2.806    0.105
1498.293    0.552    0.059    2.817    0.107
1499.814    0.369    0.045    2.655    0.110
1500.290    0.308    0.057    2.649    0.112
1502.277    0.327    0.056    2.644    0.113
1502.515    0.356    0.049    2.653    0.111
1504.231    0.147    0.058    2.901    0.119
1505.141    0.205    0.048    2.908    0.117
1506.188    0.166    0.053    2.871    0.120
1507.882    0.094    0.043    2.728    0.098
1508.112    0.055    0.055    2.697    0.101
1510.014    0.060    0.053    2.693    0.103
1510.549   -0.144    0.048    2.744    0.100
1511.921   -0.181    0.058    2.716    0.103
1513.217   -0.203    0.048    2.751    0.101
1513.887   -0.270    0.056    2.657    0.106
1515.875   -0.278    0.044    2.625    0.105
1515.918   -0.301    0.050    2.585    0.108
1518.015   -0.546    0.052    2.419    0.092
1518.528   -0.539    0.048    2.485    0.088
1520.171   -0.567    0.053    2.432    0.092
1521.176   -0.567    0.048    2.479    0.088
1522.360   -0.692    0.062    2.622    0.115
1523.814   -0.664    0.055    2.631    0.113
1524.553   -0.688    0.058    2.575    0.115
1526.724   -0.827    0.058    2.267    0.071
1528.843   -0.828    0.058    2.254    0.071
1529.070   -0.790    0.050    2.258    0.069
1530.891   -0.882    0.059    2.009    0.075
1531.681   -0.865    0.056    2.046    0.071
1532.857   -0.895    0.059    1.999    0.075
1534.307   -0.923    0.054    1.947    0.073
1534.705   -0.924    0.056    1.870    0.078
1536.452   -1.090    0.061    1.905    0.079
1536.843   -1.078    0.058    1.950    0.074
1538.069   -1.098    0.062    1.910    0.081
1539.502   -1.099    0.057    1.944    0.074
1539.911   -1.122    0.062    1.905    0.081
1542.078   -1.152    0.064    1.759    0.071
1544.662   -1.236    0.075    1.774    0.071
1547.235   -1.236    0.066    1.748    0.070
1549.804   -1.385    0.099    1.592    0.090
1552.363   -1.351    0.097    1.527    0.090
1554.912   -1.353    0.097    1.572    0.091
1557.462   -1.076    0.058    1.180    0.049
1559.996   -1.089    0.058    1.175    0.049
1562.532   -1.224    0.075    1.162    0.055
1565.004   -1.231    0.074    1.154    0.056
1567.574   -1.222    0.074    1.134    0.055
1570.074   -1.088    0.078    0.837    0.047
1573.823   -1.065    0.079    0.822    0.050
1577.556   -1.214    0.079    0.860    0.044
1580.035   -1.207    0.079    0.881    0.047
1582.509   -1.198    0.079    0.851    0.045
1584.973   -0.969    0.067    0.652    0.037
1587.428   -0.948    0.066    0.660    0.036
1589.891   -1.076    0.085    0.752    0.035
1592.273   -1.061    0.080    0.637    0.040
1594.764   -1.071    0.080    0.619    0.037
1597.186   -0.853    0.072    0.478    0.031
1599.605   -0.853    0.071    0.466    0.032
1602.020   -0.847    0.071    0.471    0.029
1604.425   -0.975    0.067    0.486    0.027
1606.821   -0.943    0.072    0.577    0.026
1609.213   -0.952    0.072    0.569    0.027
1611.596   -0.813    0.050    0.463    0.020
1613.970   -0.860    0.051    0.466    0.023
1616.346   -0.844    0.051    0.484    0.021
1618.654   -0.821    0.072    0.454    0.025
1621.058   -0.832    0.072    0.461    0.025
1623.395   -0.769    0.072    0.512    0.020
1625.734   -0.849    0.074    0.418    0.021
1628.064   -0.845    0.073    0.424    0.020
1630.385   -0.870    0.073    0.397    0.021
1632.702   -0.835    0.075    0.367    0.022
1635.011   -0.782    0.073    0.400    0.019
1637.311   -0.850    0.074    0.385    0.020
1639.601   -0.518    0.073    0.330    0.020
1641.894   -0.582    0.074    0.347    0.022
1644.121   -0.568    0.076    0.355    0.022
1646.442   -0.565    0.075    0.351    0.021
1648.692   -0.849    0.071    0.297    0.024
1650.950   -0.863    0.071    0.300    0.025
1653.193   -0.859    0.074    0.297    0.024
1655.433   -0.762    0.068    0.257    0.026
1657.665   -0.737    0.061    0.196    0.024
1659.888   -0.762    0.060    0.193    0.025
1662.102   -0.768    0.060    0.194    0.026
