   W                 E2-_p1/2
 (MeV)      Re       DRe      Im       DIm
1443.902    2.872    0.246    2.551    0.141
1444.441    2.773    0.244    2.311    0.145
1445.142    2.871    0.247    2.552    0.141
1446.998    2.879    0.244    2.444    0.147
1447.277    2.880    0.237    2.404    0.144
1449.453    2.725    0.218    2.372    0.136
1450.107    2.615    0.213    2.446    0.130
1451.885    2.728    0.216    2.418    0.139
1452.925    2.604    0.215    2.447    0.131
1454.281    2.709    0.162    2.861    0.113
1455.738    2.708    0.154    2.724    0.113
1456.679    2.714    0.157    2.765    0.115
1458.546    2.623    0.245    2.838    0.174
1459.047    2.470    0.247    2.811    0.177
1461.348    2.444    0.245    2.835    0.175
1461.393    2.591    0.248    2.905    0.178
1463.721    2.338    0.205    2.998    0.168
1464.138    2.208    0.202    2.926    0.161
1466.034    2.225    0.204    2.925    0.163
1466.923    2.454    0.170    3.312    0.143
1468.323    2.481    0.172    3.298    0.145
1469.715    2.397    0.161    3.371    0.140
1470.590    2.407    0.163    3.362    0.143
1472.413    2.322    0.161    3.457    0.142
1472.840    2.509    0.203    3.855    0.202
1475.062    2.630    0.204    3.903    0.202
1475.253    2.449    0.201    3.899    0.201
1477.280    2.616    0.204    3.930    0.201
1477.998    1.932    0.150    3.766    0.166
1479.463    1.877    0.154    3.859    0.169
1480.750    1.716    0.157    3.780    0.178
1481.631    1.715    0.161    3.768    0.181
1483.491    1.575    0.145    3.830    0.171
1483.782    1.579    0.148    3.808    0.173
1485.906    1.552    0.149    3.842    0.174
1488.026    1.229    0.133    4.105    0.188
1488.959    1.215    0.129    4.110    0.186
1490.111    1.207    0.133    4.099    0.188
1491.685    1.172    0.127    4.091    0.186
1492.188    1.169    0.131    4.092    0.189
1494.236    0.778    0.127    4.039    0.214
1494.400    0.776    0.123    4.049    0.212
1496.282    0.753    0.127    4.035    0.215
1497.109    0.673    0.114    4.143    0.198
1498.293    0.682    0.119    4.113    0.200
1499.814    0.540    0.088    4.580    0.169
1500.290    0.571    0.095    4.545    0.172
1502.277    0.527    0.095    4.555    0.173
1502.515    0.511    0.091    4.553    0.171
1504.231    0.295    0.095    4.613    0.207
1505.141    0.259    0.091    4.632    0.205
1506.188    0.243    0.095    4.617    0.207
1507.882    0.027    0.077    4.369    0.186
1508.112    0.032    0.086    4.359    0.190
1510.014   -0.013    0.086    4.362    0.190
1510.549   -0.256    0.065    4.436    0.157
1511.921   -0.265    0.074    4.428    0.161
1513.217   -0.374    0.063    4.460    0.160
1513.887   -0.439    0.068    4.453    0.161
1515.875   -0.529    0.059    4.397    0.158
1515.918   -0.535    0.068    4.396    0.162
1518.015   -0.938    0.063    4.175    0.135
1518.528   -0.938    0.050    4.155    0.130
1520.171   -0.958    0.061    4.150    0.136
1521.176   -0.949    0.049    4.125    0.130
1522.360   -1.019    0.060    4.053    0.217
1523.814   -1.024    0.052    4.028    0.215
1524.553   -1.047    0.060    4.017    0.217
1526.724   -1.303    0.055    3.638    0.136
1528.843   -1.317    0.054    3.609    0.137
1529.070   -1.303    0.045    3.610    0.132
1530.891   -1.486    0.056    3.480    0.146
1531.681   -1.468    0.045    3.459    0.143
1532.857   -1.494    0.054    3.447    0.147
1534.307   -1.550    0.042    3.349    0.144
1534.705   -1.544    0.058    3.345    0.148
1536.452   -1.678    0.056    3.505    0.145
1536.843   -1.675    0.043    3.481    0.141
1538.069   -1.701    0.054    3.478    0.145
1539.502   -1.679    0.041    3.437    0.140
1539.911   -1.715    0.053    3.456    0.146
1542.078   -1.738    0.043    3.076    0.127
1544.662   -1.888    0.060    3.057    0.150
1547.235   -1.907    0.051    3.047    0.146
1549.804   -1.993    0.054    2.757    0.163
1552.363   -2.051    0.047    2.666    0.160
1554.912   -1.958    0.051    2.483    0.162
1557.462   -1.938    0.047    2.134    0.126
1559.996   -1.916    0.047    2.094    0.126
1562.532   -1.919    0.047    2.137    0.130
1565.004   -1.903    0.048    2.120    0.126
1567.574   -1.875    0.048    2.089    0.124
1570.074   -1.848    0.050    1.440    0.155
1573.823   -1.709    0.060    1.438    0.149
1577.556   -1.698    0.053    1.567    0.146
1580.035   -1.635    0.052    1.558    0.143
1582.509   -1.632    0.055    1.513    0.148
1584.973   -1.559    0.056    1.323    0.158
1587.428   -1.512    0.052    1.316    0.156
1589.891   -1.424    0.047    1.329    0.124
1592.273   -1.470    0.048    1.350    0.124
1594.764   -1.434    0.049    1.308    0.123
1597.186   -1.357    0.046    1.223    0.112
1599.605   -1.361    0.046    1.193    0.112
1602.020   -1.349    0.045    1.186    0.111
1604.425   -1.358    0.043    1.193    0.107
1606.821   -1.310    0.044    1.091    0.116
1609.213   -1.303    0.044    1.093    0.116
1611.596   -1.246    0.046    0.624    0.107
1613.970   -1.238    0.051    0.683    0.110
1616.346   -1.236    0.050    0.656    0.106
1618.654   -1.208    0.052    0.616    0.120
1621.058   -1.202    0.053    0.594    0.118
1623.395   -1.159    0.053    0.589    0.115
1625.734   -1.224    0.050    0.639    0.109
1628.064   -1.225    0.052    0.625    0.110
1630.385   -1.186    0.053    0.547    0.106
1632.702   -1.129    0.054    0.550    0.112
1635.011   -1.127    0.058    0.482    0.112
1637.311   -1.115    0.054    0.587    0.121
1639.601   -1.163    0.050    0.692    0.096
1641.894   -1.142    0.049    0.713    0.095
1644.121   -1.131    0.053    0.679    0.095
1646.442   -1.124    0.052    0.682    0.095
1648.692   -1.113    0.051    0.700    0.082
1650.950   -1.095    0.051    0.715    0.082
1653.193   -1.116    0.053    0.688    0.082
1655.433   -1.241    0.054    0.724    0.069
1657.665   -1.157    0.074    0.711    0.068
1659.888   -1.173    0.071    0.721    0.068
1662.102   -1.182    0.075    0.733    0.070
1664.308   -1.146    0.074    0.736    0.068
1666.517   -1.107    0.058    0.698    0.065
1668.660   -1.227    0.067    0.675    0.081
1670.891   -1.220    0.067    0.661    0.082
1673.063   -1.215    0.067    0.674    0.082
1675.232   -1.103    0.083    0.657    0.079
1677.392   -1.315    0.075    0.792    0.070
1679.545   -1.296    0.076    0.792    0.070
1681.694   -1.278    0.068    0.783    0.068
1683.829   -1.290    0.061    0.776    0.069
1685.957   -1.398    0.066    0.626    0.066
1688.087   -1.393    0.066    0.645    0.066
1690.159   -1.298    0.071    0.633    0.065
1692.306   -1.354    0.072    0.575    0.066
1694.400   -1.341    0.071    0.587    0.065
1696.492   -1.383    0.070    0.590    0.067
1698.576   -1.462    0.068    0.545    0.056
1700.646   -1.445    0.066    0.573    0.056
1702.714   -1.379    0.066    0.518    0.056
1704.773   -1.370    0.065    0.529    0.056
1706.825   -1.360    0.064    0.544    0.056
1708.874   -1.281    0.078    0.530    0.055
1710.872   -1.421    0.071    0.463    0.043
1712.938   -1.417    0.067    0.471    0.043
1714.953   -1.402    0.066    0.483    0.043
1716.965   -1.405    0.072    0.515    0.057
1718.969   -1.416    0.076    0.524    0.063
1724.930   -1.148    0.061    0.247    0.045
1726.904   -1.120    0.062    0.256    0.044
1730.827   -1.112    0.065    0.348    0.051
1735.678   -1.182    0.063    0.404    0.049
1739.528   -1.136    0.057    0.404    0.048
1745.241   -1.294    0.065    0.126    0.052
1749.001   -1.328    0.063    0.148    0.051
1753.678   -0.682    0.058   -0.080    0.045
1759.212   -0.670    0.051    0.115    0.043
1763.766   -0.680    0.047    0.142    0.042
1767.385   -0.718    0.055    0.058    0.044
1770.965   -0.726    0.055    0.086    0.044
1774.511   -0.727    0.060    0.117    0.044
1778.029   -0.624    0.052   -0.062    0.050
1781.509   -0.598    0.039    0.023    0.041
1784.971   -0.644    0.043    0.056    0.036
1790.094   -0.680    0.048    0.055    0.043
1793.471   -0.646    0.047    0.072    0.043
1796.806   -0.669    0.047    0.058    0.042
1800.129   -0.262    0.046   -0.082    0.036
1803.415   -0.271    0.044   -0.094    0.036
1806.669   -0.234    0.042   -0.150    0.049
1809.896   -0.640    0.034    0.091    0.052
1813.082   -0.638    0.032    0.097    0.042
1816.251   -0.614    0.035    0.108    0.044
1819.390   -0.620    0.044    0.085    0.047
1822.497   -0.498    0.031    0.009    0.041
1825.562   -0.541    0.035    0.109    0.054
1828.623   -0.540    0.036    0.114    0.053
1831.643   -0.538    0.035    0.118    0.052
1834.637   -0.537    0.036    0.118    0.050
1838.336   -0.497    0.060    0.032    0.068
1841.997   -0.495    0.058    0.056    0.069
1844.898   -0.502    0.062    0.063    0.063
1847.754   -0.273    0.066   -0.080    0.053
1852.035   -0.266    0.067   -0.090    0.055
1854.976   -0.268    0.066   -0.066    0.056
1858.008   -0.253    0.067   -0.072    0.056
1861.147   -0.248    0.067   -0.064    0.055
1864.365   -0.260    0.067   -0.031    0.059
1869.276   -0.285    0.071    0.027    0.089
1872.541   -0.287    0.065    0.003    0.058
1875.750   -0.126    0.052   -0.011    0.064
1878.864   -0.101    0.051    0.030    0.059
1887.394   -0.040    0.047   -0.027    0.058
1889.902   -0.048    0.048    0.023    0.069
1894.385   -0.059    0.053   -0.024    0.038
