   W         M2+(eta_p)
 (MeV)      Re      Im
 2076.0    0.162   0.050
 2077.0    0.162   0.050
 2078.0    0.161   0.050
 2079.0    0.161   0.049
 2080.0    0.161   0.049
 2081.0    0.161   0.049
 2082.0    0.160   0.049
 2083.0    0.160   0.049
 2084.0    0.160   0.049
 2085.0    0.160   0.049
 2086.0    0.159   0.048
