   W         M2-(eta_p)
 (MeV)      Re      Im
 1951.0    0.213   0.090
 1952.0    0.214   0.090
 1953.0    0.214   0.089
 1954.0    0.215   0.089
 1955.0    0.215   0.089
 1956.0    0.216   0.088
 1957.0    0.216   0.088
 1958.0    0.217   0.088
 1959.0    0.217   0.088
 1960.0    0.218   0.087
 1961.0    0.218   0.087
 1962.0    0.219   0.087
 1963.0    0.219   0.087
 1964.0    0.220   0.086
 1965.0    0.220   0.086
 1966.0    0.221   0.086
 1967.0    0.221   0.085
 1968.0    0.222   0.085
 1969.0    0.222   0.085
 1970.0    0.223   0.085
 1971.0    0.223   0.084
 1972.0    0.224   0.084
 1973.0    0.224   0.084
 1974.0    0.225   0.084
 1975.0    0.225   0.083
 1976.0    0.226   0.083
 1977.0    0.226   0.083
 1978.0    0.227   0.083
 1979.0    0.227   0.082
 1980.0    0.228   0.082
 1981.0    0.228   0.082
 1982.0    0.229   0.082
 1983.0    0.229   0.081
 1984.0    0.230   0.081
 1985.0    0.230   0.081
 1986.0    0.231   0.081
 1987.0    0.231   0.081
 1988.0    0.232   0.080
 1989.0    0.232   0.080
 1990.0    0.233   0.080
 1991.0    0.233   0.080
 1992.0    0.234   0.079
 1993.0    0.234   0.079
 1994.0    0.235   0.079
 1995.0    0.235   0.079
 1996.0    0.236   0.078
 1997.0    0.236   0.078
 1998.0    0.237   0.078
 1999.0    0.237   0.078
 2000.0    0.238   0.078
 2001.0    0.238   0.077
 2002.0    0.239   0.077
 2003.0    0.239   0.077
 2004.0    0.240   0.077
 2005.0    0.240   0.077
 2006.0    0.241   0.076
 2007.0    0.241   0.076
 2008.0    0.242   0.076
 2009.0    0.242   0.076
 2010.0    0.243   0.076
 2011.0    0.243   0.075
 2012.0    0.244   0.075
 2013.0    0.244   0.075
 2014.0    0.245   0.075
 2015.0    0.245   0.075
 2016.0    0.246   0.074
 2017.0    0.246   0.074
 2018.0    0.247   0.074
 2019.0    0.247   0.074
 2020.0    0.248   0.074
 2021.0    0.248   0.073
 2022.0    0.249   0.073
 2023.0    0.249   0.073
 2024.0    0.250   0.073
 2025.0    0.250   0.073
 2026.0    0.251   0.072
 2027.0    0.251   0.072
 2028.0    0.252   0.072
 2029.0    0.252   0.072
 2030.0    0.253   0.072
 2031.0    0.253   0.072
 2032.0    0.254   0.071
 2033.0    0.254   0.071
 2034.0    0.255   0.071
 2035.0    0.255   0.071
 2036.0    0.256   0.071
 2037.0    0.256   0.071
 2038.0    0.256   0.070
 2039.0    0.257   0.070
 2040.0    0.257   0.070
 2041.0    0.258   0.070
 2042.0    0.258   0.070
 2043.0    0.259   0.070
 2044.0    0.259   0.069
 2045.0    0.260   0.069
 2046.0    0.260   0.069
 2047.0    0.261   0.069
 2048.0    0.261   0.069
 2049.0    0.262   0.069
 2050.0    0.262   0.068
 2051.0    0.263   0.068
 2052.0    0.263   0.068
 2053.0    0.264   0.068
 2054.0    0.264   0.068
 2055.0    0.264   0.068
 2056.0    0.265   0.068
 2057.0    0.265   0.067
 2058.0    0.266   0.067
 2059.0    0.266   0.067
 2060.0    0.267   0.067
 2061.0    0.267   0.067
 2062.0    0.268   0.067
 2063.0    0.268   0.066
 2064.0    0.268   0.066
 2065.0    0.269   0.066
 2066.0    0.269   0.066
 2067.0    0.270   0.066
 2068.0    0.270   0.066
 2069.0    0.271   0.066
 2070.0    0.271   0.065
 2071.0    0.272   0.065
 2072.0    0.272   0.065
 2073.0    0.272   0.065
 2074.0    0.273   0.065
 2075.0    0.273   0.065
 2076.0    0.274   0.065
 2077.0    0.274   0.065
 2078.0    0.275   0.064
 2079.0    0.275   0.064
 2080.0    0.275   0.064
 2081.0    0.276   0.064
 2082.0    0.276   0.064
 2083.0    0.277   0.064
 2084.0    0.277   0.064
 2085.0    0.278   0.063
 2086.0    0.278   0.063
