   W          M2+(pi0_p)
 (MeV)       Re        Im
 1569.00    0.50023  -0.01092
 1570.00    0.50246  -0.01082
 1571.00    0.50469  -0.01071
 1572.00    0.50692  -0.01060
 1573.00    0.50915  -0.01049
 1574.00    0.51138  -0.01038
 1575.00    0.51360  -0.01026
 1576.00    0.51583  -0.01014
 1577.00    0.51805  -0.01002
 1578.00    0.52028  -0.00990
 1579.00    0.52250  -0.00977
 1580.00    0.52473  -0.00964
 1581.00    0.52695  -0.00951
 1582.00    0.52917  -0.00938
 1583.00    0.53139  -0.00925
 1584.00    0.53361  -0.00911
 1585.00    0.53582  -0.00897
 1586.00    0.53804  -0.00882
 1587.00    0.54025  -0.00868
 1588.00    0.54246  -0.00853
 1589.00    0.54467  -0.00838
 1590.00    0.54688  -0.00823
 1591.00    0.54909  -0.00808
 1592.00    0.55129  -0.00792
 1593.00    0.55349  -0.00777
 1594.00    0.55569  -0.00761
 1595.00    0.55788  -0.00744
 1596.00    0.56007  -0.00728
 1597.00    0.56226  -0.00711
 1598.00    0.56445  -0.00694
 1599.00    0.56663  -0.00677
 1600.00    0.56881  -0.00660
 1601.00    0.57098  -0.00642
 1602.00    0.57315  -0.00624
 1603.00    0.57532  -0.00606
 1604.00    0.57748  -0.00588
 1605.00    0.57963  -0.00569
 1606.00    0.58179  -0.00551
 1607.00    0.58393  -0.00532
 1608.00    0.58608  -0.00513
 1609.00    0.58822  -0.00494
 1610.00    0.59035  -0.00474
 1611.00    0.59247  -0.00455
 1612.00    0.59460  -0.00435
 1613.00    0.59671  -0.00416
 1614.00    0.59882  -0.00396
 1615.00    0.60093  -0.00376
 1616.00    0.60303  -0.00356
 1617.00    0.60512  -0.00336
 1618.00    0.60720  -0.00317
 1619.00    0.60928  -0.00297
 1620.00    0.61136  -0.00277
 1621.00    0.61342  -0.00257
 1622.00    0.61548  -0.00237
 1623.00    0.61753  -0.00217
 1624.00    0.61958  -0.00198
 1625.00    0.62161  -0.00179
 1626.00    0.62364  -0.00159
 1627.00    0.62567  -0.00140
 1628.00    0.62768  -0.00122
 1629.00    0.62969  -0.00103
 1630.00    0.63169  -0.00085
 1631.00    0.63368  -0.00067
 1632.00    0.63567  -0.00049
 1633.00    0.63764  -0.00032
 1634.00    0.63961  -0.00016
 1635.00    0.64157   0.00001
 1636.00    0.64353   0.00016
 1637.00    0.64547   0.00032
 1638.00    0.64741   0.00046
 1639.00    0.64934   0.00060
 1640.00    0.65127   0.00074
 1641.00    0.65318   0.00086
 1642.00    0.65509   0.00098
 1643.00    0.65700   0.00109
 1644.00    0.65889   0.00120
 1645.00    0.66079   0.00129
 1646.00    0.66267   0.00138
 1647.00    0.66455   0.00146
 1648.00    0.66642   0.00153
 1649.00    0.66829   0.00159
 1650.00    0.67016   0.00164
 1651.00    0.67201   0.00168
 1652.00    0.67387   0.00172
 1653.00    0.67572   0.00174
 1654.00    0.67757   0.00175
 1655.00    0.67941   0.00175
 1656.00    0.68126   0.00174
 1657.00    0.68310   0.00172
 1658.00    0.68495   0.00168
 1659.00    0.68679   0.00164
 1660.00    0.68864   0.00158
 1661.00    0.69048   0.00150
 1662.00    0.69233   0.00142
 1663.00    0.69418   0.00132
 1664.00    0.69602   0.00122
 1665.00    0.69787   0.00111
 1666.00    0.69972   0.00099
 1667.00    0.70157   0.00086
 1668.00    0.70343   0.00073
 1669.00    0.70529   0.00059
 1670.00    0.70716   0.00044
 1671.00    0.70903   0.00028
 1672.00    0.71091   0.00012
 1673.00    0.71280  -0.00006
 1674.00    0.71469  -0.00025
 1675.00    0.71659  -0.00046
 1676.00    0.71849  -0.00067
 1677.00    0.72039  -0.00089
 1678.00    0.72230  -0.00113
 1679.00    0.72422  -0.00137
 1680.00    0.72614  -0.00162
 1681.00    0.72806  -0.00187
 1682.00    0.73000  -0.00212
 1683.00    0.73194  -0.00238
 1684.00    0.73390  -0.00264
 1685.00    0.73586  -0.00290
 1686.00    0.73784  -0.00317
 1687.00    0.73982  -0.00344
 1688.00    0.74181  -0.00371
 1689.00    0.74382  -0.00398
 1690.00    0.74582  -0.00426
 1691.00    0.74784  -0.00454
