   W          M1-(pi0_p)
 (MeV)       Re        Im
 1625.00   -0.43853   1.31576
 1626.00   -0.43734   1.31088
 1627.00   -0.43617   1.30602
 1628.00   -0.43504   1.30116
 1629.00   -0.43392   1.29631
 1630.00   -0.43281   1.29144
 1631.00   -0.43171   1.28656
 1632.00   -0.43061   1.28167
 1633.00   -0.42950   1.27676
 1634.00   -0.42840   1.27186
 1635.00   -0.42729   1.26695
 1636.00   -0.42619   1.26207
 1637.00   -0.42511   1.25720
 1638.00   -0.42404   1.25236
 1639.00   -0.42300   1.24757
 1640.00   -0.42201   1.24282
 1641.00   -0.42107   1.23814
 1642.00   -0.42018   1.23351
 1643.00   -0.41934   1.22892
 1644.00   -0.41854   1.22438
 1645.00   -0.41777   1.21985
 1646.00   -0.41703   1.21535
 1647.00   -0.41629   1.21085
 1648.00   -0.41556   1.20634
 1649.00   -0.41480   1.20181
 1650.00   -0.41400   1.19724
 1651.00   -0.41315   1.19263
 1652.00   -0.41224   1.18798
 1653.00   -0.41128   1.18330
 1654.00   -0.41028   1.17858
 1655.00   -0.40923   1.17385
 1656.00   -0.40816   1.16910
 1657.00   -0.40706   1.16435
 1658.00   -0.40596   1.15961
 1659.00   -0.40487   1.15489
 1660.00   -0.40380   1.15019
 1661.00   -0.40276   1.14553
 1662.00   -0.40177   1.14091
 1663.00   -0.40083   1.13633
 1664.00   -0.39993   1.13178
 1665.00   -0.39909   1.12728
 1666.00   -0.39831   1.12282
 1667.00   -0.39758   1.11839
 1668.00   -0.39691   1.11401
 1669.00   -0.39631   1.10967
 1670.00   -0.39577   1.10537
 1671.00   -0.39530   1.10110
 1672.00   -0.39488   1.09687
 1673.00   -0.39450   1.09265
 1674.00   -0.39413   1.08844
 1675.00   -0.39375   1.08423
 1676.00   -0.39333   1.07999
 1677.00   -0.39287   1.07572
 1678.00   -0.39231   1.07141
 1679.00   -0.39165   1.06705
 1680.00   -0.39085   1.06261
 1681.00   -0.38988   1.05810
 1682.00   -0.38877   1.05352
 1683.00   -0.38752   1.04888
 1684.00   -0.38618   1.04421
 1685.00   -0.38476   1.03951
 1686.00   -0.38330   1.03480
 1687.00   -0.38182   1.03009
 1688.00   -0.38035   1.02540
 1689.00   -0.37893   1.02075
 1690.00   -0.37760   1.01614
 1691.00   -0.37637   1.01160
 1692.00   -0.37524   1.00710
 1693.00   -0.37416   1.00263
 1694.00   -0.37311   0.99818
 1695.00   -0.37206   0.99373
 1696.00   -0.37096   0.98927
 1697.00   -0.36978   0.98478
 1698.00   -0.36849   0.98025
 1699.00   -0.36704   0.97566
 1700.00   -0.36540   0.97099
 1701.00   -0.36353   0.96624
 1702.00   -0.36146   0.96142
 1703.00   -0.35921   0.95653
 1704.00   -0.35682   0.95161
 1705.00   -0.35432   0.94665
 1706.00   -0.35174   0.94167
 1707.00   -0.34911   0.93669
 1708.00   -0.34647   0.93172
 1709.00   -0.34386   0.92678
 1710.00   -0.34131   0.92187
 1711.00   -0.33886   0.91701
 1712.00   -0.33648   0.91220
 1713.00   -0.33417   0.90742
 1714.00   -0.33190   0.90267
 1715.00   -0.32966   0.89794
 1716.00   -0.32743   0.89322
 1717.00   -0.32518   0.88851
 1718.00   -0.32291   0.88379
 1719.00   -0.32058   0.87906
 1720.00   -0.31818   0.87432
 1721.00   -0.31570   0.86955
 1722.00   -0.31313   0.86477
 1723.00   -0.31048   0.85996
 1724.00   -0.30776   0.85514
 1725.00   -0.30496   0.85030
 1726.00   -0.30210   0.84546
 1727.00   -0.29918   0.84060
 1728.00   -0.29621   0.83574
 1729.00   -0.29319   0.83088
 1730.00   -0.29013   0.82602
 1731.00   -0.28703   0.82116
 1732.00   -0.28389   0.81630
 1733.00   -0.28073   0.81145
 1734.00   -0.27755   0.80660
 1735.00   -0.27435   0.80176
 1736.00   -0.27113   0.79693
 1737.00   -0.26791   0.79211
 1738.00   -0.26468   0.78730
 1739.00   -0.26145   0.78249
 1740.00   -0.25822   0.77770
 1741.00   -0.25500   0.77291
 1742.00   -0.25178   0.76813
 1743.00   -0.24853   0.76336
 1744.00   -0.24524   0.75858
 1745.00   -0.24189   0.75380
 1746.00   -0.23848   0.74901
 1747.00   -0.23498   0.74420
 1748.00   -0.23138   0.73939
 1749.00   -0.22768   0.73455
 1750.00   -0.22384   0.72970
 1751.00   -0.21988   0.72483
 1752.00   -0.21581   0.71995
 1753.00   -0.21166   0.71507
 1754.00   -0.20747   0.71019
 1755.00   -0.20326   0.70533
 1756.00   -0.19906   0.70049
 1757.00   -0.19491   0.69568
 1758.00   -0.19083   0.69090
 1759.00   -0.18684   0.68616
 1760.00   -0.18297   0.68148
 1761.00   -0.17924   0.67684
 1762.00   -0.17564   0.67224
 1763.00   -0.17212   0.66768
 1764.00   -0.16867   0.66315
 1765.00   -0.16527   0.65865
 1766.00   -0.16187   0.65416
 1767.00   -0.15847   0.64968
 1768.00   -0.15503   0.64521
 1769.00   -0.15153   0.64074
 1770.00   -0.14796   0.63626
 1771.00   -0.14429   0.63179
 1772.00   -0.14054   0.62731
 1773.00   -0.13672   0.62284
 1774.00   -0.13285   0.61838
 1775.00   -0.12894   0.61393
 1776.00   -0.12502   0.60950
 1777.00   -0.12109   0.60509
 1778.00   -0.11718   0.60070
 1779.00   -0.11329   0.59634
 1780.00   -0.10944   0.59201
 1781.00   -0.10565   0.58771
 1782.00   -0.10190   0.58345
 1783.00   -0.09820   0.57922
 1784.00   -0.09455   0.57501
 1785.00   -0.09094   0.57084
 1786.00   -0.08737   0.56669
 1787.00   -0.08383   0.56258
 1788.00   -0.08033   0.55849
 1789.00   -0.07685   0.55443
 1790.00   -0.07341   0.55040
 1791.00   -0.06998   0.54640
 1792.00   -0.06659   0.54242
 1793.00   -0.06322   0.53847
 1794.00   -0.05987   0.53455
 1795.00   -0.05655   0.53066
 1796.00   -0.05325   0.52679
 1797.00   -0.04998   0.52295
 1798.00   -0.04674   0.51913
 1799.00   -0.04352   0.51534
 1800.00   -0.04032   0.51157
 1801.00   -0.03715   0.50783
 1802.00   -0.03401   0.50411
 1803.00   -0.03090   0.50042
 1804.00   -0.02782   0.49675
 1805.00   -0.02478   0.49311
 1806.00   -0.02179   0.48949
 1807.00   -0.01883   0.48590
 1808.00   -0.01592   0.48233
 1809.00   -0.01305   0.47879
 1810.00   -0.01024   0.47527
 1811.00   -0.00747   0.47177
 1812.00   -0.00475   0.46831
 1813.00   -0.00206   0.46486
 1814.00    0.00061   0.46144
 1815.00    0.00327   0.45805
 1816.00    0.00593   0.45468
 1817.00    0.00860   0.45135
 1818.00    0.01128   0.44804
 1819.00    0.01400   0.44477
 1820.00    0.01675   0.44152
 1821.00    0.01954   0.43832
 1822.00    0.02235   0.43515
 1823.00    0.02518   0.43201
 1824.00    0.02800   0.42891
 1825.00    0.03080   0.42584
 1826.00    0.03355   0.42280
 1827.00    0.03625   0.41979
 1828.00    0.03887   0.41680
 1829.00    0.04141   0.41383
 1830.00    0.04384   0.41087
 1831.00    0.04615   0.40793
 1832.00    0.04837   0.40501
 1833.00    0.05050   0.40210
 1834.00    0.05256   0.39920
 1835.00    0.05458   0.39632
 1836.00    0.05656   0.39347
 1837.00    0.05852   0.39063
 1838.00    0.06049   0.38782
 1839.00    0.06247   0.38504
 1840.00    0.06448   0.38230
 1841.00    0.06654   0.37958
 1842.00    0.06863   0.37691
 1843.00    0.07075   0.37427
 1844.00    0.07289   0.37166
 1845.00    0.07503   0.36909
 1846.00    0.07716   0.36654
 1847.00    0.07928   0.36403
 1848.00    0.08137   0.36154
 1849.00    0.08342   0.35907
 1850.00    0.08542   0.35663
 1851.00    0.08737   0.35421
 1852.00    0.08927   0.35180
 1853.00    0.09113   0.34942
 1854.00    0.09294   0.34706
 1855.00    0.09472   0.34472
 1856.00    0.09648   0.34240
 1857.00    0.09821   0.34011
 1858.00    0.09993   0.33784
 1859.00    0.10164   0.33559
 1860.00    0.10335   0.33338
 1861.00    0.10506   0.33119
 1862.00    0.10677   0.32902
 1863.00    0.10845   0.32688
 1864.00    0.11011   0.32475
 1865.00    0.11173   0.32264
 1866.00    0.11331   0.32054
 1867.00    0.11482   0.31844
 1868.00    0.11626   0.31634
 1869.00    0.11762   0.31424
 1870.00    0.11889   0.31213
 1871.00    0.12006   0.31002
 1872.00    0.12115   0.30789
 1873.00    0.12216   0.30576
 1874.00    0.12312   0.30363
 1875.00    0.12404   0.30152
 1876.00    0.12493   0.29941
 1877.00    0.12582   0.29732
 1878.00    0.12671   0.29526
 1879.00    0.12761   0.29324
 1880.00    0.12856   0.29125
 1881.00    0.12955   0.28930
 1882.00    0.13058   0.28739
 1883.00    0.13165   0.28553
 1884.00    0.13274   0.28369
 1885.00    0.13384   0.28189
 1886.00    0.13495   0.28011
 1887.00    0.13606   0.27836
 1888.00    0.13716   0.27662
 1889.00    0.13823   0.27489
 1890.00    0.13927   0.27317
 1891.00    0.14028   0.27146
 1892.00    0.14125   0.26975
 1893.00    0.14219   0.26805
 1894.00    0.14309   0.26636
