E =  218.370 MeV, E_lo =  216.220 MeV, E_hi =  220.520 MeV
Systematic = 0.0399, Preliminary = 0, CBMAMI_2014_Prakhov
165.160     7.510000     0.038000     0.093903
154.160     8.495500     0.038700     0.106166
146.440     9.366500     0.039400     0.117047
140.060    10.238500     0.040700     0.127984
134.430    10.893800     0.041400     0.136145
129.300    11.566500     0.042500     0.144583
124.520    12.111400     0.043200     0.151356
120.000    12.682100     0.044100     0.158479
115.680    13.065600     0.044400     0.163271
111.510    13.537700     0.045200     0.169166
107.460    13.825000     0.045300     0.172863
103.490    14.083500     0.045500     0.176014
 99.590    14.192500     0.045100     0.177459
 95.740    14.296500     0.045100     0.178697
 91.910    14.367600     0.045000     0.179650
 88.090    14.240100     0.044400     0.178047
 84.260    14.006900     0.043700     0.175130
 80.410    13.949200     0.043500     0.174355
 76.510    13.665000     0.042800     0.170820
 72.540    13.432300     0.042400     0.167930
 68.490    13.074100     0.041800     0.163439
 64.320    12.571800     0.041000     0.157139
 60.000    12.047400     0.040300     0.150601
 55.480    11.429800     0.039600     0.142915
 50.700    10.695700     0.039100     0.133700
 45.570     9.935000     0.038800     0.124180
 39.940     8.984600     0.038900     0.112251
 33.560     8.061900     0.040000     0.100750
 25.840     6.976400     0.042900     0.087221
 14.840     5.608600     0.051600     0.070170
----------------------------------------------------------
E =  270.190 MeV, E_lo =  268.010 MeV, E_hi =  272.380 MeV
Systematic = 0.1616, Preliminary = 0, CBMAMI_2014_Prakhov
165.160     8.103800     0.041300     0.101305
154.160     9.328500     0.042400     0.116632
146.440    10.258700     0.043000     0.128285
140.060    11.202100     0.044400     0.140029
134.430    11.966600     0.045300     0.149591
129.300    12.688900     0.046400     0.158654
124.520    13.436900     0.047600     0.167986
120.000    13.956000     0.048200     0.174464
115.680    14.464200     0.048900     0.180804
111.510    14.961900     0.049600     0.187035
107.460    15.310900     0.049800     0.191428
103.490    15.689500     0.050300     0.196153
 99.590    15.811000     0.049900     0.197597
 95.740    15.940600     0.049900     0.199246
