!           [syst = 5%]
!--------------------------------------------------------#001
!Tagger channel 308, Eg=146.95+/-1.17, W=1075.23+/- 1.02 MeV, Pol=0.5132
! 5 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
! bin     asymmetry      error
1  -0.9091    2.78416e-02   1.60012e-02
2  -0.7273    8.83853e-02   1.52429e-02
3  -0.5455    1.26375e-01   1.46283e-02
4  -0.3637    1.35749e-01   1.42650e-02
5  -0.1819    1.74371e-01   1.51645e-02
6   0.0000    1.95766e-01   1.62251e-02
7   0.1819    2.00815e-01   1.77813e-02
8   0.3637    2.27002e-01   1.99947e-02
9   0.5455    1.68185e-01   2.37965e-02
10  0.7273    1.14833e-01   2.99488e-02
11  0.9091    5.43783e-02   3.22014e-02
!--------------------------------------------------------#020
! Tagger channel 289, Eg=191.94+/-1.20, W=1113.80+/-1.01 MeV , Pol=0.6417
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    3.83974e-02   1.45334e-02
2  -0.7273    8.37819e-02   1.36374e-02
3  -0.5455    1.25344e-01   1.33101e-02
4  -0.3637    1.49526e-01   1.30671e-02
5  -0.1819    1.77028e-01   1.33542e-02
6   0.0000    2.06218e-01   1.40497e-02
7   0.1819    1.99635e-01   1.52243e-02
8   0.3637    2.11037e-01   1.72937e-02
9   0.5455    1.83604e-01   2.16175e-02
10  0.7273    2.08121e-01   2.54383e-02
11  0.9091    6.73542e-02   2.83384e-02
!--------------------------------------------------------#021
! Tagger channel 288, Eg=194.35+/-1.20, W=1115.82+/-1.01 MeV , Pol=0.5998
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    2.75932e-02   2.27500e-02
2  -0.7273    1.14929e-01   2.14275e-02
3  -0.5455    1.33818e-01   2.06674e-02
4  -0.3637    1.61671e-01   2.03604e-02
5  -0.1819    2.17378e-01   2.01676e-02
6   0.0000    1.90595e-01   2.13009e-02
7   0.1819    2.36890e-01   2.30409e-02
