   W         M2+(pi+_n)
 (MeV)      Re      Im
 1653.0   -0.119   0.483
 1654.0   -0.125   0.486
 1655.0   -0.132   0.489
 1656.0   -0.138   0.491
 1657.0   -0.145   0.493
 1658.0   -0.152   0.496
 1659.0   -0.159   0.497
 1660.0   -0.165   0.499
 1661.0   -0.172   0.501
 1662.0   -0.179   0.502
 1663.0   -0.186   0.503
 1664.0   -0.193   0.503
 1665.0   -0.200   0.504
 1666.0   -0.207   0.504
 1667.0   -0.214   0.504
 1668.0   -0.221   0.504
 1669.0   -0.228   0.504
 1670.0   -0.234   0.503
 1671.0   -0.241   0.503
 1672.0   -0.248   0.502
 1673.0   -0.254   0.501
 1674.0   -0.261   0.499
 1675.0   -0.267   0.498
 1676.0   -0.274   0.496
 1677.0   -0.280   0.494
 1678.0   -0.286   0.492
 1679.0   -0.292   0.490
 1680.0   -0.298   0.488
 1681.0   -0.304   0.485
 1682.0   -0.310   0.482
 1683.0   -0.315   0.480
 1684.0   -0.321   0.477
 1685.0   -0.326   0.474
 1686.0   -0.331   0.471
 1687.0   -0.336   0.467
 1688.0   -0.341   0.464
 1689.0   -0.346   0.461
 1690.0   -0.350   0.457
 1691.0   -0.355   0.453
 1692.0   -0.359   0.450
 1693.0   -0.363   0.446
 1694.0   -0.367   0.442
 1695.0   -0.371   0.438
 1696.0   -0.375   0.434
 1697.0   -0.379   0.430
 1698.0   -0.382   0.426
 1699.0   -0.386   0.422
 1700.0   -0.389   0.418
 1701.0   -0.392   0.414
 1702.0   -0.395   0.410
 1703.0   -0.398   0.406
 1704.0   -0.401   0.402
 1705.0   -0.403   0.398
 1706.0   -0.406   0.393
 1707.0   -0.408   0.389
 1708.0   -0.410   0.385
 1709.0   -0.412   0.381
 1710.0   -0.414   0.377
 1711.0   -0.416   0.373
 1712.0   -0.418   0.368
 1713.0   -0.420   0.364
 1714.0   -0.422   0.360
 1715.0   -0.423   0.356
 1716.0   -0.424   0.352
 1717.0   -0.426   0.348
 1718.0   -0.427   0.344
 1719.0   -0.428   0.340
 1720.0   -0.429   0.336
 1721.0   -0.430   0.332
 1722.0   -0.431   0.328
 1723.0   -0.432   0.324
 1724.0   -0.433   0.321
 1725.0   -0.433   0.317
 1726.0   -0.434   0.313
 1727.0   -0.435   0.309
 1728.0   -0.435   0.306
 1729.0   -0.435   0.302
 1730.0   -0.436   0.298
 1731.0   -0.436   0.295
 1732.0   -0.436   0.291
 1733.0   -0.437   0.288
 1734.0   -0.437   0.284
 1735.0   -0.437   0.281
 1736.0   -0.437   0.278
 1737.0   -0.437   0.274
 1738.0   -0.437   0.271
 1739.0   -0.437   0.268
 1740.0   -0.436   0.264
 1741.0   -0.436   0.261
 1742.0   -0.436   0.258
 1743.0   -0.436   0.255
 1744.0   -0.436   0.252
 1745.0   -0.435   0.249
 1746.0   -0.435   0.246
 1747.0   -0.434   0.243
 1748.0   -0.434   0.240
 1749.0   -0.434   0.237
 1750.0   -0.433   0.234
 1751.0   -0.433   0.232
 1752.0   -0.432   0.229
 1753.0   -0.431   0.226
 1754.0   -0.431   0.223
 1755.0   -0.430   0.221
 1756.0   -0.430   0.218
 1757.0   -0.429   0.216
 1758.0   -0.428   0.213
 1759.0   -0.428   0.211
 1760.0   -0.427   0.208
 1761.0   -0.426   0.206
 1762.0   -0.426   0.203
 1763.0   -0.425   0.201
 1764.0   -0.424   0.198
 1765.0   -0.423   0.196
 1766.0   -0.423   0.194
 1767.0   -0.422   0.192
 1768.0   -0.421   0.189
 1769.0   -0.420   0.187
 1770.0   -0.419   0.185
 1771.0   -0.418   0.183
 1772.0   -0.418   0.181
 1773.0   -0.417   0.179
 1774.0   -0.416   0.177
 1775.0   -0.415   0.175
 1776.0   -0.414   0.173
 1777.0   -0.413   0.171
 1778.0   -0.412   0.169
 1779.0   -0.411   0.167
 1780.0   -0.411   0.165
 1781.0   -0.410   0.163
 1782.0   -0.409   0.161
 1783.0   -0.408   0.159
 1784.0   -0.407   0.158
 1785.0   -0.406   0.156
 1786.0   -0.405   0.154
 1787.0   -0.404   0.152
 1788.0   -0.403   0.151
 1789.0   -0.402   0.149
 1790.0   -0.401   0.147
 1791.0   -0.400   0.146
 1792.0   -0.399   0.144
 1793.0   -0.398   0.142
 1794.0   -0.398   0.141
 1795.0   -0.397   0.139
 1796.0   -0.396   0.138
 1797.0   -0.395   0.136
 1798.0   -0.394   0.135
 1799.0   -0.393   0.133
 1800.0   -0.392   0.132
 1801.0   -0.391   0.130
 1802.0   -0.390   0.129
 1803.0   -0.389   0.127
 1804.0   -0.388   0.126
 1805.0   -0.387   0.124
 1806.0   -0.386   0.123
 1807.0   -0.385   0.122
 1808.0   -0.384   0.120
 1809.0   -0.383   0.119
 1810.0   -0.382   0.118
 1811.0   -0.381   0.116
 1812.0   -0.380   0.115
 1813.0   -0.379   0.114
 1814.0   -0.379   0.113
 1815.0   -0.378   0.111
 1816.0   -0.377   0.110
 1817.0   -0.376   0.109
 1818.0   -0.375   0.108
 1819.0   -0.374   0.107
 1820.0   -0.373   0.105
 1821.0   -0.372   0.104
 1822.0   -0.371   0.103
 1823.0   -0.370   0.102
 1824.0   -0.369   0.101
 1825.0   -0.368   0.100
 1826.0   -0.367   0.099
 1827.0   -0.367   0.098
 1828.0   -0.366   0.097
 1829.0   -0.365   0.096
 1830.0   -0.364   0.094
 1831.0   -0.363   0.093
 1832.0   -0.362   0.092
 1833.0   -0.361   0.091
 1834.0   -0.360   0.090
 1835.0   -0.359   0.089
 1836.0   -0.358   0.088
 1837.0   -0.358   0.087
 1838.0   -0.357   0.086
 1839.0   -0.356   0.086
 1840.0   -0.355   0.085
 1841.0   -0.354   0.084
 1842.0   -0.353   0.083
 1843.0   -0.352   0.082
 1844.0   -0.351   0.081
 1845.0   -0.351   0.080
 1846.0   -0.350   0.079
 1847.0   -0.349   0.078
 1848.0   -0.348   0.077
 1849.0   -0.347   0.077
 1850.0   -0.346   0.076
 1851.0   -0.346   0.075
 1852.0   -0.345   0.074
 1853.0   -0.344   0.073
 1854.0   -0.343   0.072
 1855.0   -0.342   0.072
 1856.0   -0.341   0.071
 1857.0   -0.341   0.070
 1858.0   -0.340   0.069
 1859.0   -0.339   0.068
 1860.0   -0.338   0.068
 1861.0   -0.337   0.067
 1862.0   -0.337   0.066
 1863.0   -0.336   0.065
 1864.0   -0.335   0.065
 1865.0   -0.334   0.064
 1866.0   -0.333   0.063
 1867.0   -0.333   0.062
 1868.0   -0.332   0.062
 1869.0   -0.331   0.061
 1870.0   -0.330   0.060
 1871.0   -0.329   0.060
 1872.0   -0.329   0.059
 1873.0   -0.328   0.058
 1874.0   -0.327   0.058
 1875.0   -0.326   0.057
 1876.0   -0.326   0.056
 1877.0   -0.325   0.056
 1878.0   -0.324   0.055
 1879.0   -0.323   0.054
 1880.0   -0.323   0.054
 1881.0   -0.322   0.053
 1882.0   -0.321   0.053
 1883.0   -0.320   0.052
 1884.0   -0.320   0.051
 1885.0   -0.319   0.051
 1886.0   -0.318   0.050
 1887.0   -0.318   0.050
 1888.0   -0.317   0.049
 1889.0   -0.316   0.048
 1890.0   -0.315   0.048
 1891.0   -0.315   0.047
 1892.0   -0.314   0.047
 1893.0   -0.313   0.046
 1894.0   -0.313   0.046
 1895.0   -0.312   0.045
 1896.0   -0.311   0.045
 1897.0   -0.311   0.044
 1898.0   -0.310   0.044
 1899.0   -0.309   0.043
 1900.0   -0.309   0.043
 1901.0   -0.308   0.042
 1902.0   -0.307   0.042
 1903.0   -0.307   0.041
 1904.0   -0.306   0.041
