   W         E1+(pi+_n)
 (MeV)      Re      Im
 1659.0    1.888   0.423
 1660.0    1.884   0.429
 1661.0    1.880   0.435
 1662.0    1.875   0.441
 1663.0    1.871   0.448
 1664.0    1.867   0.454
 1665.0    1.862   0.460
 1666.0    1.857   0.466
 1667.0    1.852   0.472
 1668.0    1.847   0.479
 1669.0    1.842   0.485
 1670.0    1.837   0.491
 1671.0    1.832   0.497
 1672.0    1.827   0.503
 1673.0    1.821   0.509
 1674.0    1.816   0.515
 1675.0    1.810   0.521
 1676.0    1.804   0.527
 1677.0    1.798   0.533
 1678.0    1.792   0.539
 1679.0    1.786   0.545
 1680.0    1.780   0.551
 1681.0    1.774   0.556
 1682.0    1.767   0.562
 1683.0    1.761   0.568
 1684.0    1.754   0.573
 1685.0    1.748   0.579
 1686.0    1.741   0.584
 1687.0    1.734   0.590
 1688.0    1.727   0.595
 1689.0    1.720   0.600
 1690.0    1.713   0.605
 1691.0    1.706   0.610
 1692.0    1.698   0.615
 1693.0    1.691   0.620
 1694.0    1.683   0.625
 1695.0    1.676   0.630
 1696.0    1.668   0.634
 1697.0    1.660   0.639
 1698.0    1.652   0.643
 1699.0    1.644   0.648
 1700.0    1.636   0.652
 1701.0    1.628   0.656
 1702.0    1.620   0.660
 1703.0    1.612   0.664
 1704.0    1.604   0.668
 1705.0    1.596   0.672
 1706.0    1.587   0.675
 1707.0    1.579   0.679
 1708.0    1.570   0.682
 1709.0    1.562   0.685
 1710.0    1.553   0.689
 1711.0    1.545   0.692
 1712.0    1.536   0.694
 1713.0    1.527   0.697
 1714.0    1.519   0.700
 1715.0    1.510   0.702
 1716.0    1.501   0.705
 1717.0    1.492   0.707
 1718.0    1.483   0.709
 1719.0    1.475   0.711
 1720.0    1.466   0.713
 1721.0    1.457   0.715
 1722.0    1.448   0.717
 1723.0    1.439   0.718
 1724.0    1.430   0.720
 1725.0    1.421   0.721
 1726.0    1.413   0.722
 1727.0    1.404   0.723
 1728.0    1.395   0.724
 1729.0    1.386   0.725
 1730.0    1.377   0.725
 1731.0    1.368   0.726
 1732.0    1.360   0.726
 1733.0    1.351   0.727
 1734.0    1.342   0.727
 1735.0    1.333   0.727
 1736.0    1.325   0.727
 1737.0    1.316   0.727
 1738.0    1.307   0.726
 1739.0    1.299   0.726
 1740.0    1.290   0.725
 1741.0    1.282   0.725
 1742.0    1.273   0.724
 1743.0    1.265   0.723
 1744.0    1.257   0.722
 1745.0    1.248   0.721
 1746.0    1.240   0.720
 1747.0    1.232   0.719
 1748.0    1.224   0.718
 1749.0    1.216   0.717
 1750.0    1.208   0.715
 1751.0    1.200   0.714
 1752.0    1.192   0.712
 1753.0    1.185   0.710
 1754.0    1.177   0.708
 1755.0    1.169   0.707
 1756.0    1.162   0.705
 1757.0    1.154   0.703
 1758.0    1.147   0.701
 1759.0    1.139   0.699
 1760.0    1.132   0.696
