   W         E3-(pi+_n)
 (MeV)      Re      Im
 1543.0    1.766   0.427
 1544.0    1.772   0.434
 1545.0    1.777   0.441
 1546.0    1.783   0.448
 1547.0    1.788   0.455
 1548.0    1.793   0.463
 1549.0    1.799   0.470
 1550.0    1.804   0.478
 1551.0    1.810   0.485
 1552.0    1.816   0.493
 1553.0    1.821   0.501
 1554.0    1.827   0.509
 1555.0    1.832   0.518
 1556.0    1.838   0.526
 1557.0    1.844   0.535
 1558.0    1.849   0.544
 1559.0    1.855   0.553
 1560.0    1.861   0.562
 1561.0    1.866   0.572
 1562.0    1.872   0.581
 1563.0    1.878   0.591
 1564.0    1.884   0.601
 1565.0    1.889   0.611
 1566.0    1.895   0.622
 1567.0    1.901   0.632
 1568.0    1.907   0.643
 1569.0    1.912   0.654
 1570.0    1.918   0.665
 1571.0    1.924   0.677
 1572.0    1.929   0.689
 1573.0    1.935   0.701
 1574.0    1.940   0.713
 1575.0    1.946   0.725
 1576.0    1.951   0.738
 1577.0    1.957   0.751
 1578.0    1.962   0.764
 1579.0    1.967   0.778
 1581.0    1.978   0.805
 1582.0    1.983   0.820
 1583.0    1.988   0.834
 1584.0    1.993   0.849
 1585.0    1.998   0.865
 1586.0    2.002   0.880
 1587.0    2.007   0.896
 1588.0    2.011   0.912
 1589.0    2.016   0.929
 1590.0    2.020   0.946
 1591.0    2.024   0.963
 1592.0    2.028   0.980
 1593.0    2.032   0.998
 1594.0    2.035   1.016
 1595.0    2.038   1.035
 1596.0    2.042   1.054
 1597.0    2.044   1.073
 1598.0    2.047   1.093
 1599.0    2.049   1.113
 1600.0    2.052   1.133
 1601.0    2.053   1.154
 1602.0    2.055   1.175
 1603.0    2.056   1.197
 1604.0    2.057   1.219
 1605.0    2.057   1.241
 1606.0    2.058   1.263
 1607.0    2.057   1.287
 1608.0    2.057   1.310
 1609.0    2.056   1.334
 1610.0    2.054   1.358
 1611.0    2.052   1.382
 1612.0    2.049   1.407
 1613.0    2.046   1.433
 1614.0    2.043   1.458
 1615.0    2.038   1.484
 1616.0    2.034   1.511
 1617.0    2.028   1.537
 1618.0    2.022   1.564
 1619.0    2.015   1.592
 1620.0    2.008   1.619
 1621.0    2.000   1.647
 1622.0    1.991   1.675
 1623.0    1.981   1.703
 1624.0    1.971   1.732
 1625.0    1.959   1.761
 1626.0    1.947   1.790
 1627.0    1.934   1.819
 1628.0    1.920   1.848
 1629.0    1.905   1.877
 1630.0    1.889   1.906
 1631.0    1.873   1.935
 1632.0    1.855   1.964
 1633.0    1.836   1.993
 1634.0    1.816   2.022
 1635.0    1.795   2.051
 1636.0    1.773   2.080
 1637.0    1.750   2.108
 1638.0    1.726   2.136
 1639.0    1.701   2.164
 1640.0    1.675   2.191
 1641.0    1.648   2.218
 1642.0    1.619   2.244
 1643.0    1.590   2.270
 1644.0    1.560   2.295
 1645.0    1.528   2.319
 1646.0    1.495   2.343
 1647.0    1.462   2.366
 1648.0    1.427   2.388
 1649.0    1.392   2.409
 1650.0    1.355   2.429
 1651.0    1.318   2.448
 1652.0    1.280   2.466
 1653.0    1.241   2.483
 1654.0    1.201   2.498
 1655.0    1.161   2.513
 1656.0    1.120   2.526
 1657.0    1.078   2.538
 1658.0    1.036   2.548
 1659.0    0.994   2.557
 1660.0    0.951   2.565
 1661.0    0.908   2.571
 1662.0    0.864   2.576
 1663.0    0.820   2.579
 1664.0    0.777   2.581
 1665.0    0.733   2.582
 1666.0    0.689   2.580
 1667.0    0.646   2.578
 1668.0    0.602   2.574
 1669.0    0.559   2.569
 1670.0    0.517   2.562
 1671.0    0.474   2.554
 1672.0    0.433   2.544
 1673.0    0.391   2.533
 1674.0    0.351   2.521
 1675.0    0.311   2.508
 1676.0    0.271   2.493
 1677.0    0.233   2.477
 1678.0    0.195   2.460
