   W         M3-(pi+_n)
 (MeV)      Re      Im
 1809.0   -0.521   0.356
 1810.0   -0.519   0.352
 1811.0   -0.516   0.347
 1812.0   -0.513   0.343
 1813.0   -0.510   0.339
 1814.0   -0.507   0.335
 1815.0   -0.505   0.330
 1816.0   -0.502   0.326
 1817.0   -0.499   0.322
 1818.0   -0.496   0.318
 1819.0   -0.493   0.314
 1820.0   -0.490   0.310
 1821.0   -0.487   0.306
 1822.0   -0.485   0.302
 1823.0   -0.482   0.298
 1824.0   -0.479   0.295
 1825.0   -0.476   0.291
 1826.0   -0.473   0.287
 1827.0   -0.470   0.284
 1828.0   -0.467   0.280
 1829.0   -0.464   0.276
 1830.0   -0.461   0.273
 1831.0   -0.458   0.269
 1832.0   -0.455   0.266
 1833.0   -0.452   0.263
 1834.0   -0.449   0.259
 1835.0   -0.446   0.256
 1836.0   -0.443   0.253
 1837.0   -0.440   0.250
 1838.0   -0.437   0.247
 1839.0   -0.434   0.243
 1840.0   -0.431   0.240
 1841.0   -0.428   0.237
 1842.0   -0.425   0.234
 1843.0   -0.422   0.232
 1844.0   -0.419   0.229
 1845.0   -0.416   0.226
 1846.0   -0.413   0.223
 1847.0   -0.410   0.220
 1848.0   -0.407   0.218
 1849.0   -0.404   0.215
 1850.0   -0.401   0.212
 1851.0   -0.398   0.210
 1852.0   -0.395   0.207
 1853.0   -0.392   0.205
 1854.0   -0.389   0.202
 1855.0   -0.386   0.200
 1856.0   -0.383   0.197
 1857.0   -0.380   0.195
 1858.0   -0.377   0.193
 1859.0   -0.374   0.190
 1860.0   -0.371   0.188
 1861.0   -0.368   0.186
 1862.0   -0.365   0.184
 1863.0   -0.362   0.182
 1864.0   -0.359   0.180
 1865.0   -0.356   0.178
 1866.0   -0.354   0.176
 1867.0   -0.351   0.174
 1868.0   -0.348   0.172
 1869.0   -0.345   0.170
 1870.0   -0.342   0.168
 1871.0   -0.339   0.166
 1872.0   -0.336   0.164
 1873.0   -0.333   0.163
 1874.0   -0.330   0.161
 1875.0   -0.328   0.159
 1876.0   -0.325   0.157
 1877.0   -0.322   0.156
 1878.0   -0.319   0.154
 1879.0   -0.316   0.153
 1880.0   -0.314   0.151
 1881.0   -0.311   0.150
 1882.0   -0.308   0.148
 1883.0   -0.305   0.147
 1884.0   -0.303   0.145
 1885.0   -0.300   0.144
 1886.0   -0.297   0.142
 1887.0   -0.295   0.141
 1888.0   -0.292   0.140
 1889.0   -0.289   0.138
 1890.0   -0.287   0.137
 1891.0   -0.284   0.136
 1892.0   -0.281   0.135
 1893.0   -0.279   0.134
 1894.0   -0.276   0.132
 1895.0   -0.274   0.131
 1896.0   -0.271   0.130
 1897.0   -0.268   0.129
 1898.0   -0.266   0.128
 1899.0   -0.263   0.127
 1900.0   -0.261   0.126
 1901.0   -0.258   0.125
 1902.0   -0.256   0.124
 1903.0   -0.253   0.123
 1904.0   -0.251   0.122
 1905.0   -0.248   0.121
 1906.0   -0.246   0.120
 1907.0   -0.244   0.119
