   W         E0+(pi0_p)
 (MeV)      Re         Im
 1645.0   -2.33811    3.47711
 1646.0   -2.33340    3.48418
 1647.0   -2.32939    3.49196
 1648.0   -2.32632    3.49927
 1649.0   -2.32232    3.50682
 1650.0   -2.31807    3.51554
 1651.0   -2.31831    3.52002
 1652.0   -2.31854    3.52426
 1653.0   -2.31972    3.52874
 1654.0   -2.32137    3.53369
 1655.0   -2.32279    3.54053
 1656.0   -2.32538    3.54053
 1657.0   -2.32774    3.53982
 1658.0   -2.33104    3.54029
 1659.0   -2.33434    3.53959
 1660.0   -2.33670    3.54077
 1661.0   -2.34023    3.53723
 1662.0   -2.34471    3.53369
 1663.0   -2.34849    3.53086
 1664.0   -2.35320    3.52803
 1665.0   -2.35839    3.52733
 1666.0   -2.36216    3.52096
 1667.0   -2.36570    3.51342
 1668.0   -2.37041    3.50634
 1669.0   -2.37489    3.49951
 1670.0   -2.37984    3.49338
 1671.0   -2.38267    3.48442
 1672.0   -2.38597    3.47617
 1673.0   -2.38975    3.46744
 1674.0   -2.39281    3.45990
 1675.0   -2.39823    3.45235
 1676.0   -2.40012    3.44222
 1677.0   -2.40201    3.43208
 1678.0   -2.40554    3.42123
 1679.0   -2.40837    3.41062
 1680.0   -2.41238    3.40001
 1681.0   -2.41356    3.38940
 1682.0   -2.41521    3.37761
 1683.0   -2.41662    3.36583
 1684.0   -2.41875    3.35475
 1685.0   -2.42087    3.34319
 1686.0   -2.42134    3.33211
 1687.0   -2.42228    3.31938
 1688.0   -2.42299    3.30712
 1689.0   -2.42440    3.29510
 1690.0   -2.42653    3.28189
 1691.0   -2.42629    3.26987
 1692.0   -2.42676    3.25667
 1693.0   -2.42653    3.24417
 1694.0   -2.42747    3.23097
 1695.0   -2.42888    3.21847
 1696.0   -2.42770    3.20550
 1697.0   -2.42770    3.19254
 1698.0   -2.42747    3.17981
 1699.0   -2.42676    3.16707
 1700.0   -2.42770    3.15363
 1701.0   -2.42676    3.14043
 1702.0   -2.42558    3.12770
 1703.0   -2.42440    3.11332
 1704.0   -2.42323    3.09941
 1705.0   -2.42252    3.08526
 1706.0   -2.42110    3.07206
 1707.0   -2.42016    3.05862
 1708.0   -2.41922    3.04565
 1709.0   -2.41827    3.03221
 1710.0   -2.41733    3.01925
 1711.0   -2.41497    3.00534
 1712.0   -2.41309    2.99072
 1713.0   -2.41073    2.97681
 1714.0   -2.40884    2.96219
 1715.0   -2.40696    2.94710
 1716.0   -2.40436    2.93272
 1717.0   -2.40177    2.91857
 1718.0   -2.39965    2.90490
 1719.0   -2.39753    2.89075
 1720.0   -2.39611    2.87614
 1721.0   -2.39328    2.86199
 1722.0   -2.39092    2.84808
 1723.0   -2.38810    2.83346
 1724.0   -2.38503    2.81955
 1725.0   -2.38220    2.80446
 1726.0   -2.37843    2.79008
