   W          M2+(pi+_n)
 (MeV)       Re        Im
 1650.00   -0.00036   0.00000
 1651.00    0.00115   0.00000
 1652.00    0.00266   0.00000
 1653.00    0.00418   0.00000
 1654.00    0.00569   0.00000
 1655.00    0.00720   0.00000
 1656.00    0.00871   0.00000
 1657.00    0.01022   0.00000
 1658.00    0.01173   0.00000
 1659.00    0.01324   0.00000
 1660.00    0.01475   0.00000
 1661.00    0.01626   0.00000
 1662.00    0.01777   0.00000
 1663.00    0.01928   0.00000
 1664.00    0.02079   0.00000
 1665.00    0.02230   0.00000
 1666.00    0.02380   0.00000
 1667.00    0.02531   0.00000
 1668.00    0.02682   0.00000
 1669.00    0.02833   0.00000
 1670.00    0.02984   0.00000
 1671.00    0.03134   0.00000
 1672.00    0.03285   0.00000
 1673.00    0.03436   0.00000
 1674.00    0.03587   0.00000
 1675.00    0.03737   0.00000
 1676.00    0.03888   0.00000
 1677.00    0.04038   0.00000
 1678.00    0.04189   0.00000
 1679.00    0.04339   0.00000
 1680.00    0.04490   0.00000
 1681.00    0.04640   0.00000
 1682.00    0.04791   0.00000
 1683.00    0.04941   0.00000
 1684.00    0.05092   0.00000
 1685.00    0.05242   0.00000
 1686.00    0.05392   0.00000
 1687.00    0.05543   0.00000
 1688.00    0.05693   0.00000
 1689.00    0.05843   0.00000
 1690.00    0.05993   0.00000
 1691.00    0.06144   0.00000
 1692.00    0.06294   0.00000
 1693.00    0.06444   0.00000
 1694.00    0.06594   0.00000
 1695.00    0.06744   0.00000
 1696.00    0.06894   0.00000
 1697.00    0.07044   0.00000
 1698.00    0.07194   0.00000
 1699.00    0.07344   0.00000
 1700.00    0.07493   0.00000
 1701.00    0.07643   0.00000
 1702.00    0.07793   0.00000
 1703.00    0.07943   0.00000
 1704.00    0.08092   0.00000
 1705.00    0.08242   0.00000
 1706.00    0.08392   0.00000
 1707.00    0.08541   0.00000
 1708.00    0.08691   0.00000
 1709.00    0.08840   0.00000
 1710.00    0.08990   0.00000
 1711.00    0.09139   0.00000
 1712.00    0.09288   0.00000
 1713.00    0.09438   0.00000
 1714.00    0.09587   0.00000
 1715.00    0.09736   0.00000
 1716.00    0.09885   0.00000
 1717.00    0.10034   0.00000
 1718.00    0.10184   0.00000
 1719.00    0.10333   0.00000
 1720.00    0.10482   0.00000
 1721.00    0.10631   0.00000
 1722.00    0.10779   0.00000
 1723.00    0.10928   0.00000
 1724.00    0.11077   0.00000
 1725.00    0.11226   0.00000
 1726.00    0.11375   0.00000
 1727.00    0.11523   0.00000
 1728.00    0.11672   0.00000
 1729.00    0.11821   0.00000
 1730.00    0.11969   0.00000
 1731.00    0.12118   0.00000
 1732.00    0.12266   0.00000
 1733.00    0.12414   0.00000
 1734.00    0.12563   0.00000
 1735.00    0.12711   0.00000
 1736.00    0.12859   0.00000
 1737.00    0.13007   0.00000
 1738.00    0.13156   0.00000
 1739.00    0.13304   0.00000
 1740.00    0.13452   0.00000
 1741.00    0.13600   0.00000
 1742.00    0.13748   0.00000
 1743.00    0.13895   0.00000
 1744.00    0.14043   0.00000
