   W          E0+(pi+_n)
 (MeV)       Re        Im
 1698.00   -2.57837   2.02911
 1699.00   -2.61239   1.99162
 1700.00   -2.64578   1.95381
 1701.00   -2.67853   1.91569
 1702.00   -2.71064   1.87726
 1703.00   -2.74208   1.83852
 1704.00   -2.77282   1.79947
 1705.00   -2.80286   1.76011
 1706.00   -2.83216   1.72046
 1707.00   -2.86072   1.68052
 1708.00   -2.88850   1.64031
 1709.00   -2.91550   1.59983
 1710.00   -2.94170   1.55911
 1711.00   -2.96708   1.51815
 1712.00   -2.99163   1.47697
 1713.00   -3.01536   1.43560
 1714.00   -3.03826   1.39403
 1715.00   -3.06033   1.35229
 1716.00   -3.08158   1.31040
 1717.00   -3.10199   1.26837
 1718.00   -3.12157   1.22622
 1719.00   -3.14034   1.18396
 1720.00   -3.15828   1.14161
 1721.00   -3.17542   1.09919
 1722.00   -3.19174   1.05673
 1723.00   -3.20724   1.01426
 1724.00   -3.22193    .97179
 1725.00   -3.23580    .92937
 1726.00   -3.24885    .88702
 1727.00   -3.26109    .84477
 1728.00   -3.27251    .80264
 1729.00   -3.28313    .76065
 1730.00   -3.29295    .71884
 1731.00   -3.30197    .67723
 1732.00   -3.31020    .63582
 1733.00   -3.31766    .59465
 1734.00   -3.32437    .55372
 1735.00   -3.33033    .51304
 1736.00   -3.33556    .47264
 1737.00   -3.34008    .43253
 1738.00   -3.34390    .39271
 1739.00   -3.34705    .35319
 1740.00   -3.34952    .31399
 1741.00   -3.35135    .27511
 1742.00   -3.35255    .23657
 1743.00   -3.35313    .19840
 1744.00   -3.35311    .16060
 1745.00   -3.35250    .12320
 1746.00   -3.35133    .08620
 1747.00   -3.34959    .04963
 1748.00   -3.34731    .01350
 1749.00   -3.34450   -.02219
 1750.00   -3.34118   -.05741
 1751.00   -3.33735   -.09216
 1752.00   -3.33305   -.12644
 1753.00   -3.32828   -.16026
 1754.00   -3.32307   -.19363
 1755.00   -3.31743   -.22655
 1756.00   -3.31139   -.25903
 1757.00   -3.30496   -.29109
 1758.00   -3.29817   -.32272
 1759.00   -3.29103   -.35394
 1760.00   -3.28356   -.38476
 1761.00   -3.27577   -.41518
 1762.00   -3.26768   -.44521
 1763.00   -3.25931   -.47482
 1764.00   -3.25065   -.50401
 1765.00   -3.24172   -.53276
 1766.00   -3.23254   -.56107
 1767.00   -3.22311   -.58892
 1768.00   -3.21344   -.61632
 1769.00   -3.20354   -.64324
 1770.00   -3.19342   -.66968
 1771.00   -3.18310   -.69563
 1772.00   -3.17257   -.72110
 1773.00   -3.16186   -.74611
 1774.00   -3.15097   -.77066
 1775.00   -3.13991   -.79477
 1776.00   -3.12869   -.81844
 1777.00   -3.11731   -.84170
 1778.00   -3.10580   -.86455
 1779.00   -3.09415   -.88701
 1780.00   -3.08237   -.90908
 1781.00   -3.07047   -.93079
 1782.00   -3.05847   -.95212
 1783.00   -3.04635   -.97307
 1784.00   -3.03415   -.99365
 1785.00   -3.02185  -1.01384
 1786.00   -3.00947  -1.03366
 1787.00   -2.99701  -1.05308
 1788.00   -2.98448  -1.07212
 1789.00   -2.97189  -1.09076
 1790.00   -2.95925  -1.10901
 1791.00   -2.94655  -1.12686
 1792.00   -2.93381  -1.14433
 1793.00   -2.92103  -1.16143
 1794.00   -2.90823  -1.17817
 1795.00   -2.89541  -1.19458
 1796.00   -2.88257  -1.21065
 1797.00   -2.86973  -1.22641
 1798.00   -2.85690  -1.24187
 1799.00   -2.84407  -1.25705
 1800.00   -2.83126  -1.27195
 1801.00   -2.81847  -1.28658
 1802.00   -2.80570  -1.30096
 1803.00   -2.79295  -1.31507
 1804.00   -2.78023  -1.32891
 1805.00   -2.76753  -1.34247
 1806.00   -2.75485  -1.35575
 1807.00   -2.74220  -1.36876
 1808.00   -2.72957  -1.38147
 1809.00   -2.71695  -1.39390
 1810.00   -2.70436  -1.40603
 1811.00   -2.69180  -1.41786
 1812.00   -2.67926  -1.42941
