   W          E2-(pi+_n)
 (MeV)       Re        Im
 1494.00    5.17084   8.35810
 1495.00    5.03328   8.40788
 1496.00    4.89385   8.45298
 1497.00    4.75280   8.49329
 1498.00    4.61040   8.52871
 1499.00    4.46691   8.55918
 1500.00    4.32260   8.58464
 1501.00    4.17774   8.60506
 1502.00    4.03261   8.62042
 1503.00    3.88749   8.63073
 1504.00    3.74265   8.63603
 1505.00    3.59835   8.63634
 1506.00    3.45487   8.63174
 1507.00    3.31245   8.62231
 1508.00    3.17135   8.60815
 1509.00    3.03180   8.58937
 1510.00    2.89404   8.56611
 1511.00    2.75826   8.53851
 1512.00    2.62468   8.50673
 1513.00    2.49349   8.47093
 1514.00    2.36484   8.43130
 1515.00    2.23891   8.38802
 1516.00    2.11582   8.34128
 1517.00    1.99572   8.29128
 1518.00    1.87870   8.23823
 1519.00    1.76486   8.18232
 1520.00    1.65429   8.12377
 1521.00    1.54704   8.06277
 1522.00    1.44316   7.99954
 1523.00    1.34270   7.93428
 1524.00    1.24567   7.86718
 1525.00    1.15208   7.79844
 1526.00    1.06194   7.72825
 1527.00    0.97523   7.65679
 1528.00    0.89193   7.58425
 1529.00    0.81201   7.51080
 1530.00    0.73541   7.43659
 1531.00    0.66211   7.36180
 1532.00    0.59204   7.28656
 1533.00    0.52514   7.21103
 1534.00    0.46134   7.13533
 1535.00    0.40057   7.05959
 1536.00    0.34276   6.98394
 1537.00    0.28782   6.90848
 1538.00    0.23567   6.83331
 1539.00    0.18623   6.75854
 1540.00    0.13942   6.68425
 1541.00    0.09513   6.61053
 1542.00    0.05330   6.53744
 1543.00    0.01382   6.46507
 1544.00   -0.02339   6.39346
 1545.00   -0.05842   6.32268
 1546.00   -0.09136   6.25278
 1547.00   -0.12229   6.18380
 1548.00   -0.15130   6.11578
 1549.00   -0.17848   6.04876
 1550.00   -0.20390   5.98277
 1551.00   -0.22765   5.91783
 1552.00   -0.24980   5.85396
 1553.00   -0.27044   5.79119
 1554.00   -0.28964   5.72953
 1555.00   -0.30747   5.66899
 1556.00   -0.32401   5.60958
 1557.00   -0.33932   5.55130
 1558.00   -0.35346   5.49416
 1559.00   -0.36651   5.43815
 1560.00   -0.37853   5.38329
 1561.00   -0.38957   5.32955
 1562.00   -0.39970   5.27694
 1563.00   -0.40897   5.22545
 1564.00   -0.41743   5.17507
 1565.00   -0.42514   5.12579
 1566.00   -0.43215   5.07760
 1567.00   -0.43849   5.03048
 1568.00   -0.44423   4.98443
 1569.00   -0.44939   4.93942
 1570.00   -0.45404   4.89545
 1571.00   -0.45819   4.85249
 1572.00   -0.46190   4.81053
 1573.00   -0.46520   4.76956
 1574.00   -0.46813   4.72955
 1575.00   -0.47071   4.69049
 1576.00   -0.47298   4.65235
 1577.00   -0.47497   4.61512
 1578.00   -0.47671   4.57879
 1579.00   -0.47823   4.54332
 1580.00   -0.47955   4.50871
 1581.00   -0.48070   4.47493
 1582.00   -0.48170   4.44196
