   W          M5+(pi+_n)
 (MeV)       Re        Im
 1552.00   -0.05002   0.00000
 1553.00   -0.05008   0.00000
 1554.00   -0.05015   0.00000
 1555.00   -0.05022   0.00000
 1556.00   -0.05029   0.00000
 1557.00   -0.05035   0.00000
 1558.00   -0.05042   0.00000
 1559.00   -0.05049   0.00000
 1560.00   -0.05056   0.00000
 1561.00   -0.05062   0.00000
 1562.00   -0.05069   0.00000
 1563.00   -0.05076   0.00000
 1564.00   -0.05082   0.00000
 1565.00   -0.05089   0.00000
 1566.00   -0.05096   0.00000
 1567.00   -0.05102   0.00000
 1568.00   -0.05109   0.00000
 1569.00   -0.05115   0.00000
 1570.00   -0.05122   0.00000
 1571.00   -0.05129   0.00000
 1572.00   -0.05135   0.00000
 1573.00   -0.05142   0.00000
 1574.00   -0.05148   0.00000
 1575.00   -0.05155   0.00000
 1576.00   -0.05161   0.00000
 1577.00   -0.05168   0.00000
 1578.00   -0.05174   0.00000
 1579.00   -0.05181   0.00000
 1580.00   -0.05187   0.00000
 1581.00   -0.05194   0.00000
 1582.00   -0.05200   0.00000
 1583.00   -0.05207   0.00000
 1584.00   -0.05213   0.00000
 1585.00   -0.05219   0.00000
 1586.00   -0.05226   0.00000
 1587.00   -0.05232   0.00000
 1588.00   -0.05239   0.00000
 1589.00   -0.05245   0.00000
 1590.00   -0.05251   0.00000
 1591.00   -0.05258   0.00000
 1592.00   -0.05264   0.00000
 1593.00   -0.05270   0.00000
 1594.00   -0.05277   0.00000
 1595.00   -0.05283   0.00000
 1596.00   -0.05289   0.00000
 1597.00   -0.05296   0.00000
 1598.00   -0.05302   0.00000
 1599.00   -0.05308   0.00000
 1600.00   -0.05315   0.00000
 1601.00   -0.05321   0.00000
 1602.00   -0.05327   0.00000
 1603.00   -0.05333   0.00000
 1604.00   -0.05340   0.00000
 1605.00   -0.05346   0.00000
 1606.00   -0.05352   0.00000
 1607.00   -0.05358   0.00000
 1608.00   -0.05364   0.00000
 1609.00   -0.05371   0.00000
 1610.00   -0.05377   0.00000
 1611.00   -0.05383   0.00000
 1612.00   -0.05389   0.00000
 1613.00   -0.05395   0.00000
 1614.00   -0.05401   0.00000
 1615.00   -0.05408   0.00000
 1616.00   -0.05414   0.00000
 1617.00   -0.05420   0.00000
 1618.00   -0.05426   0.00000
 1619.00   -0.05432   0.00000
 1620.00   -0.05438   0.00000
 1621.00   -0.05444   0.00000
 1622.00   -0.05450   0.00000
 1623.00   -0.05456   0.00000
 1624.00   -0.05463   0.00000
 1625.00   -0.05469   0.00000
 1626.00   -0.05475   0.00000
 1627.00   -0.05481   0.00000
 1628.00   -0.05487   0.00000
 1629.00   -0.05493   0.00000
 1630.00   -0.05499   0.00000
 1631.00   -0.05505   0.00000
 1632.00   -0.05511   0.00000
 1633.00   -0.05517   0.00000
 1634.00   -0.05523   0.00000
 1635.00   -0.05529   0.00000
 1636.00   -0.05535   0.00000
 1637.00   -0.05541   0.00000
 1638.00   -0.05547   0.00000
 1639.00   -0.05553   0.00000
 1640.00   -0.05559   0.00000
 1641.00   -0.05565   0.00000
 1642.00   -0.05571   0.00000
 1643.00   -0.05577   0.00000
 1644.00   -0.05583   0.00000
 1645.00   -0.05588   0.00000
 1646.00   -0.05594   0.00000
 1647.00   -0.05600   0.00000
 1648.00   -0.05606   0.00000
 1649.00   -0.05612   0.00000
 1650.00   -0.05618   0.00000
 1651.00   -0.05624   0.00000
 1652.00   -0.05630   0.00000
 1653.00   -0.05636   0.00000
 1654.00   -0.05642   0.00000
 1655.00   -0.05647   0.00000
 1656.00   -0.05653   0.00000
 1657.00   -0.05659   0.00000
 1658.00   -0.05665   0.00000
 1659.00   -0.05671   0.00000
 1660.00   -0.05677   0.00000
 1661.00   -0.05683   0.00000
 1662.00   -0.05688   0.00000
 1663.00   -0.05694   0.00000
 1664.00   -0.05700   0.00000
 1665.00   -0.05706   0.00000
 1666.00   -0.05712   0.00000
 1667.00   -0.05717   0.00000
 1668.00   -0.05723   0.00000
 1669.00   -0.05729   0.00000
 1670.00   -0.05735   0.00000
 1671.00   -0.05741   0.00000
 1672.00   -0.05746   0.00000
 1673.00   -0.05752   0.00000
 1674.00   -0.05758   0.00000
 1675.00   -0.05764   0.00000
 1676.00   -0.05769   0.00000
 1677.00   -0.05775   0.00000
 1678.00   -0.05781   0.00000
 1679.00   -0.05787   0.00000
 1680.00   -0.05793   0.00000
 1681.00   -0.05798   0.00000
 1682.00   -0.05804   0.00000
 1683.00   -0.05810   0.00000
 1684.00   -0.05815   0.00000
 1685.00   -0.05821   0.00000
 1686.00   -0.05827   0.00000
 1687.00   -0.05833   0.00000
 1688.00   -0.05838   0.00000
 1689.00   -0.05844   0.00000
 1690.00   -0.05850   0.00000
 1691.00   -0.05855   0.00000
 1692.00   -0.05861   0.00000
 1693.00   -0.05867   0.00000
 1694.00   -0.05873   0.00000
 1695.00   -0.05878   0.00000
 1696.00   -0.05884   0.00000
 1697.00   -0.05890   0.00000
 1698.00   -0.05895   0.00000
 1699.00   -0.05901   0.00000
 1700.00   -0.05907   0.00000
 1701.00   -0.05912   0.00000
 1702.00   -0.05918   0.00000
 1703.00   -0.05924   0.00000
 1704.00   -0.05929   0.00000
 1705.00   -0.05935   0.00000
 1706.00   -0.05941   0.00000
 1707.00   -0.05946   0.00000
 1708.00   -0.05952   0.00000
 1709.00   -0.05958   0.00000
 1710.00   -0.05963   0.00000
 1711.00   -0.05969   0.00000
 1712.00   -0.05974   0.00000
 1713.00   -0.05980   0.00000
 1714.00   -0.05986   0.00000
 1715.00   -0.05991   0.00000
 1716.00   -0.05997   0.00000
 1717.00   -0.06003   0.00000
 1718.00   -0.06008   0.00000
 1719.00   -0.06014   0.00000
 1720.00   -0.06019   0.00000
 1721.00   -0.06025   0.00000
 1722.00   -0.06031   0.00000
 1723.00   -0.06036   0.00000
 1724.00   -0.06042   0.00000
 1725.00   -0.06048   0.00000
 1726.00   -0.06053   0.00000
 1727.00   -0.06059   0.00000
 1728.00   -0.06064   0.00000
