   W          M3-(pi+_n)
 (MeV)       Re        Im
 1731.00   -0.59369   1.01617
 1732.00   -0.59641   1.00470
 1733.00   -0.59894   0.99339
 1734.00   -0.60127   0.98222
 1735.00   -0.60341   0.97120
 1736.00   -0.60538   0.96034
 1737.00   -0.60717   0.94962
 1738.00   -0.60880   0.93905
 1739.00   -0.61027   0.92864
 1740.00   -0.61159   0.91837
 1741.00   -0.61277   0.90825
 1742.00   -0.61381   0.89828
 1743.00   -0.61471   0.88845
 1744.00   -0.61549   0.87877
 1745.00   -0.61614   0.86923
 1746.00   -0.61668   0.85984
 1747.00   -0.61711   0.85059
 1748.00   -0.61744   0.84148
 1749.00   -0.61766   0.83251
 1750.00   -0.61778   0.82367
 1751.00   -0.61782   0.81497
 1752.00   -0.61776   0.80641
 1753.00   -0.61762   0.79797
 1754.00   -0.61740   0.78967
 1755.00   -0.61711   0.78150
 1756.00   -0.61674   0.77345
 1757.00   -0.61630   0.76553
 1758.00   -0.61580   0.75773
 1759.00   -0.61523   0.75006
 1760.00   -0.61460   0.74250
 1761.00   -0.61392   0.73506
 1762.00   -0.61318   0.72774
 1763.00   -0.61239   0.72054
 1764.00   -0.61155   0.71344
 1765.00   -0.61066   0.70646
 1766.00   -0.60973   0.69959
 1767.00   -0.60876   0.69282
 1768.00   -0.60775   0.68616
 1769.00   -0.60670   0.67960
 1770.00   -0.60562   0.67315
 1771.00   -0.60450   0.66680
 1772.00   -0.60335   0.66054
 1773.00   -0.60218   0.65438
 1774.00   -0.60097   0.64832
 1775.00   -0.59974   0.64235
 1776.00   -0.59849   0.63647
 1777.00   -0.59721   0.63069
 1778.00   -0.59591   0.62499
 1779.00   -0.59459   0.61938
 1780.00   -0.59325   0.61386
 1781.00   -0.59189   0.60842
 1782.00   -0.59052   0.60306
 1783.00   -0.58913   0.59778
 1784.00   -0.58772   0.59259
 1785.00   -0.58631   0.58747
 1786.00   -0.58488   0.58243
 1787.00   -0.58343   0.57746
 1788.00   -0.58198   0.57257
 1789.00   -0.58052   0.56775
 1790.00   -0.57905   0.56301
 1791.00   -0.57757   0.55833
 1792.00   -0.57609   0.55372
 1793.00   -0.57460   0.54918
 1794.00   -0.57311   0.54471
 1795.00   -0.57160   0.54031
 1796.00   -0.57010   0.53596
 1797.00   -0.56859   0.53168
 1798.00   -0.56708   0.52747
 1799.00   -0.56556   0.52331
 1800.00   -0.56405   0.51921
 1801.00   -0.56253   0.51517
 1802.00   -0.56101   0.51119
 1803.00   -0.55949   0.50727
 1804.00   -0.55796   0.50340
 1805.00   -0.55644   0.49959
 1806.00   -0.55492   0.49583
 1807.00   -0.55340   0.49212
 1808.00   -0.55188   0.48847
 1809.00   -0.55037   0.48486
 1810.00   -0.54886   0.48131
 1811.00   -0.54735   0.47780
 1812.00   -0.54584   0.47435
 1813.00   -0.54433   0.47094
 1814.00   -0.54283   0.46757
 1815.00   -0.54133   0.46426
 1816.00   -0.53984   0.46099
 1817.00   -0.53835   0.45776
 1818.00   -0.53687   0.45457
 1819.00   -0.53538   0.45143
 1820.00   -0.53391   0.44833
 1821.00   -0.53243   0.44528
 1822.00   -0.53097   0.44226
 1823.00   -0.52950   0.43928
 1824.00   -0.52804   0.43634
 1825.00   -0.52659   0.43344
 1826.00   -0.52514   0.43058
 1827.00   -0.52370   0.42775
 1828.00   -0.52227   0.42497
 1829.00   -0.52083   0.42221
 1830.00   -0.51941   0.41950
 1831.00   -0.51799   0.41682
 1832.00   -0.51658   0.41417
 1833.00   -0.51518   0.41156
 1834.00   -0.51378   0.40898
 1835.00   -0.51239   0.40643
 1836.00   -0.51100   0.40391
 1837.00   -0.50962   0.40143
 1838.00   -0.50825   0.39898
 1839.00   -0.50689   0.39655
 1840.00   -0.50553   0.39416
 1841.00   -0.50418   0.39180
 1842.00   -0.50284   0.38947
 1843.00   -0.50150   0.38716
 1844.00   -0.50017   0.38489
 1845.00   -0.49885   0.38264
 1846.00   -0.49753   0.38042
 1847.00   -0.49622   0.37822
 1848.00   -0.49492   0.37605
 1849.00   -0.49363   0.37391
 1850.00   -0.49234   0.37180
 1851.00   -0.49106   0.36971
 1852.00   -0.48978   0.36764
 1853.00   -0.48852   0.36560
 1854.00   -0.48726   0.36358
 1855.00   -0.48600   0.36159
 1856.00   -0.48476   0.35962
 1857.00   -0.48352   0.35767
 1858.00   -0.48229   0.35574
 1859.00   -0.48107   0.35384
 1860.00   -0.47985   0.35196
 1861.00   -0.47864   0.35010
 1862.00   -0.47744   0.34827
 1863.00   -0.47625   0.34645
 1864.00   -0.47506   0.34465
 1865.00   -0.47388   0.34288
 1866.00   -0.47271   0.34112
 1867.00   -0.47155   0.33939
 1868.00   -0.47039   0.33767
 1869.00   -0.46924   0.33598
 1870.00   -0.46810   0.33430
 1871.00   -0.46696   0.33264
 1872.00   -0.46583   0.33100
 1873.00   -0.46471   0.32938
 1874.00   -0.46360   0.32777
 1875.00   -0.46249   0.32619
 1876.00   -0.46139   0.32462
 1877.00   -0.46030   0.32306
 1878.00   -0.45921   0.32153
 1879.00   -0.45813   0.32001
