   W         E8+(pi+_n)
 (MeV)      Re         Im
 1647.0    0.014743  -0.000802
 1648.0    0.014747  -0.000802
 1649.0    0.014751  -0.000802
 1650.0    0.014755  -0.000802
 1651.0    0.014759  -0.000802
 1652.0    0.014763  -0.000803
 1653.0    0.014766  -0.000803
 1654.0    0.014770  -0.000803
 1655.0    0.014774  -0.000803
 1656.0    0.014777  -0.000803
 1657.0    0.014780  -0.000803
 1658.0    0.014784  -0.000804
 1659.0    0.014787  -0.000804
 1660.0    0.014790  -0.000804
 1661.0    0.014793  -0.000804
 1662.0    0.014796  -0.000804
 1663.0    0.014799  -0.000804
 1664.0    0.014803  -0.000805
 1665.0    0.014806  -0.000805
 1666.0    0.014808  -0.000805
 1667.0    0.014811  -0.000805
 1668.0    0.014814  -0.000805
 1669.0    0.014817  -0.000805
 1670.0    0.014819  -0.000805
 1671.0    0.014822  -0.000806
 1672.0    0.014824  -0.000806
 1673.0    0.014827  -0.000806
 1674.0    0.014829  -0.000806
 1675.0    0.014832  -0.000806
 1676.0    0.014834  -0.000806
 1677.0    0.014836  -0.000806
 1678.0    0.014838  -0.000806
 1679.0    0.014841  -0.000806
 1680.0    0.014843  -0.000806
 1681.0    0.014845  -0.000807
 1682.0    0.014847  -0.000807
 1683.0    0.014849  -0.000807
 1684.0    0.014850  -0.000807
 1685.0    0.014852  -0.000807
 1686.0    0.014854  -0.000807
 1687.0    0.014856  -0.000807
 1688.0    0.014857  -0.000807
 1689.0    0.014859  -0.000807
 1690.0    0.014861  -0.000807
 1691.0    0.014862  -0.000807
 1692.0    0.014864  -0.000807
 1693.0    0.014865  -0.000807
 1694.0    0.014866  -0.000807
 1695.0    0.014868  -0.000808
 1696.0    0.014869  -0.000808
 1697.0    0.014870  -0.000808
 1698.0    0.014871  -0.000808
 1699.0    0.014872  -0.000808
 1700.0    0.014874  -0.000808
 1701.0    0.014874  -0.000808
 1702.0    0.014875  -0.000808
 1703.0    0.014876  -0.000808
 1704.0    0.014877  -0.000808
 1705.0    0.014878  -0.000808
 1706.0    0.014879  -0.000808
 1707.0    0.014879  -0.000808
 1708.0    0.014880  -0.000808
 1709.0    0.014881  -0.000808
 1710.0    0.014881  -0.000808
 1711.0    0.014882  -0.000808
 1712.0    0.014882  -0.000808
 1713.0    0.014883  -0.000808
 1714.0    0.014883  -0.000808
 1715.0    0.014884  -0.000808
 1716.0    0.014884  -0.000808
 1717.0    0.014884  -0.000808
 1718.0    0.014884  -0.000808
 1719.0    0.014884  -0.000808
 1720.0    0.014885  -0.000808
 1721.0    0.014885  -0.000808
 1722.0    0.014885  -0.000808
 1723.0    0.014885  -0.000808
 1724.0    0.014885  -0.000808
 1725.0    0.014885  -0.000808
 1726.0    0.014884  -0.000807
 1727.0    0.014884  -0.000807
 1728.0    0.014884  -0.000807
 1729.0    0.014884  -0.000807
 1730.0    0.014883  -0.000807
 1731.0    0.014883  -0.000807
 1732.0    0.014883  -0.000807
 1733.0    0.014882  -0.000807
 1734.0    0.014882  -0.000807
 1735.0    0.014881  -0.000807
 1736.0    0.014881  -0.000807
 1737.0    0.014880  -0.000807
 1738.0    0.014879  -0.000807
 1739.0    0.014879  -0.000807
 1740.0    0.014878  -0.000807
 1741.0    0.014877  -0.000806
 1742.0    0.014876  -0.000806
 1743.0    0.014875  -0.000806
 1744.0    0.014875  -0.000806
 1745.0    0.014874  -0.000806
 1746.0    0.014873  -0.000806
 1747.0    0.014872  -0.000806
 1748.0    0.014871  -0.000806
 1749.0    0.014870  -0.000806
 1750.0    0.014869  -0.000806
 1751.0    0.014867  -0.000805
 1752.0    0.014866  -0.000805
 1753.0    0.014865  -0.000805
 1754.0    0.014863  -0.000805
 1755.0    0.014862  -0.000805
 1756.0    0.014861  -0.000805
 1757.0    0.014859  -0.000805
 1758.0    0.014858  -0.000804
 1759.0    0.014856  -0.000804
 1760.0    0.014855  -0.000804
 1761.0    0.014853  -0.000804
 1762.0    0.014852  -0.000804
 1763.0    0.014850  -0.000804
 1764.0    0.014849  -0.000804
 1765.0    0.014847  -0.000804
 1766.0    0.014845  -0.000803
 1767.0    0.014843  -0.000803
 1768.0    0.014842  -0.000803
 1769.0    0.014840  -0.000803
 1770.0    0.014838  -0.000803
 1771.0    0.014836  -0.000803
 1772.0    0.014834  -0.000802
 1773.0    0.014832  -0.000802
 1774.0    0.014830  -0.000802
 1775.0    0.014828  -0.000802
 1776.0    0.014826  -0.000802
 1777.0    0.014824  -0.000802
 1778.0    0.014822  -0.000801
 1779.0    0.014820  -0.000801
 1780.0    0.014818  -0.000801
 1781.0    0.014815  -0.000801
 1782.0    0.014813  -0.000801
 1783.0    0.014811  -0.000800
 1784.0    0.014808  -0.000800
 1785.0    0.014806  -0.000800
 1786.0    0.014804  -0.000800
 1787.0    0.014801  -0.000800
 1788.0    0.014799  -0.000799
 1789.0    0.014796  -0.000799
 1790.0    0.014794  -0.000799
 1791.0    0.014791  -0.000799
 1792.0    0.014789  -0.000799
 1793.0    0.014786  -0.000798
 1794.0    0.014783  -0.000798
 1795.0    0.014781  -0.000798
 1796.0    0.014778  -0.000798
 1797.0    0.014775  -0.000798
 1798.0    0.014772  -0.000797
 1799.0    0.014770  -0.000797
 1800.0    0.014767  -0.000797
 1801.0    0.014764  -0.000797
 1802.0    0.014761  -0.000796
 1803.0    0.014758  -0.000796
 1804.0    0.014755  -0.000796
 1805.0    0.014752  -0.000796
 1806.0    0.014749  -0.000795
 1807.0    0.014746  -0.000795
 1808.0    0.014743  -0.000795
 1809.0    0.014740  -0.000795
 1810.0    0.014737  -0.000794
 1811.0    0.014734  -0.000794
 1812.0    0.014731  -0.000794
 1813.0    0.014727  -0.000794
 1814.0    0.014724  -0.000793
 1815.0    0.014721  -0.000793
 1816.0    0.014718  -0.000793
 1817.0    0.014714  -0.000793
 1818.0    0.014711  -0.000792
 1819.0    0.014708  -0.000792
 1820.0    0.014704  -0.000792
 1821.0    0.014701  -0.000791
 1822.0    0.014697  -0.000791
 1823.0    0.014694  -0.000791
 1824.0    0.014690  -0.000791
 1825.0    0.014687  -0.000790
 1826.0    0.014683  -0.000790
 1827.0    0.014680  -0.000790
 1828.0    0.014676  -0.000790
 1829.0    0.014672  -0.000789
 1830.0    0.014669  -0.000789
 1831.0    0.014665  -0.000789
 1832.0    0.014661  -0.000788
 1833.0    0.014658  -0.000788
 1834.0    0.014654  -0.000788
 1835.0    0.014650  -0.000787
 1836.0    0.014646  -0.000787
 1837.0    0.014642  -0.000787
 1838.0    0.014639  -0.000787
 1839.0    0.014635  -0.000786
 1840.0    0.014631  -0.000786
 1841.0    0.014627  -0.000786
 1842.0    0.014623  -0.000785
 1843.0    0.014619  -0.000785
 1844.0    0.014615  -0.000785
 1845.0    0.014611  -0.000784
 1846.0    0.014607  -0.000784
 1847.0    0.014603  -0.000784
 1848.0    0.014599  -0.000783
 1849.0    0.014595  -0.000783
 1850.0    0.014590  -0.000783
 1851.0    0.014586  -0.000782
 1852.0    0.014582  -0.000782
 1853.0    0.014578  -0.000782
 1854.0    0.014574  -0.000781
 1855.0    0.014570  -0.000781
 1856.0    0.014565  -0.000781
 1857.0    0.014561  -0.000780
 1858.0    0.014556  -0.000780
 1859.0    0.014552  -0.000780
 1860.0    0.014548  -0.000779
 1861.0    0.014543  -0.000779
 1862.0    0.014539  -0.000779
 1863.0    0.014534  -0.000778
 1864.0    0.014530  -0.000778
 1865.0    0.014526  -0.000778
 1866.0    0.014521  -0.000777
 1867.0    0.014516  -0.000777
 1868.0    0.014512  -0.000777
 1869.0    0.014507  -0.000776
 1870.0    0.014503  -0.000776
 1871.0    0.014498  -0.000776
 1872.0    0.014494  -0.000775
 1873.0    0.014489  -0.000775
 1874.0    0.014484  -0.000775
 1875.0    0.014480  -0.000774
 1876.0    0.014475  -0.000774
 1877.0    0.014470  -0.000773
 1878.0    0.014465  -0.000773
 1879.0    0.014461  -0.000773
 1880.0    0.014456  -0.000772
 1881.0    0.014451  -0.000772
 1882.0    0.014446  -0.000772
 1883.0    0.014441  -0.000771
 1884.0    0.014436  -0.000771
 1885.0    0.014432  -0.000770
 1886.0    0.014427  -0.000770
 1887.0    0.014422  -0.000770
 1888.0    0.014417  -0.000769
 1889.0    0.014412  -0.000769
 1890.0    0.014407  -0.000769
 1891.0    0.014402  -0.000768
 1892.0    0.014397  -0.000768
 1893.0    0.014392  -0.000767
 1894.0    0.014387  -0.000767
 1895.0    0.014382  -0.000767
 1896.0    0.014377  -0.000766
 1897.0    0.014371  -0.000766
