   W         E6-(pi+_n)
 (MeV)      Re         Im
 1454.0    0.072061  -0.004008
 1455.0    0.072123  -0.004012
 1456.0    0.072183  -0.004017
 1457.0    0.072242  -0.004021
 1458.0    0.072301  -0.004026
 1459.0    0.072361  -0.004030
 1460.0    0.072420  -0.004035
 1461.0    0.072476  -0.004039
 1462.0    0.072532  -0.004044
 1463.0    0.072589  -0.004048
 1464.0    0.072645  -0.004053
 1465.0    0.072701  -0.004057
 1466.0    0.072754  -0.004061
 1467.0    0.072807  -0.004066
 1468.0    0.072861  -0.004070
 1469.0    0.072914  -0.004074
 1470.0    0.072967  -0.004079
 1471.0    0.073017  -0.004083
 1472.0    0.073067  -0.004087
 1473.0    0.073117  -0.004091
 1474.0    0.073168  -0.004095
 1475.0    0.073218  -0.004100
 1476.0    0.073265  -0.004104
 1477.0    0.073312  -0.004108
 1478.0    0.073360  -0.004112
 1479.0    0.073407  -0.004116
 1480.0    0.073454  -0.004120
 1481.0    0.073499  -0.004124
 1482.0    0.073543  -0.004128
 1483.0    0.073588  -0.004132
 1484.0    0.073632  -0.004136
 1485.0    0.073677  -0.004140
 1486.0    0.073718  -0.004144
 1487.0    0.073760  -0.004148
 1488.0    0.073802  -0.004152
 1489.0    0.073844  -0.004156
 1490.0    0.073886  -0.004160
 1491.0    0.073925  -0.004163
 1492.0    0.073964  -0.004167
 1493.0    0.074003  -0.004171
 1494.0    0.074042  -0.004175
 1495.0    0.074082  -0.004179
 1496.0    0.074118  -0.004182
 1497.0    0.074155  -0.004186
 1498.0    0.074192  -0.004190
 1499.0    0.074228  -0.004193
 1500.0    0.074265  -0.004197
 1501.0    0.074299  -0.004200
 1502.0    0.074332  -0.004203
 1503.0    0.074366  -0.004207
 1504.0    0.074400  -0.004210
 1505.0    0.074433  -0.004213
 1506.0    0.074466  -0.004217
 1507.0    0.074498  -0.004221
 1508.0    0.074530  -0.004225
 1509.0    0.074563  -0.004229
 1510.0    0.074595  -0.004233
 1511.0    0.074624  -0.004236
 1512.0    0.074654  -0.004240
 1513.0    0.074683  -0.004243
 1514.0    0.074713  -0.004246
 1515.0    0.074742  -0.004250
 1516.0    0.074770  -0.004253
 1517.0    0.074797  -0.004256
 1518.0    0.074824  -0.004260
 1519.0    0.074851  -0.004263
 1520.0    0.074879  -0.004266
 1521.0    0.074904  -0.004270
 1522.0    0.074929  -0.004273
 1523.0    0.074954  -0.004276
 1524.0    0.074979  -0.004279
 1525.0    0.075004  -0.004283
 1526.0    0.075027  -0.004286
 1527.0    0.075050  -0.004289
 1528.0    0.075073  -0.004292
 1529.0    0.075096  -0.004295
 1530.0    0.075120  -0.004298
 1531.0    0.075141  -0.004301
 1532.0    0.075162  -0.004304
 1533.0    0.075183  -0.004307
 1534.0    0.075204  -0.004310
 1535.0    0.075225  -0.004313
 1536.0    0.075244  -0.004316
 1537.0    0.075263  -0.004319
 1538.0    0.075282  -0.004322
 1539.0    0.075301  -0.004325
 1540.0    0.075320  -0.004328
 1541.0    0.075337  -0.004331
 1542.0    0.075354  -0.004334
 1543.0    0.075372  -0.004337
 1544.0    0.075389  -0.004340
 1545.0    0.075406  -0.004343
 1546.0    0.075421  -0.004345
 1547.0    0.075437  -0.004348
 1548.0    0.075452  -0.004351
 1549.0    0.075468  -0.004354
 1550.0    0.075483  -0.004356
 1551.0    0.075497  -0.004359
 1552.0    0.075510  -0.004362
 1553.0    0.075524  -0.004364
 1554.0    0.075538  -0.004367
 1555.0    0.075551  -0.004370
 1556.0    0.075563  -0.004372
 1557.0    0.075575  -0.004375
 1558.0    0.075587  -0.004377
 1559.0    0.075599  -0.004380
 1560.0    0.075611  -0.004382
 1561.0    0.075621  -0.004385
 1562.0    0.075632  -0.004387
 1563.0    0.075642  -0.004390
 1564.0    0.075652  -0.004392
 1565.0    0.075663  -0.004394
 1566.0    0.075672  -0.004397
 1567.0    0.075680  -0.004399
 1568.0    0.075689  -0.004401
 1569.0    0.075698  -0.004404
 1570.0    0.075707  -0.004406
 1571.0    0.075714  -0.004408
 1572.0    0.075721  -0.004410
 1573.0    0.075728  -0.004413
 1574.0    0.075736  -0.004415
 1575.0    0.075743  -0.004417
 1576.0    0.075749  -0.004419
 1577.0    0.075755  -0.004421
 1578.0    0.075760  -0.004423
 1579.0    0.075766  -0.004425
 1580.0    0.075772  -0.004427
 1581.0    0.075776  -0.004429
 1582.0    0.075781  -0.004431
