   W         M3-(eta_p)
 (MeV)      Re         Im
 1834.0    0.196391  -0.020251
 1835.0    0.196606  -0.019197
 1836.0    0.196797  -0.018149
 1837.0    0.196989  -0.017102
 1838.0    0.197180  -0.016055
 1839.0    0.197372  -0.015008
 1840.0    0.197563  -0.013960
 1841.0    0.197731  -0.012918
 1842.0    0.197898  -0.011875
 1843.0    0.198065  -0.010833
 1844.0    0.198232  -0.009790
 1845.0    0.198399  -0.008748
 1846.0    0.198543  -0.007710
 1847.0    0.198687  -0.006671
 1848.0    0.198831  -0.005633
 1849.0    0.198975  -0.004595
 1850.0    0.199119  -0.003557
 1851.0    0.199239  -0.002521
 1852.0    0.199359  -0.001485
 1853.0    0.199479  -0.000450
 1854.0    0.199599   0.000586
 1855.0    0.199720   0.001622
 1856.0    0.199816   0.002656
 1857.0    0.199912   0.003691
 1858.0    0.200009   0.004726
 1859.0    0.200105   0.005760
 1860.0    0.200201   0.006795
 1861.0    0.200274   0.007829
 1862.0    0.200346   0.008863
 1863.0    0.200418   0.009897
 1864.0    0.200490   0.010931
 1865.0    0.200562   0.011965
 1866.0    0.200610   0.012999
 1867.0    0.200658   0.014032
 1868.0    0.200706   0.015066
 1869.0    0.200753   0.016100
 1870.0    0.200801   0.017134
 1871.0    0.200823   0.018169
 1872.0    0.200845   0.019204
 1873.0    0.200868   0.020239
 1874.0    0.200890   0.021274
 1875.0    0.200912   0.022309
 1876.0    0.200908   0.023346
 1877.0    0.200904   0.024382
 1878.0    0.200900   0.025419
 1879.0    0.200895   0.026455
 1880.0    0.200891   0.027492
 1881.0    0.200860   0.028529
 1882.0    0.200829   0.029567
 1883.0    0.200798   0.030605
 1884.0    0.200767   0.031643
 1885.0    0.200735   0.032681
 1886.0    0.200676   0.033721
 1887.0    0.200617   0.034760
 1888.0    0.200558   0.035800
 1889.0    0.200498   0.036839
 1890.0    0.200439   0.037879
 1891.0    0.200351   0.038919
 1892.0    0.200262   0.039960
 1893.0    0.200174   0.041001
 1894.0    0.200085   0.042042
 1895.0    0.199997   0.043083
 1896.0    0.199878   0.044125
 1897.0    0.199760   0.045166
 1898.0    0.199641   0.046208
 1899.0    0.199523   0.047250
 1900.0    0.199404   0.048292
 1901.0    0.199254   0.049334
 1902.0    0.199105   0.050376
 1903.0    0.198955   0.051419
 1904.0    0.198805   0.052461
 1905.0    0.198655   0.053503
 1906.0    0.198473   0.054545
 1907.0    0.198291   0.055587
 1908.0    0.198109   0.056629
 1909.0    0.197926   0.057671
 1910.0    0.197744   0.058713
 1911.0    0.197529   0.059754
 1912.0    0.197313   0.060794
 1913.0    0.197098   0.061835
 1914.0    0.196882   0.062875
 1915.0    0.196666   0.063916
 1916.0    0.196416   0.064954
 1917.0    0.196166   0.065992
 1918.0    0.195916   0.067030
 1919.0    0.195666   0.068069
 1920.0    0.195416   0.069107
 1921.0    0.195131   0.070141
 1922.0    0.194845   0.071175
 1923.0    0.194560   0.072210
 1924.0    0.194274   0.073244
 1925.0    0.193989   0.074278
 1926.0    0.193667   0.075307
 1927.0    0.193346   0.076336
 1928.0    0.193024   0.077365
 1929.0    0.192703   0.078394
 1930.0    0.192381   0.079423
 1931.0    0.192022   0.080445
 1932.0    0.191664   0.081467
 1933.0    0.191305   0.082489
 1934.0    0.190946   0.083511
 1935.0    0.190587   0.084532
 1936.0    0.190191   0.085545
 1937.0    0.189795   0.086558
 1938.0    0.189399   0.087571
 1939.0    0.189002   0.088584
 1940.0    0.188606   0.089596
 1941.0    0.188172   0.090598
 1942.0    0.187737   0.091600
 1943.0    0.187303   0.092601
 1944.0    0.186869   0.093603
 1945.0    0.186434   0.094605
 1946.0    0.185961   0.095593
 1947.0    0.185489   0.096581
 1948.0    0.185016   0.097570
 1949.0    0.184543   0.098558
 1950.0    0.184070   0.099546
 1951.0    0.183559   0.100519
 1952.0    0.183048   0.101491
 1953.0    0.182537   0.102464
 1954.0    0.182026   0.103436
 1955.0    0.181515   0.104409
 1956.0    0.180965   0.105363
 1957.0    0.180416   0.106318
 1958.0    0.179867   0.107272
 1959.0    0.179318   0.108226
 1960.0    0.178768   0.109181
 1961.0    0.178181   0.110114
 1962.0    0.177594   0.111048
 1963.0    0.177007   0.111982
 1964.0    0.176420   0.112915
 1965.0    0.175833   0.113849
 1966.0    0.175209   0.114759
 1967.0    0.174584   0.115669
 1968.0    0.173960   0.116580
 1969.0    0.173336   0.117490
 1970.0    0.172712   0.118400
 1971.0    0.172052   0.119284
