   W         E3+(eta_p)
 (MeV)      Re         Im
 1832.0    0.002033   0.009085
 1833.0    0.002015   0.009146
 1834.0    0.001997   0.009207
 1835.0    0.001979   0.009268
 1836.0    0.001959   0.009331
 1837.0    0.001939   0.009394
 1838.0    0.001919   0.009456
 1839.0    0.001898   0.009519
 1840.0    0.001878   0.009581
 1841.0    0.001855   0.009646
 1842.0    0.001832   0.009710
 1843.0    0.001809   0.009774
 1844.0    0.001786   0.009838
 1845.0    0.001763   0.009903
 1846.0    0.001737   0.009969
 1847.0    0.001711   0.010034
 1848.0    0.001685   0.010100
 1849.0    0.001659   0.010166
 1850.0    0.001633   0.010232
 1851.0    0.001603   0.010300
 1852.0    0.001574   0.010367
 1853.0    0.001545   0.010435
 1854.0    0.001515   0.010502
 1855.0    0.001486   0.010570
 1856.0    0.001453   0.010639
 1857.0    0.001419   0.010708
 1858.0    0.001386   0.010777
 1859.0    0.001353   0.010846
 1860.0    0.001320   0.010915
 1861.0    0.001282   0.010986
 1862.0    0.001245   0.011057
 1863.0    0.001208   0.011127
 1864.0    0.001170   0.011198
 1865.0    0.001133   0.011269
 1866.0    0.001091   0.011341
 1867.0    0.001049   0.011413
 1868.0    0.001007   0.011485
 1869.0    0.000965   0.011557
 1870.0    0.000923   0.011629
 1871.0    0.000876   0.011702
 1872.0    0.000829   0.011775
 1873.0    0.000782   0.011849
 1874.0    0.000735   0.011922
 1875.0    0.000687   0.011995
 1876.0    0.000635   0.012069
 1877.0    0.000582   0.012143
 1878.0    0.000529   0.012217
 1879.0    0.000476   0.012292
 1880.0    0.000423   0.012366
 1881.0    0.000364   0.012440
 1882.0    0.000305   0.012515
 1883.0    0.000246   0.012590
 1884.0    0.000187   0.012665
 1885.0    0.000128   0.012739
 1886.0    0.000062   0.012814
 1887.0   -0.000004   0.012889
 1888.0   -0.000070   0.012964
 1889.0   -0.000136   0.013039
 1890.0   -0.000202   0.013114
 1891.0   -0.000275   0.013188
 1892.0   -0.000349   0.013263
 1893.0   -0.000422   0.013337
 1894.0   -0.000495   0.013411
 1895.0   -0.000569   0.013486
 1896.0   -0.000650   0.013559
 1897.0   -0.000731   0.013632
 1898.0   -0.000813   0.013705
 1899.0   -0.000894   0.013779
 1900.0   -0.000975   0.013852
 1901.0   -0.001065   0.013923
 1902.0   -0.001155   0.013994
 1903.0   -0.001245   0.014065
 1904.0   -0.001335   0.014137
 1905.0   -0.001425   0.014208
 1906.0   -0.001524   0.014276
 1907.0   -0.001623   0.014344
 1908.0   -0.001722   0.014412
 1909.0   -0.001821   0.014480
 1910.0   -0.001920   0.014548
 1911.0   -0.002028   0.014612
 1912.0   -0.002137   0.014676
 1913.0   -0.002245   0.014740
 1914.0   -0.002354   0.014804
 1915.0   -0.002462   0.014868
 1916.0   -0.002580   0.014926
 1917.0   -0.002698   0.014984
 1918.0   -0.002816   0.015042
 1919.0   -0.002934   0.015100
 1920.0   -0.003052   0.015158
 1921.0   -0.003180   0.015209
 1922.0   -0.003307   0.015260
 1923.0   -0.003435   0.015311
 1924.0   -0.003563   0.015362
 1925.0   -0.003690   0.015413
 1926.0   -0.003828   0.015456
 1927.0   -0.003965   0.015498
 1928.0   -0.004102   0.015540
 1929.0   -0.004239   0.015582
 1930.0   -0.004376   0.015624
 1931.0   -0.004522   0.015656
 1932.0   -0.004668   0.015687
 1933.0   -0.004814   0.015719
 1934.0   -0.004960   0.015750
 1935.0   -0.005106   0.015782
 1936.0   -0.005260   0.015801
 1937.0   -0.005414   0.015820
 1938.0   -0.005568   0.015839
 1939.0   -0.005722   0.015858
 1940.0   -0.005876   0.015878
 1941.0   -0.006037   0.015883
 1942.0   -0.006198   0.015888
 1943.0   -0.006359   0.015893
 1944.0   -0.006519   0.015898
 1945.0   -0.006680   0.015903
 1946.0   -0.006846   0.015892
 1947.0   -0.007012   0.015882
 1948.0   -0.007178   0.015871
 1949.0   -0.007344   0.015861
 1950.0   -0.007509   0.015850
 1951.0   -0.007678   0.015822
 1952.0   -0.007847   0.015795
 1953.0   -0.008016   0.015767
 1954.0   -0.008185   0.015740
 1955.0   -0.008354   0.015712
 1956.0   -0.008523   0.015667
 1957.0   -0.008693   0.015621
 1958.0   -0.008862   0.015575
 1959.0   -0.009032   0.015530
 1960.0   -0.009201   0.015484
 1961.0   -0.009369   0.015420
 1962.0   -0.009536   0.015356
 1963.0   -0.009704   0.015292
 1964.0   -0.009872   0.015228
 1965.0   -0.010039   0.015164
 1966.0   -0.010202   0.015082
 1967.0   -0.010365   0.014999
 1968.0   -0.010528   0.014917
 1969.0   -0.010690   0.014834
 1970.0   -0.010853   0.014752
 1971.0   -0.011008   0.014651
