   W         M1-(pi+_n)
 (MeV)      Re      Im
 1661.0   -0.960   1.070
 1662.0   -0.969   1.068
 1663.0   -0.977   1.066
 1664.0   -0.985   1.065
 1665.0   -0.993   1.063
 1666.0   -1.001   1.061
 1667.0   -1.010   1.059
 1668.0   -1.018   1.058
 1669.0   -1.026   1.056
 1670.0   -1.034   1.054
 1671.0   -1.042   1.053
 1672.0   -1.050   1.051
 1673.0   -1.058   1.049
 1674.0   -1.066   1.048
 1675.0   -1.074   1.046
 1676.0   -1.082   1.044
 1677.0   -1.090   1.043
 1678.0   -1.097   1.041
 1679.0   -1.105   1.039
 1680.0   -1.112   1.037
 1681.0   -1.120   1.035
 1682.0   -1.127   1.033
 1683.0   -1.134   1.031
 1684.0   -1.140   1.029
 1685.0   -1.147   1.027
 1686.0   -1.154   1.025
 1687.0   -1.160   1.023
 1688.0   -1.167   1.021
 1689.0   -1.173   1.019
 1690.0   -1.180   1.017
 1691.0   -1.186   1.015
 1692.0   -1.193   1.013
 1693.0   -1.200   1.011
 1694.0   -1.206   1.008
 1695.0   -1.213   1.006
 1696.0   -1.219   1.004
 1697.0   -1.225   1.002
 1698.0   -1.231   1.000
 1699.0   -1.237   0.998
 1700.0   -1.243   0.996
 1701.0   -1.249   0.993
 1702.0   -1.254   0.991
 1703.0   -1.259   0.988
 1704.0   -1.265   0.986
 1705.0   -1.270   0.984
 1706.0   -1.275   0.981
 1707.0   -1.279   0.979
 1708.0   -1.284   0.976
 1709.0   -1.289   0.974
 1710.0   -1.294   0.971
 1711.0   -1.298   0.968
 1712.0   -1.303   0.966
 1713.0   -1.308   0.963
 1714.0   -1.313   0.961
 1715.0   -1.317   0.958
 1716.0   -1.322   0.956
 1717.0   -1.327   0.953
 1718.0   -1.331   0.951
 1719.0   -1.336   0.948
 1720.0   -1.340   0.946
 1721.0   -1.344   0.943
 1722.0   -1.348   0.940
 1723.0   -1.353   0.938
 1724.0   -1.356   0.935
 1725.0   -1.360   0.932
 1726.0   -1.364   0.929
 1727.0   -1.368   0.927
 1728.0   -1.371   0.924
 1729.0   -1.375   0.921
 1730.0   -1.379   0.918
 1731.0   -1.382   0.915
 1732.0   -1.385   0.912
 1733.0   -1.389   0.910
 1734.0   -1.392   0.907
 1735.0   -1.395   0.904
 1736.0   -1.398   0.901
 1737.0   -1.401   0.898
 1738.0   -1.404   0.895
 1739.0   -1.407   0.892
 1740.0   -1.410   0.889
 1741.0   -1.413   0.886
 1742.0   -1.416   0.883
 1743.0   -1.418   0.880
 1744.0   -1.421   0.877
 1745.0   -1.424   0.874
 1746.0   -1.426   0.871
 1747.0   -1.428   0.868
 1748.0   -1.431   0.865
 1749.0   -1.433   0.861
 1750.0   -1.435   0.858
 1751.0   -1.437   0.855
 1752.0   -1.439   0.852
 1753.0   -1.441   0.849
 1754.0   -1.442   0.845
 1755.0   -1.444   0.842
 1756.0   -1.445   0.839
 1757.0   -1.447   0.836
 1758.0   -1.449   0.832
 1759.0   -1.450   0.829
 1760.0   -1.452   0.826
 1761.0   -1.453   0.823
 1762.0   -1.455   0.819
 1763.0   -1.457   0.816
 1764.0   -1.458   0.813
 1765.0   -1.460   0.809
 1766.0   -1.462   0.806
 1767.0   -1.463   0.803
 1768.0   -1.465   0.800
 1769.0   -1.466   0.796
 1770.0   -1.467   0.793
 1771.0   -1.468   0.790
 1772.0   -1.469   0.786
 1773.0   -1.470   0.783
 1774.0   -1.471   0.779
 1775.0   -1.472   0.776
 1776.0   -1.473   0.773
 1777.0   -1.474   0.769
 1778.0   -1.474   0.766
 1779.0   -1.475   0.762
 1780.0   -1.476   0.759
 1781.0   -1.476   0.756
 1782.0   -1.477   0.752
 1783.0   -1.477   0.749
 1784.0   -1.478   0.746
 1785.0   -1.478   0.742
 1786.0   -1.479   0.739
 1787.0   -1.479   0.735
 1788.0   -1.480   0.732
 1789.0   -1.480   0.729
 1790.0   -1.480   0.725
 1791.0   -1.481   0.722
 1792.0   -1.481   0.718
 1793.0   -1.481   0.715
 1794.0   -1.481   0.712
 1795.0   -1.481   0.708
 1796.0   -1.481   0.705
 1797.0   -1.481   0.701
 1798.0   -1.481   0.698
 1799.0   -1.481   0.695
 1800.0   -1.481   0.691
 1801.0   -1.481   0.688
 1802.0   -1.481   0.684
 1803.0   -1.481   0.681
 1804.0   -1.480   0.678
 1805.0   -1.480   0.674
 1806.0   -1.480   0.671
 1807.0   -1.479   0.668
 1808.0   -1.479   0.664
 1809.0   -1.478   0.661
 1810.0   -1.478   0.658
 1811.0   -1.478   0.655
 1812.0   -1.477   0.651
 1813.0   -1.476   0.648
 1814.0   -1.476   0.645
 1815.0   -1.475   0.642
 1816.0   -1.474   0.639
 1817.0   -1.474   0.635
 1818.0   -1.473   0.632
 1819.0   -1.472   0.629
 1820.0   -1.471   0.626
 1821.0   -1.470   0.623
 1822.0   -1.469   0.620
 1823.0   -1.467   0.617
 1824.0   -1.466   0.614
 1825.0   -1.465   0.610
 1826.0   -1.463   0.607
 1827.0   -1.462   0.604
 1828.0   -1.461   0.601
 1829.0   -1.459   0.598
 1830.0   -1.458   0.596
 1831.0   -1.456   0.593
 1832.0   -1.455   0.590
 1833.0   -1.453   0.587
 1834.0   -1.452   0.584
 1835.0   -1.450   0.581
 1836.0   -1.449   0.578
 1837.0   -1.447   0.575
 1838.0   -1.446   0.573
 1839.0   -1.444   0.570
 1840.0   -1.442   0.567
 1841.0   -1.440   0.564
 1842.0   -1.438   0.562
 1843.0   -1.436   0.559
 1844.0   -1.434   0.557
 1845.0   -1.432   0.554
 1846.0   -1.430   0.552
 1847.0   -1.428   0.549
 1848.0   -1.425   0.547
 1849.0   -1.423   0.545
 1850.0   -1.421   0.542
 1851.0   -1.418   0.540
 1852.0   -1.416   0.538
 1853.0   -1.414   0.536
 1854.0   -1.411   0.533
 1855.0   -1.409   0.531
 1856.0   -1.406   0.529
 1857.0   -1.404   0.527
 1858.0   -1.401   0.525
 1859.0   -1.398   0.523
 1860.0   -1.396   0.521
 1861.0   -1.393   0.519
 1862.0   -1.390   0.517
 1863.0   -1.387   0.516
 1864.0   -1.385   0.514
 1865.0   -1.382   0.512
 1866.0   -1.379   0.511
 1867.0   -1.376   0.509
 1868.0   -1.373   0.508
 1869.0   -1.371   0.506
 1870.0   -1.368   0.505
 1871.0   -1.365   0.503
 1872.0   -1.362   0.502
 1873.0   -1.359   0.500
 1874.0   -1.356   0.499
 1875.0   -1.353   0.498
 1876.0   -1.350   0.497
 1877.0   -1.347   0.496
 1878.0   -1.345   0.494
 1879.0   -1.342   0.493
 1880.0   -1.338   0.492
 1881.0   -1.335   0.492
 1882.0   -1.332   0.491
 1883.0   -1.329   0.490
 1884.0   -1.326   0.489
 1885.0   -1.323   0.489
 1886.0   -1.320   0.488
 1887.0   -1.316   0.488
 1888.0   -1.313   0.487
 1889.0   -1.310   0.487
 1890.0   -1.307   0.486
 1891.0   -1.304   0.486
 1892.0   -1.300   0.486
 1893.0   -1.297   0.486
 1894.0   -1.294   0.486
 1895.0   -1.291   0.485
 1896.0   -1.288   0.485
 1897.0   -1.285   0.485
 1898.0   -1.281   0.486
