   W         E2-(pi+_n)
 (MeV)      Re      Im
 1592.0    4.994   0.000
 1593.0    4.993   0.000
 1594.0    4.991   0.000
 1595.0    4.989   0.000
 1596.0    4.987   0.000
 1597.0    4.985   0.000
 1598.0    4.984   0.000
 1599.0    4.982   0.000
 1600.0    4.980   0.000
 1601.0    4.978   0.000
 1602.0    4.976   0.000
 1603.0    4.975   0.000
 1604.0    4.973   0.000
 1605.0    4.971   0.000
 1606.0    4.969   0.000
 1607.0    4.967   0.000
 1608.0    4.966   0.000
 1609.0    4.964   0.000
 1610.0    4.962   0.000
 1611.0    4.960   0.000
 1612.0    4.958   0.000
 1613.0    4.957   0.000
 1614.0    4.955   0.000
 1615.0    4.953   0.000
 1616.0    4.951   0.000
 1617.0    4.949   0.000
 1618.0    4.948   0.000
 1619.0    4.946   0.000
 1620.0    4.944   0.000
 1621.0    4.942   0.000
 1622.0    4.941   0.000
 1623.0    4.939   0.000
 1624.0    4.937   0.000
 1625.0    4.935   0.000
 1626.0    4.933   0.000
 1627.0    4.932   0.000
 1628.0    4.930   0.000
 1629.0    4.928   0.000
 1630.0    4.926   0.000
 1631.0    4.925   0.000
 1632.0    4.923   0.000
 1633.0    4.921   0.000
 1634.0    4.919   0.000
 1635.0    4.917   0.000
 1636.0    4.916   0.000
 1637.0    4.914   0.000
 1638.0    4.912   0.000
 1639.0    4.910   0.000
 1640.0    4.909   0.000
 1641.0    4.907   0.000
 1642.0    4.905   0.000
 1643.0    4.903   0.000
 1644.0    4.902   0.000
 1645.0    4.900   0.000
 1646.0    4.898   0.000
 1647.0    4.896   0.000
 1648.0    4.895   0.000
 1649.0    4.893   0.000
 1650.0    4.891   0.000
 1651.0    4.889   0.000
 1652.0    4.888   0.000
 1653.0    4.886   0.000
 1654.0    4.884   0.000
 1655.0    4.882   0.000
 1656.0    4.881   0.000
 1657.0    4.879   0.000
 1658.0    4.877   0.000
 1659.0    4.875   0.000
 1660.0    4.874   0.000
 1661.0    4.872   0.000
 1662.0    4.870   0.000
 1663.0    4.868   0.000
 1664.0    4.867   0.000
 1665.0    4.865   0.000
 1666.0    4.863   0.000
 1667.0    4.862   0.000
 1668.0    4.860   0.000
 1669.0    4.858   0.000
 1670.0    4.856   0.000
 1671.0    4.855   0.000
 1672.0    4.853   0.000
 1673.0    4.851   0.000
 1674.0    4.849   0.000
 1675.0    4.848   0.000
 1676.0    4.846   0.000
 1677.0    4.844   0.000
 1678.0    4.843   0.000
 1679.0    4.841   0.000
 1680.0    4.839   0.000
 1681.0    4.838   0.000
 1682.0    4.836   0.000
 1683.0    4.834   0.000
 1684.0    4.832   0.000
 1685.0    4.831   0.000
 1686.0    4.829   0.000
 1687.0    4.827   0.000
 1688.0    4.826   0.000
 1689.0    4.824   0.000
 1690.0    4.822   0.000
 1691.0    4.821   0.000
 1692.0    4.819   0.000
 1693.0    4.817   0.000
 1694.0    4.816   0.000
 1695.0    4.814   0.000
 1696.0    4.812   0.000
 1697.0    4.811   0.000
 1698.0    4.809   0.000
 1699.0    4.807   0.000
 1700.0    4.806   0.000
 1701.0    4.804   0.000
 1702.0    4.802   0.000
 1703.0    4.801   0.000
 1704.0    4.799   0.000
 1705.0    4.797   0.000
 1706.0    4.796   0.000
 1707.0    4.794   0.000
 1708.0    4.792   0.000
 1709.0    4.791   0.000
 1710.0    4.789   0.000
 1711.0    4.787   0.000
 1712.0    4.786   0.000
 1713.0    4.784   0.000
 1714.0    4.782   0.000
 1715.0    4.781   0.000
 1716.0    4.779   0.000
 1717.0    4.778   0.000
 1718.0    4.776   0.000
 1719.0    4.774   0.000
 1720.0    4.773   0.000
 1721.0    4.771   0.000
 1722.0    4.769   0.000
 1723.0    4.768   0.000
 1724.0    4.766   0.000
 1725.0    4.765   0.000
 1726.0    4.763   0.000
 1727.0    4.761   0.000
 1728.0    4.760   0.000
 1729.0    4.758   0.000
 1730.0    4.757   0.000
 1731.0    4.755   0.000
 1732.0    4.753   0.000
 1733.0    4.752   0.000
 1734.0    4.750   0.000
 1735.0    4.749   0.000
 1736.0    4.747   0.000
 1737.0    4.745   0.000
 1738.0    4.744   0.000
 1739.0    4.742   0.000
 1740.0    4.741   0.000
 1741.0    4.739   0.000
 1742.0    4.737   0.000
 1743.0    4.736   0.000
 1744.0    4.734   0.000
 1745.0    4.733   0.000
 1746.0    4.731   0.000
 1747.0    4.730   0.000
 1748.0    4.728   0.000
 1749.0    4.726   0.000
 1750.0    4.725   0.000
 1751.0    4.723   0.000
 1752.0    4.722   0.000
 1753.0    4.720   0.000
 1754.0    4.719   0.000
 1755.0    4.717   0.000
 1756.0    4.716   0.000
 1757.0    4.714   0.000
 1758.0    4.712   0.000
 1759.0    4.711   0.000
 1760.0    4.709   0.000
 1761.0    4.708   0.000
 1762.0    4.706   0.000
 1763.0    4.705   0.000
 1764.0    4.703   0.000
 1765.0    4.702   0.000
 1766.0    4.700   0.000
 1767.0    4.699   0.000
 1768.0    4.697   0.000
 1769.0    4.696   0.000
 1770.0    4.694   0.000
 1771.0    4.693   0.000
 1772.0    4.691   0.000
 1773.0    4.690   0.000
 1774.0    4.688   0.000
 1775.0    4.687   0.000
 1776.0    4.685   0.000
 1777.0    4.684   0.000
 1778.0    4.682   0.000
 1779.0    4.681   0.000
 1780.0    4.679   0.000
 1781.0    4.678   0.000
 1782.0    4.676   0.000
 1783.0    4.675   0.000
 1784.0    4.673   0.000
 1785.0    4.672   0.000
 1786.0    4.670   0.000
 1787.0    4.669   0.000
 1788.0    4.667   0.000
 1789.0    4.666   0.000
 1790.0    4.664   0.000
 1791.0    4.663   0.000
 1792.0    4.661   0.000
 1793.0    4.660   0.000
 1794.0    4.658   0.000
 1795.0    4.657   0.000
 1796.0    4.655   0.000
 1797.0    4.654   0.000
 1798.0    4.653   0.000
 1799.0    4.651   0.000
 1800.0    4.650   0.000
 1801.0    4.648   0.000
 1802.0    4.647   0.000
 1803.0    4.645   0.000
 1804.0    4.644   0.000
 1805.0    4.642   0.000
 1806.0    4.641   0.000
 1807.0    4.640   0.000
 1808.0    4.638   0.000
 1809.0    4.637   0.000
 1810.0    4.635   0.000
 1811.0    4.634   0.000
 1812.0    4.632   0.000
 1813.0    4.631   0.000
 1814.0    4.630   0.000
 1815.0    4.628   0.000
 1816.0    4.627   0.000
 1817.0    4.625   0.000
 1818.0    4.624   0.000
 1819.0    4.623   0.000
 1820.0    4.621   0.000
 1821.0    4.620   0.000
 1822.0    4.618   0.000
 1823.0    4.617   0.000
 1824.0    4.616   0.000
 1825.0    4.614   0.000
 1826.0    4.613   0.000
 1827.0    4.611   0.000
