   W         M1+(pi+_n)
 (MeV)      Re      Im
 1692.0   -0.792   0.557
 1693.0   -0.794   0.561
 1694.0   -0.796   0.564
 1695.0   -0.798   0.568
 1696.0   -0.801   0.571
 1697.0   -0.803   0.574
 1698.0   -0.805   0.577
 1699.0   -0.808   0.580
 1700.0   -0.811   0.583
 1701.0   -0.814   0.586
 1702.0   -0.817   0.589
 1703.0   -0.820   0.592
 1704.0   -0.823   0.595
 1705.0   -0.827   0.597
 1706.0   -0.830   0.600
 1707.0   -0.834   0.603
 1708.0   -0.838   0.605
 1709.0   -0.842   0.607
 1710.0   -0.846   0.610
 1711.0   -0.850   0.612
 1712.0   -0.855   0.614
 1713.0   -0.859   0.616
 1714.0   -0.864   0.618
 1715.0   -0.868   0.620
 1716.0   -0.873   0.622
 1717.0   -0.878   0.623
 1718.0   -0.882   0.625
 1719.0   -0.887   0.626
 1720.0   -0.892   0.628
 1721.0   -0.897   0.629
 1722.0   -0.902   0.630
 1723.0   -0.906   0.632
 1724.0   -0.911   0.633
 1725.0   -0.916   0.634
 1726.0   -0.921   0.634
 1727.0   -0.926   0.635
 1728.0   -0.931   0.636
 1729.0   -0.936   0.637
 1730.0   -0.941   0.637
 1731.0   -0.946   0.638
 1732.0   -0.952   0.638
 1733.0   -0.957   0.638
 1734.0   -0.962   0.639
 1735.0   -0.967   0.639
 1736.0   -0.973   0.639
 1737.0   -0.978   0.639
 1738.0   -0.983   0.639
 1739.0   -0.988   0.638
 1740.0   -0.993   0.638
 1741.0   -0.997   0.638
 1742.0   -1.002   0.637
 1743.0   -1.007   0.637
 1744.0   -1.011   0.636
 1745.0   -1.016   0.636
 1746.0   -1.020   0.635
 1747.0   -1.025   0.634
 1748.0   -1.030   0.633
 1749.0   -1.034   0.632
 1750.0   -1.039   0.631
 1751.0   -1.044   0.630
 1752.0   -1.049   0.629
 1753.0   -1.054   0.628
 1754.0   -1.059   0.627
 1755.0   -1.065   0.626
 1756.0   -1.070   0.624
 1757.0   -1.075   0.623
 1758.0   -1.080   0.621
 1759.0   -1.085   0.620
 1760.0   -1.090   0.618
 1761.0   -1.095   0.617
 1762.0   -1.100   0.615
 1763.0   -1.105   0.613
 1764.0   -1.109   0.611
 1765.0   -1.114   0.610
 1766.0   -1.118   0.608
 1767.0   -1.122   0.606
 1768.0   -1.127   0.604
 1769.0   -1.131   0.602
 1770.0   -1.135   0.600
 1771.0   -1.139   0.598
 1772.0   -1.143   0.596
 1773.0   -1.147   0.593
 1774.0   -1.151   0.591
 1775.0   -1.155   0.589
 1776.0   -1.158   0.587
 1777.0   -1.162   0.585
 1778.0   -1.166   0.582
 1779.0   -1.169   0.580
 1780.0   -1.173   0.577
 1781.0   -1.176   0.575
 1782.0   -1.179   0.573
 1783.0   -1.182   0.570
 1784.0   -1.186   0.568
 1785.0   -1.189   0.565
 1786.0   -1.192   0.563
 1787.0   -1.195   0.560
 1788.0   -1.198   0.558
 1789.0   -1.201   0.555
 1790.0   -1.204   0.552
 1791.0   -1.207   0.550
 1792.0   -1.210   0.547
 1793.0   -1.213   0.545
 1794.0   -1.217   0.542
 1795.0   -1.220   0.539
 1796.0   -1.223   0.537
 1797.0   -1.226   0.534
 1798.0   -1.229   0.531
 1799.0   -1.231   0.528
 1800.0   -1.234   0.526
 1801.0   -1.237   0.523
 1802.0   -1.239   0.520
 1803.0   -1.241   0.518
 1804.0   -1.244   0.515
 1805.0   -1.245   0.512
 1806.0   -1.247   0.509
 1807.0   -1.249   0.506
 1808.0   -1.251   0.504
 1809.0   -1.252   0.501
 1810.0   -1.253   0.498
 1811.0   -1.254   0.495
 1812.0   -1.255   0.492
 1813.0   -1.256   0.490
 1814.0   -1.257   0.487
 1815.0   -1.258   0.484
 1816.0   -1.258   0.481
 1817.0   -1.259   0.478
 1818.0   -1.260   0.475
 1819.0   -1.261   0.473
 1820.0   -1.261   0.470
 1821.0   -1.262   0.467
 1822.0   -1.263   0.464
 1823.0   -1.264   0.461
 1824.0   -1.265   0.459
 1825.0   -1.266   0.456
 1826.0   -1.267   0.453
 1827.0   -1.268   0.450
 1828.0   -1.268   0.447
 1829.0   -1.269   0.445
 1830.0   -1.270   0.442
 1831.0   -1.270   0.439
 1832.0   -1.271   0.436
 1833.0   -1.271   0.433
 1834.0   -1.271   0.431
 1835.0   -1.271   0.428
 1836.0   -1.270   0.425
 1837.0   -1.270   0.422
 1838.0   -1.270   0.420
 1839.0   -1.269   0.417
 1840.0   -1.268   0.414
 1841.0   -1.267   0.411
 1842.0   -1.266   0.409
 1843.0   -1.265   0.406
 1844.0   -1.264   0.403
 1845.0   -1.263   0.401
 1846.0   -1.261   0.398
 1847.0   -1.260   0.395
 1848.0   -1.259   0.393
 1849.0   -1.258   0.390
 1850.0   -1.257   0.387
 1851.0   -1.256   0.385
 1852.0   -1.255   0.382
 1853.0   -1.254   0.379
 1854.0   -1.254   0.377
 1855.0   -1.253   0.374
 1856.0   -1.252   0.371
 1857.0   -1.251   0.369
 1858.0   -1.250   0.366
 1859.0   -1.249   0.364
 1860.0   -1.247   0.361
 1861.0   -1.245   0.358
 1862.0   -1.243   0.356
 1863.0   -1.241   0.353
 1864.0   -1.239   0.351
 1865.0   -1.236   0.348
