   W         E3+(pi+_n)
 (MeV)      Re      Im
 1470.0    0.295   0.003
 1471.0    0.295   0.003
 1472.0    0.295   0.003
 1473.0    0.295   0.003
 1474.0    0.295   0.003
 1475.0    0.295   0.003
 1476.0    0.295   0.003
 1477.0    0.294   0.003
 1478.0    0.294   0.003
 1479.0    0.294   0.003
 1480.0    0.294   0.004
 1481.0    0.294   0.004
 1482.0    0.294   0.004
 1483.0    0.294   0.004
 1484.0    0.294   0.004
 1485.0    0.293   0.004
 1486.0    0.293   0.004
 1487.0    0.293   0.004
 1488.0    0.293   0.004
 1489.0    0.293   0.004
 1490.0    0.293   0.004
 1491.0    0.293   0.004
 1492.0    0.292   0.004
 1493.0    0.292   0.004
 1494.0    0.292   0.004
 1495.0    0.292   0.004
 1496.0    0.292   0.004
 1497.0    0.292   0.004
 1498.0    0.292   0.004
 1499.0    0.291   0.004
 1500.0    0.291   0.004
 1501.0    0.291   0.004
 1502.0    0.291   0.004
 1503.0    0.291   0.004
 1504.0    0.291   0.004
 1505.0    0.291   0.004
 1506.0    0.290   0.004
 1507.0    0.290   0.004
 1508.0    0.290   0.004
 1509.0    0.290   0.004
 1510.0    0.290   0.004
 1511.0    0.290   0.004
 1512.0    0.290   0.004
 1513.0    0.289   0.004
 1514.0    0.289   0.004
 1515.0    0.289   0.004
 1516.0    0.289   0.005
 1517.0    0.289   0.005
 1518.0    0.289   0.005
 1519.0    0.289   0.005
 1520.0    0.288   0.005
 1521.0    0.288   0.005
 1522.0    0.288   0.005
 1523.0    0.288   0.005
 1524.0    0.288   0.005
 1525.0    0.288   0.005
 1526.0    0.288   0.005
 1527.0    0.287   0.005
 1528.0    0.287   0.005
 1529.0    0.287   0.005
 1530.0    0.287   0.005
 1531.0    0.287   0.005
 1532.0    0.287   0.005
 1533.0    0.287   0.005
 1534.0    0.286   0.005
 1535.0    0.286   0.005
 1536.0    0.286   0.005
 1537.0    0.286   0.005
 1538.0    0.286   0.005
 1539.0    0.286   0.005
 1540.0    0.285   0.005
 1541.0    0.285   0.005
 1542.0    0.285   0.005
 1543.0    0.285   0.005
 1544.0    0.285   0.005
 1545.0    0.285   0.005
 1546.0    0.284   0.005
 1547.0    0.284   0.006
 1548.0    0.284   0.006
 1549.0    0.284   0.006
 1550.0    0.284   0.006
 1551.0    0.284   0.006
 1552.0    0.283   0.006
 1553.0    0.283   0.006
 1554.0    0.283   0.006
 1555.0    0.283   0.006
 1556.0    0.283   0.006
 1557.0    0.283   0.006
 1558.0    0.283   0.006
 1559.0    0.282   0.006
 1560.0    0.282   0.006
 1561.0    0.282   0.006
 1562.0    0.282   0.006
 1563.0    0.282   0.006
 1564.0    0.282   0.006
 1565.0    0.281   0.006
 1566.0    0.281   0.006
 1567.0    0.281   0.006
 1568.0    0.281   0.006
 1569.0    0.281   0.006
 1570.0    0.281   0.006
 1571.0    0.280   0.006
 1572.0    0.280   0.006
 1573.0    0.280   0.007
 1574.0    0.280   0.007
 1575.0    0.280   0.007
 1576.0    0.280   0.007
 1577.0    0.279   0.007
 1578.0    0.279   0.007
 1579.0    0.279   0.007
