   W         E2-(pi+_n)
 (MeV)      Re      Im
 1829.0    2.717   0.000
 1830.0    2.713   0.000
 1831.0    2.709   0.000
 1832.0    2.704   0.000
 1833.0    2.700   0.000
 1834.0    2.695   0.000
 1835.0    2.691   0.000
 1836.0    2.687   0.000
 1837.0    2.682   0.000
 1838.0    2.678   0.000
 1839.0    2.674   0.000
 1840.0    2.669   0.000
 1841.0    2.665   0.000
 1842.0    2.660   0.000
 1843.0    2.656   0.000
 1844.0    2.652   0.000
 1845.0    2.647   0.000
 1846.0    2.643   0.000
 1847.0    2.639   0.000
 1848.0    2.634   0.000
 1849.0    2.630   0.000
 1850.0    2.626   0.000
 1851.0    2.621   0.000
 1852.0    2.617   0.000
 1853.0    2.613   0.000
 1854.0    2.608   0.000
 1855.0    2.604   0.000
 1856.0    2.600   0.000
 1857.0    2.595   0.000
 1858.0    2.591   0.000
 1859.0    2.587   0.000
 1860.0    2.582   0.000
 1861.0    2.578   0.000
 1862.0    2.574   0.000
 1863.0    2.569   0.000
 1864.0    2.565   0.000
 1865.0    2.561   0.000
 1866.0    2.556   0.000
 1867.0    2.552   0.000
 1868.0    2.548   0.000
 1869.0    2.543   0.000
 1870.0    2.539   0.000
 1871.0    2.535   0.000
 1872.0    2.531   0.000
 1873.0    2.526   0.000
 1874.0    2.522   0.000
 1875.0    2.518   0.000
 1876.0    2.513   0.000
 1877.0    2.509   0.000
 1878.0    2.505   0.000
 1879.0    2.501   0.000
 1880.0    2.496   0.000
 1881.0    2.492   0.000
 1882.0    2.488   0.000
 1883.0    2.483   0.000
 1884.0    2.479   0.000
 1885.0    2.475   0.000
 1886.0    2.471   0.000
 1887.0    2.466   0.000
 1888.0    2.462   0.000
 1889.0    2.458   0.000
 1890.0    2.454   0.000
 1891.0    2.449   0.000
 1892.0    2.445   0.000
 1893.0    2.441   0.000
 1894.0    2.437   0.000
 1895.0    2.432   0.000
 1896.0    2.428   0.000
 1897.0    2.424   0.000
 1898.0    2.420   0.000
 1899.0    2.415   0.000
 1900.0    2.411   0.000
 1901.0    2.407   0.000
 1902.0    2.403   0.000
 1903.0    2.399   0.000
 1904.0    2.394   0.000
 1905.0    2.390   0.000
 1906.0    2.386   0.000
 1907.0    2.382   0.000
 1908.0    2.378   0.000
 1909.0    2.373   0.000
 1910.0    2.369   0.000
 1911.0    2.365   0.000
 1912.0    2.361   0.000
 1913.0    2.356   0.000
 1914.0    2.352   0.000
 1915.0    2.348   0.000
 1916.0    2.344   0.000
 1917.0    2.340   0.000
 1918.0    2.336   0.000
 1919.0    2.331   0.000
 1920.0    2.327   0.000
 1921.0    2.323   0.000
 1922.0    2.319   0.000
 1923.0    2.315   0.000
 1924.0    2.310   0.000
 1925.0    2.306   0.000
 1926.0    2.302   0.000
 1927.0    2.298   0.000
 1928.0    2.294   0.000
 1929.0    2.290   0.000
 1930.0    2.286   0.000
 1931.0    2.281   0.000
 1932.0    2.277   0.000
 1933.0    2.273   0.000
 1934.0    2.269   0.000
 1935.0    2.265   0.000
 1936.0    2.261   0.000
 1937.0    2.256   0.000
 1938.0    2.252   0.000
 1939.0    2.248   0.000
 1940.0    2.244   0.000
 1941.0    2.240   0.000
 1942.0    2.236   0.000
 1943.0    2.232   0.000
 1944.0    2.228   0.000
 1945.0    2.223   0.000
 1946.0    2.219   0.000
 1947.0    2.215   0.000
 1948.0    2.211   0.000
 1949.0    2.207   0.000
 1950.0    2.203   0.000
 1951.0    2.199   0.000
 1952.0    2.195   0.000
 1953.0    2.191   0.000
 1954.0    2.187   0.000
 1955.0    2.182   0.000
 1956.0    2.178   0.000
 1957.0    2.174   0.000
 1958.0    2.170   0.000
 1959.0    2.166   0.000
 1960.0    2.162   0.000
 1961.0    2.158   0.000
 1962.0    2.154   0.000
 1963.0    2.150   0.000
 1964.0    2.146   0.000
 1965.0    2.142   0.000
 1966.0    2.138   0.000
 1967.0    2.133   0.000
 1968.0    2.129   0.000
 1969.0    2.125   0.000
 1970.0    2.121   0.000
 1971.0    2.117   0.000
