-0.700 134.43 1.5499 0.0097 0.0124
-0.633 129.30 1.8545 0.0103 0.0139
-0.567 124.52 2.1426 0.0109 0.0153
-0.500 120.00 2.3990 0.0115 0.0166
-0.433 115.68 2.6056 0.0119 0.0177
-0.367 111.51 2.7301 0.0121 0.0182
-0.300 107.46 2.8776 0.0124 0.0190
-0.233 103.49 2.9713 0.0125 0.0194
-0.167  99.59 3.0068 0.0125 0.0196
-0.100  95.74 3.0380 0.0126 0.0197
-0.033  91.91 3.0138 0.0125 0.0196
 0.033  88.09 2.9479 0.0124 0.0192
 0.100  84.26 2.8775 0.0122 0.0189
 0.167  80.41 2.7550 0.0119 0.0182
 0.233  76.51 2.6192 0.0116 0.0175
 0.300  72.54 2.4960 0.0114 0.0169
 0.367  68.49 2.3312 0.0110 0.0160
 0.433  64.32 2.1603 0.0106 0.0151
 0.500  60.00 2.0180 0.0102 0.0143
 0.567  55.48 1.8929 0.0101 0.0138
 0.633  50.70 1.7674 0.0101 0.0134
 0.700  45.57 1.6312 0.0104 0.0132
 0.767  39.94 1.4926 0.0109 0.0132
 0.833  33.56 1.4131 0.0122 0.0141
 0.900  25.84 1.2984 0.0141 0.0155
 0.967  14.84 1.3070 0.0254 0.0262
TXS=26.275+/-0.027 ub

tag channel= 217, eff= 0.642146
tag channel= 218, eff= 0.637128
tag channel= 219, eff= 0.634127
tag channel= 220, eff= 0.635903
tag channel= 221, eff= 0.636966
tag channel= 222, eff= 0.375000
tag channel= 223, eff= 0.638546
Eg=636.15-666.70 W=1440.2-1459.9
Eg=651.42+/-15.28  W=1450.06+/-9.88
cos  degrees  DXS  eDXS_stat  eDXS_tot
-0.967 165.16 0.7080 0.0074 0.0082
-0.900 154.16 0.8290 0.0061 0.0074
-0.833 146.44 1.0039 0.0064 0.0081
-0.767 140.06 1.2307 0.0070 0.0093
-0.700 134.43 1.4811 0.0076 0.0106
-0.633 129.30 1.7319 0.0080 0.0118
-0.567 124.52 2.0000 0.0085 0.0131
-0.500 120.00 2.2276 0.0089 0.0143
-0.433 115.68 2.4198 0.0093 0.0152
-0.367 111.51 2.5469 0.0094 0.0158
-0.300 107.46 2.6719 0.0097 0.0165
-0.233 103.49 2.7663 0.0098 0.0169
-0.167  99.59 2.7839 0.0098 0.0170
-0.100  95.74 2.8347 0.0099 0.0173
-0.033  91.91 2.8127 0.0098 0.0171
 0.033  88.09 2.7771 0.0097 0.0170
 0.100  84.26 2.6774 0.0095 0.0164
 0.167  80.41 2.5769 0.0093 0.0159
 0.233  76.51 2.4539 0.0091 0.0153
 0.300  72.54 2.3078 0.0088 0.0145
 0.367  68.49 2.1710 0.0085 0.0138
 0.433  64.32 2.0140 0.0081 0.0130
 0.500  60.00 1.8456 0.0078 0.0121
 0.567  55.48 1.7362 0.0077 0.0116
 0.633  50.70 1.5955 0.0077 0.0111
 0.700  45.57 1.4772 0.0079 0.0108
 0.767  39.94 1.3228 0.0083 0.0106
 0.833  33.56 1.2105 0.0090 0.0108
 0.900  25.84 1.0532 0.0100 0.0113
 0.967  14.84 1.0051 0.0192 0.0198
TXS=24.397+/-0.021 ub

tag channel= 210, eff= 0.640000
tag channel= 211, eff= 0.640808
tag channel= 212, eff= 0.490000
tag channel= 213, eff= 0.643389
tag channel= 214, eff= 0.340000
tag channel= 215, eff= 0.481000
tag channel= 216 is bad
Eg=666.70-697.13 W=1459.9-1479.4
Eg=681.92+/-15.22  W=1469.66+/-9.71
cos  degrees  DXS  eDXS_stat  eDXS_tot
-0.967 165.16 1.0543 0.0101 0.0114
-0.900 154.16 1.1705 0.0082 0.0100
-0.833 146.44 1.3421 0.0083 0.0107
-0.767 140.06 1.6092 0.0091 0.0121
-0.700 134.43 1.9007 0.0098 0.0136
-0.633 129.30 2.2114 0.0104 0.0152
-0.567 124.52 2.5433 0.0110 0.0168
-0.500 120.00 2.8329 0.0116 0.0183
-0.433 115.68 3.0952 0.0120 0.0196
-0.367 111.51 3.2956 0.0124 0.0206
-0.300 107.46 3.4488 0.0126 0.0214
-0.233 103.49 3.5578 0.0128 0.0219
-0.167  99.59 3.6389 0.0129 0.0223
-0.100  95.74 3.7087 0.0131 0.0227
-0.033  91.91 3.6738 0.0129 0.0225
 0.033  88.09 3.6387 0.0129 0.0223
 0.100  84.26 3.5371 0.0127 0.0218
 0.167  80.41 3.4220 0.0124 0.0212
 0.233  76.51 3.2941 0.0122 0.0205
 0.300  72.54 3.1002 0.0118 0.0195
 0.367  68.49 2.9307 0.0114 0.0186
 0.433  64.32 2.7405 0.0110 0.0175
 0.500  60.00 2.5634 0.0106 0.0166
 0.567  55.48 2.3624 0.0104 0.0157
 0.633  50.70 2.1859 0.0104 0.0151
 0.700  45.57 1.9893 0.0106 0.0145
 0.767  39.94 1.7432 0.0109 0.0139
 0.833  33.56 1.5150 0.0113 0.0136
 0.900  25.84 1.2456 0.0123 0.0137
 0.967  14.84 1.0838 0.0231 0.0237
TXS=32.001+/-0.027 ub

