   W                 E3+(pi0_p)
 (MeV)      Re       DRe      Im       DIm
1597.186    0.005    0.014   -0.018    0.016
1599.605   -0.001    0.013   -0.009    0.017
1602.020   -0.002    0.013   -0.015    0.016
1604.425   -0.003    0.012   -0.006    0.015
1606.821    0.027    0.015   -0.047    0.014
1609.213    0.023    0.015   -0.044    0.014
1611.596    0.037    0.015   -0.044    0.011
1613.970    0.040    0.015   -0.044    0.013
1616.346    0.052    0.015   -0.045    0.012
1618.654    0.023    0.017   -0.033    0.013
1621.058    0.020    0.017   -0.036    0.013
1623.395    0.107    0.020   -0.080    0.013
1625.734    0.078    0.020   -0.075    0.013
1628.064    0.085    0.020   -0.068    0.013
1630.385    0.075    0.019   -0.064    0.012
1632.702    0.057    0.016   -0.057    0.012
1635.011    0.075    0.017   -0.059    0.011
1637.311    0.072    0.016   -0.060    0.013
1639.601    0.086    0.015   -0.058    0.012
1641.894    0.115    0.017   -0.072    0.012
1644.121    0.123    0.017   -0.066    0.012
1646.442    0.116    0.017   -0.059    0.011
1648.692    0.090    0.016   -0.047    0.011
1650.950    0.098    0.017   -0.029    0.012
1653.193    0.095    0.016   -0.039    0.012
1655.433    0.079    0.016   -0.028    0.011
1657.665    0.077    0.026   -0.017    0.011
1659.888    0.084    0.026   -0.012    0.011
1662.102    0.089    0.026   -0.005    0.012
1664.308    0.090    0.027    0.008    0.011
1666.517    0.060    0.020   -0.012    0.010
1668.660    0.062    0.021   -0.010    0.010
1670.891    0.074    0.020    0.001    0.011
1673.063    0.073    0.020    0.005    0.010
1675.232    0.056    0.027    0.004    0.010
1677.392    0.104    0.025    0.012    0.011
1679.545    0.109    0.026    0.023    0.011
1681.694    0.109    0.021    0.020    0.011
1683.829    0.110    0.017   -0.001    0.012
1685.957    0.113    0.018    0.007    0.012
1688.087    0.112    0.017    0.005    0.012
1690.159    0.116    0.021    0.023    0.012
1692.306    0.097    0.019    0.012    0.013
1694.400    0.095    0.019    0.017    0.012
1696.492    0.092    0.019    0.020    0.012
1698.576    0.087    0.019    0.014    0.013
1700.646    0.091    0.019    0.017    0.014
1702.714    0.087    0.019    0.021    0.013
1704.773    0.090    0.019    0.026    0.013
1706.825    0.081    0.018    0.020    0.013
1708.874    0.101    0.026    0.020    0.014
1710.872    0.108    0.025    0.034    0.014
1712.938    0.100    0.023    0.042    0.013
1714.953    0.099    0.023    0.037    0.014
1716.965    0.032    0.024    0.078    0.012
1718.969    0.063    0.021    0.051    0.015
1724.930    0.052    0.022    0.068    0.015
1726.904    0.057    0.022    0.065    0.016
1730.827    0.087    0.021    0.079    0.014
1735.678    0.089    0.020    0.084    0.016
1739.528    0.068    0.018    0.056    0.017
1745.241    0.051    0.020    0.033    0.016
1749.001    0.024    0.020    0.047    0.015
1753.678    0.106    0.022    0.100    0.019
1759.212    0.145    0.020    0.117    0.022
1763.766    0.153    0.023    0.147    0.024
1767.385    0.178    0.024    0.151    0.023
1770.965    0.169    0.023    0.143    0.023
1774.511    0.152    0.022    0.159    0.028
1778.029    0.049    0.038   -0.006    0.031
1781.509    0.179    0.024    0.187    0.032
1784.971    0.189    0.023    0.192    0.029
1790.094    0.158    0.020    0.102    0.025
1793.471    0.171    0.020    0.118    0.026
1796.806    0.171    0.021    0.119    0.024
1800.129    0.201    0.025    0.218    0.026
1803.415    0.209    0.025    0.211    0.027
1806.669    0.128    0.054    0.042    0.041
1809.896    0.120    0.050    0.072    0.044
1813.082    0.143    0.045    0.094    0.043
1816.251    0.113    0.049    0.066    0.047
1819.390    0.061    0.049    0.044    0.035
1822.497    0.179    0.030    0.114    0.032
1825.562    0.270    0.022    0.094    0.039
1828.623    0.270    0.023    0.095    0.040
1831.643    0.268    0.022    0.097    0.039
1834.637    0.278    0.022    0.102    0.041
1838.336    0.111    0.052    0.025    0.024
1841.997    0.112    0.058   -0.002    0.024
1844.898    0.087    0.052   -0.006    0.022
1847.754   -0.020    0.025   -0.017    0.015
1852.035   -0.038    0.024   -0.015    0.016
1854.976   -0.042    0.026   -0.032    0.016
1858.008   -0.027    0.025   -0.024    0.016
1861.147   -0.030    0.026   -0.027    0.016
1864.365   -0.056    0.031   -0.044    0.018
1869.276   -0.013    0.030   -0.019    0.014
1872.541   -0.048    0.028   -0.017    0.015
1875.750   -0.029    0.036   -0.018    0.015
1878.864   -0.045    0.025    0.003    0.014
1887.394   -0.039    0.022   -0.005    0.017
1889.902   -0.049    0.024   -0.019    0.019
1894.385    0.002    0.025   -0.055    0.019
