   W                 M2-(pi0_p)
 (MeV)      Re       DRe      Im       DIm
1745.241    0.022    0.053   -0.231    0.073
1749.001   -0.002    0.058   -0.240    0.072
1753.678   -0.218    0.054   -0.031    0.075
1759.212   -0.240    0.049    0.046    0.057
1763.766   -0.279    0.052    0.104    0.064
1767.385   -0.299    0.048    0.138    0.065
1770.965   -0.257    0.049    0.126    0.063
1774.511   -0.329    0.053    0.146    0.065
1778.029   -0.047    0.063    0.297    0.092
1781.509   -0.441    0.054    0.204    0.067
1784.971   -0.365    0.054    0.224    0.062
1790.094   -0.155    0.052    0.210    0.072
1793.471   -0.186    0.051    0.155    0.074
1796.806   -0.166    0.050    0.161    0.073
1800.129   -0.394    0.063    0.177    0.075
1803.415   -0.338    0.066    0.234    0.073
1806.669   -0.182    0.062    0.246    0.082
1809.896   -0.151    0.064    0.225    0.076
1813.082   -0.147    0.070    0.216    0.079
1816.251   -0.127    0.066    0.159    0.085
1819.390   -0.091    0.066    0.136    0.088
1822.497   -0.019    0.064    0.113    0.079
1825.562   -0.135    0.085    0.373    0.083
1828.623   -0.116    0.086    0.368    0.086
1831.643   -0.097    0.082    0.354    0.085
1834.637   -0.100    0.085    0.352    0.086
1838.336   -0.087    0.113    0.008    0.107
1841.997   -0.070    0.102   -0.008    0.100
1844.898   -0.058    0.106   -0.007    0.100
1847.754    0.213    0.073   -0.161    0.070
1852.035    0.174    0.100   -0.121    0.092
1854.976    0.171    0.108   -0.123    0.099
1858.008    0.188    0.110   -0.136    0.106
1861.147    0.211    0.115   -0.132    0.112
1864.365    0.185    0.125   -0.081    0.111
1869.276    0.165    0.073    0.088    0.091
1872.541    0.197    0.081    0.023    0.098
1875.750    0.181    0.085    0.061    0.108
1878.864    0.183    0.076    0.122    0.079
1887.394    0.488    0.098   -0.048    0.100
1889.902    0.483    0.104    0.030    0.119
1894.385    0.690    0.067   -0.230    0.052
