   W                 E2-(pi0_p)
 (MeV)      Re       DRe      Im       DIm
1481.631   -1.931    0.194    2.968    0.152
1483.491   -2.011    0.171    3.106    0.127
1483.782   -1.999    0.197    3.041    0.156
1485.906   -2.082    0.202    3.144    0.159
1488.026   -2.091    0.205    3.149    0.156
1488.959   -2.134    0.178    3.163    0.126
1490.111   -2.158    0.204    3.130    0.155
1491.685   -2.261    0.168    3.105    0.131
1492.188   -2.270    0.196    3.109    0.161
1494.236   -2.410    0.195    3.133    0.172
1494.400   -2.415    0.174    3.163    0.143
1496.282   -2.484    0.196    3.121    0.175
1497.109   -2.617    0.177    3.299    0.146
1498.293   -2.591    0.202    3.209    0.174
1499.814   -2.701    0.175    3.243    0.148
1500.290   -2.608    0.202    3.136    0.177
1502.277   -2.740    0.204    3.166    0.182
1502.515   -2.786    0.186    3.160    0.167
1504.231   -2.744    0.204    3.097    0.183
1505.141   -2.852    0.184    3.155    0.166
1506.188   -2.901    0.203    3.110    0.189
1507.882   -2.951    0.166    3.083    0.154
1508.112   -2.934    0.202    3.053    0.190
1510.014   -3.071    0.202    3.060    0.195
1510.549   -3.012    0.171    2.979    0.165
1511.921   -3.039    0.200    2.954    0.193
1513.217   -3.413    0.164    2.830    0.188
1513.887   -3.445    0.183    2.776    0.215
1515.875   -3.715    0.153    2.607    0.197
1515.918   -3.733    0.184    2.603    0.224
1518.015   -3.753    0.186    2.531    0.226
1518.528   -3.753    0.147    2.472    0.196
1520.171   -3.813    0.180    2.457    0.228
1521.176   -3.786    0.145    2.381    0.197
1522.360   -3.840    0.173    2.360    0.228
1523.814   -3.854    0.147    2.283    0.210
1524.553   -3.923    0.172    2.250    0.232
1526.724   -3.915    0.165    2.123    0.231
1528.843   -3.957    0.161    2.037    0.232
1529.070   -3.917    0.136    2.040    0.207
1530.891   -3.982    0.167    1.964    0.234
1531.681   -3.927    0.134    1.899    0.213
1532.857   -4.005    0.161    1.864    0.235
1534.307   -4.173    0.123    1.570    0.217
1534.705   -4.155    0.174    1.558    0.244
1536.452   -4.167    0.166    1.507    0.245
1536.843   -4.157    0.124    1.437    0.221
1538.069   -4.234    0.158    1.426    0.246
1539.502   -4.168    0.117    1.303    0.217
1539.911   -4.277    0.156    1.361    0.249
1542.078   -4.038    0.122    1.213    0.217
1544.662   -4.488    0.175    1.156    0.323
1547.235   -4.545    0.146    1.124    0.305
1549.804   -4.525    0.143    0.988    0.306
1552.363   -4.699    0.119    0.715    0.291
1554.912   -4.420    0.132    0.166    0.299
1557.462   -4.424    0.132    0.127    0.293
1559.996   -4.359    0.132    0.007    0.293
1562.532   -4.226    0.128   -0.132    0.287
1565.004   -4.179    0.131   -0.181    0.272
1567.574   -4.095    0.130   -0.276    0.262
1570.074   -4.425    0.122   -0.391    0.277
1573.823   -4.007    0.158   -0.397    0.242
1577.556   -3.862    0.136   -0.525    0.248
1580.035   -3.671    0.130   -0.553    0.235
1582.509   -3.664    0.140   -0.689    0.259
1584.973   -3.605    0.140   -0.739    0.263
1587.428   -3.463    0.126   -0.760    0.252
1589.891   -3.145    0.125   -1.008    0.244
1592.273   -3.284    0.129   -0.945    0.244
1594.764   -3.175    0.134   -1.071    0.240
1597.186   -3.038    0.126   -0.973    0.233
1599.605   -3.051    0.127   -1.061    0.230
1602.020   -3.014    0.123   -1.084    0.229
1604.425   -3.026    0.117   -1.122    0.213
1606.821   -2.882    0.120   -1.429    0.253
1609.213   -2.860    0.121   -1.424    0.251
1611.596   -2.816    0.127   -1.956    0.220
1613.970   -2.791    0.142   -1.779    0.234
